title_knight;Knight;Chevalier;Knight;Knight;Caballero;;;;;;;;;x
title_knight_desc;Anoint this character as a Knight of the Realm.;Oindre ce personnage chevalier du Royaume. ;;;Ungir a este personaje como Caballero del Reino.;;;;;;;;;x
EVTDESCknight.1;In recognition of your glory and honor, a septon offers to anoint you with the holy oils and grant you knighthood.;En reconnaissance de votre gloire et votre honneur, un septon offre de vous oindre des huiles sacrés et de vous accorder la chevalerie.;;;En reconocimiento de tu gloria y honor, un septón se ofrece a ungirte con los santos óleos y a nombrarte caballero.;;;;;;;;;x
EVTOPTAknight.1;Finally some recognition of my abilities, I shall be a famous knight!;Enfin un peu de reconnaissance pour mes capacités, je serai un fameux chevalier !;;;Al fin un poco de reconocimiento de mis capacidades, seré un caballero famoso!;;;;;;;;;x
EVTOPTBknight.1;Fuck your 'sers'!;J'emmerde les chevaliers et leurs serments,;;;Los caballeros y sus juramentos, escupo en ellos...;;;;;;;;;x
EVTOPTCknight.1;May the Warrior guide my path!;Que le Guerrier me guide !;;;Que el Guerrero guíe mi camino!;;;;;;;;;x
EVTDESCknight.2;You notice a visiting knight has a squire with him. You are thinking about offering your guardian your services as a squire...;Vous remarquez qu'un chevalier de passage a un écuyer avec lui. Vous vous demandez si vous ne pourriez pas devenir l'écuyer de votre tuteur…;;;Observas cómo un caballero de visita tiene un escudero consigo. Te preguntas si no podrías ser el escudero de tu tutor...;;;;;;;;;x
EVTDESCknight.3;Your ward offers his services as a squire...;Votre pupille vous offre ses services en tant qu'écuyer…;;;Tu pupilo te ofrece sus servicios como escudero ...;;;;;;;;;x
EVTOPTAknight.3;Why not, a squire can't hurt.;Pourquoi pas, il est toujours bon d'avoir un écuyer.;;;¿Por qué no? No veo qué daño podría hacer.;;;;;;;;;x
EVTOPTBknight.3;Buzz-off kid!;Fiche le camp mon garçon !;;;Niño idiota, yo no soy un caballero.;;;;;;;;;x
EVTDESCknight.4;I am growing old...I hear others mock me behind my back. I am too old to be a squire...;Je deviens trop vieux… J'ai entendu les autres se moquer derrière mon dos. Je suis trop âgé pour être un écuyer. ;;;Me estoy haciendo demasiado viejo... He oído las burlas de otros a mis espaldas. Ya soy demasiado viejo como para ser escudero...;;;;;;;;;x
EVTOPTAknight.4;Pokes on them!...and their kind!;Que les Autres les emportent ! ;;;¡Los Otros se los lleven! ¡Y a los suyos!;;;;;;;;;x
EVTDESCknight.5;The camp was attacked last night. It seems the besieged are growing desperate with their tactics. Most of the men were caught by surprise but not you... you were not only ready to fight, but rallied some men around you and excelled during in combat. One of the knights present offers to knight you on the spot!;Le camp a été attaqué la nuit dernière, lors d'une sortie désespérée des assiégés. De nombreux hommes furent pris par surprise, mais pas vous... vous étiez non seulement prêt à vous battre, mais vous avez également rallié quelques hommes autour de vous et avez excellé durant la bataille. Un chevalier offre de vous oindre sur le champ !;;;El campamento fue atacado ayer por la noche en una salida desesperada de los sitiados. La mayoría de los hombres fueron cogidos por sorpresa, pero no tú... No sólo estabas presto a luchar, formaste con algunos hombres a tu alrededor y sobresaliste durante la batalla. ¡Uno de los caballeros se ofreció a ungirte en el acto!;;;;;;;;;x
EVTDESCknight.6;The enemy is flanking! You rallied some men around you and excelled during the fighting. One of the knights present offers to Knight you on the spot!;L'ennemi a tenté de vous prendre par les flancs. Vous avez rallié de nombreux hommes et avez excellé durant les combats. Un chevalier offre de vous oindre sur le champ ! ;;;¡Nos flanquean! Tras reunir a algunos hombres a tu alrededor y destacar durante los combates, uno de los caballeros se ofrece a ungirte en el acto!;;;;;;;;;x
knight;Knight;Chevalier;;;Caballero;;;;;;;;;x
knight_desc;A knight. Oiled and blessed by a septon, hardened by battle and training;Un chevalier. Oint et bénit par un septon, endurci par la bataille et l’entraînement ;;;Un caballero. Ungido y bendecido por un Septón, endurecido por la batalla y el entrenamiento.;;;;;;;;;x
squire;Squire;Écuyer;;;Escudero;;;;;;;;;x
squire_desc;In the service of a knight;Au service d'un chevalier.;;;El personaje es un escudero al servicio de un caballero;;;;;;;;;x
squiering_refused;Squiring refused;Refusé comme écuyer;;;Rechazado como escudero;;;;;;;;;x
squiering_refused_desc;A knight has refused to let this character squire for him.;Un chevalier a refusé que ce personnage devienne son écuyer;;;Un caballero ha rechazado a este personaje para que sirva como escudero;;;;;;;;;x
EVTDESCknight.7;My guardian refused my squiring offer. I am flushed red with anger and shame. I can already hear some people mocking me behind my back.;Mon tuteur a refusé que je devienne son écuyer. Je suis rouge de colère et de honte, je peux déjà entendre certains personnes ricanner derrière mon dos. ;;;Mi tutor ha rechazado mi oferta para servirle como escudero. Estoy rojo de rabia y vergüenza y la gente habla de mi a mis espaldas.;;;;;;;;;x
EVTDESCknight.8;I am drilling day and night. Being a squire is hard, but it's the price to pay for glory!;Je vais vraiment être entraîné par mon seigneur… Être un écuyer est difficile, mais c'est le prix à payer pour la gloire !;;;Estoy entrenando día y noche. Ser un escudero es difícil, pero es el precio a pagar por la gloria!;;;;;;;;;x
knight_son_bribe_septon;Buy Knighthood for [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Acheter un titre de chevalerie pour [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Comprarle el título de Caballero a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
knight_son_bribe_septon_desc;Bribe a Septon to knight [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Corrompre un Septon pour oindre [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Sobornar a un septón para que unja como Caballero a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
knight_son;Knight [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Chevalier [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Ungir Caballero a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
knight_son_desc;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] has proven himself to be a fine warrior. Perhaps we should haveficially recognize his skill.;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a prouvé qu'il était un excellent guerrier. Peut-être devrions-nous reconnaître officiellement ses talents. ;;;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha demostrado ser un fiero guerrero. Quizás deberíamos reconocerle oficialmente sus habilidades.;;;;;;;;;x
knight_daughter;Knight [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Chevalier [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Ungir Caballero a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
knight_daughter_desc;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] has proven herself to be a fine warrior, the equal of any knight of the Kingsguard. Though it goes against tradition, perhaps we should haveficially recognize her skill.;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a prouvé qu'elle était une excellente guerrière, l'égal de n'importe quel chevalier de la Garde Royale. Même si cela va à l'encontre de la tradition, peut-être devrions-nous reconnaître officiellement ses talents. ;;;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha demostrado ser una fiera guerrera, igual que cualquier Caballero de la Guardia Real. A pesar de que esto va en contra de todas las tradiciones, quizás deberíamos considerar ungirla Caballero.;;;;;;;;;x
buy_knighthood;Buy Knighthood;Acheter chevalerie. ;;;Comprar el título de Caballero;;;;;;;;;x
buy_knighthood_desc;Bribe a Septon to knight [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Corrompre un Septon pour oindre [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Sobornar a un septón para que unja como Caballero a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
EVTDESCknight.9;After a brief inquiry, you found a septon willing to knight your son...for a modest donation.;Après une brève recherche, vous avez trouvé un septon acceptant d'oindre votre fils… contre une modeste donation.;;;Después de algunas preguntas, encuentras un septón dispuesto a ungir como Caballero a tu hijo... por un modesta donación.;;;;;;;;;x
EVTDESCknight.10;Your father has arranged for a septon to knight you!;Votre père s'est arrangé avec septon pour vous faire oindre !;;;Tu padre ha conseguido que un septón te unja como Caballero;;;;;;;;;x
EVTDESCknight.11;Your [From.GetRootRelation] [From.GetFirstName] has proven [From.GetHerHim]self to be a fine warrior. You have [From.GetHerHim] kneel before you, and proceed to tap [From.GetHerHis] shoulders with your sword.\n\n'[From.GetFirstNameoftheHouse], in the name of the Warrior I charge you to be brave. In the name of the Father I charge you to be just. In the name of the Mother I charge you to defend the young and innocent. In the name of the Maid I charge you to protect all women. In the name of the Seven I charge you to be just and honorable.';Votre [From.GetRootRelation] [From.GetFirstName] a prouvé qu'il était un bon guerrier. Il est à genoux devant vous et vous lui frappez l'épaule du plat de votre épée.\n\n'[From.GetFirstName] de la maison [From.GetOnlyDynastyName],  au nom du Guerrier, je te demande d'être brave. Au nom du Père, je te demande d'être juste. Au nom de la Mère, je te charge de défendre le faible et l'innocent. Au nom de la Jouvencelle, je te charge de protéger toute femme. Au nom des Sept, je te charge d'être juste et honorable.';;;Tu [From.GetRootRelation] [From.GetFirstName] ha demostrado ser un fiero guerrero. Está arrodillado ante ti y posas tu espada en sus hombros.\n\n'[From.GetFirstName] de la Casa [From.GetOnlyDynastyName], en nombre del Guerrero, te pido que seas valiente. En nombre del Padre, te pido que seas justo. En nombre de la Madre, te pido que defiendas al débil y al inocente. En nombre de la Doncella, te pido que protejas a las mujeres. En nombre de los Siete, te pido que seas justo y honorable.';;;;;;;;;x
EVTOPTAknight.11;Rise Ser [From.GetFirstName];Relevez-vous ser [From.GetFirstName].;;;Alzaos Don [From.GetFirstName];;;;;;;;;x
