#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_kingharren1;Kingspyre Tower;La Tour du Bûcher-du-Roi;Harrenhal;;Torre de la Pira Real;;;;;;;;;x
b_kingharren2;Widow's Tower;La Tour de la Veuve;Harrenhal;;Torre de la Viuda;;;;;;;;;x
b_kingharren3;Tower of Dread;La Tour de l'Horreur;Harrenhal;;Torre del Miedo;;;;;;;;;x
rebuilding_harrenhal;Rebuilding Harrenhal;Reconstruire Harrenhal;;;Reconstruyendo Harrenhal;;;;;;;;;x
rebuilding_harrenhal_desc;Work has begun.;Les travaux ont commencés.;;;Las obras de reconstrucción han comenzado.;;;;;;;;;x
debris0;The debris has been removed.;Les débris ont été enlevés.;;;Los escombros han sido retirados.;;;;;;;;;x
debris1;A small pile of debris;Un petit tas de débris;;;Una pila pequeña de escombros;;;;;;;;;x
debris2;A medium pile of debris;Un tas de débris;;;Una pila mediana de escombros;;;;;;;;;x
debris3;A large pile of debris;Un grand tas de débris;;;Una pila grande de escombros;;;;;;;;;x
hbuild1;The foundation is built;Les fondations sont construites;;;Los cimientos han sido construidos;;;;;;;;;x
hbuild2;The foundation and walls are built;Les fondations et les murs sont construits;;;Los cimientos y los muros han sido construidos;;;;;;;;;x
hbuild3;The Castle is complete;Le château est reconstruit;;;El castillo ha sido reconstruido;;;;;;;;;x
ca_harrenhal_ruins;Castle Ruins;Château en ruine;;;Castillo en ruinas;;;;;;;;;x
completeharren1;The Kingspyre Tower is complete;La tour du Bûcher-du-Roi est reconstruite;;;La Torre de la Pira Real ha sido reconstruida;;;;;;;;;x
completeharren2;The Widow's Tower is complete;La tour de la Veuve est reconstruite;;;La Torre de la Viuda ha sido reconstruida;;;;;;;;;x
completeharren3;King Harren's Castle is complete;Le château du Roi Harren est reconstruit;;;El castillo del Rey Harren ha sido reconstruido;;;;;;;;;x
completeharren1_desc;The Kingspyre Tower can now have infrastructure added.;La tour du Bûcher-du-Roi peut désormais recevoir des infrastructures supplémentaires.;;;Ahora es posible añadir infraestructura a la Torre de la Pira Real.;;;;;;;;;x
completeharren2_desc;The Widow's Tower can now have infrastructure added.;La tour de la Veuve peut désormais recevoir des infrastructures supplémentaires.;;;Ahora es posible añadir infraestructura a la Torre de la Viuda.;;;;;;;;;x
completeharren3_desc;King Harren's Castle has been fully restored.;Le château du Roi Harren est complètement restauré.;;;El castillo del Rey Harren ha sido restaurado por completo.;;;;;;;;;x
goodstuff1;Work is faster by two.;Les travaux sont deux fois plus rapides.;;;Las obras se realizan dos veces más rápido;;;;;;;;;x
goodstuff2;Work is faster by three.;Les travaux sont trois fois plus rapides.;;;Las obras se realizan tres veces más rápido;;;;;;;;;x
goodstuff3;Work is faster by four.;Les travaux sont quatre fois plus rapides.;;;Las obras se realizan cuatro veces más rápido;;;;;;;;;x
goodstuff4;Work is faster by five.;Les travaux sont cinq fois plus rapides.;;;Las obras se realizan cinco veces más rápido;;;;;;;;;x
goodstuff5;Work is faster by six.;Les travaux sont six fois plus rapides.;;;Las obras se realizan seis veces más rápido;;;;;;;;;x
goodstuff6;Work is faster by seven.;Les travaux sont sept fois plus rapides.;;;Las obras se realizan siete veces más rápido;;;;;;;;;x
badstuff1;Work is slower by two.;Les travaux sont deux fois plus lents.;;;Las obras se realizan dos veces más lento;;;;;;;;;x
badstuff2;Work is slower by three.;Les travaux sont trois fois plus lents.;;;Las obras se realizan tres veces más lento;;;;;;;;;x
badstuff3;Work is slower by four.;Les travaux sont quatre fois plus lents.;;;Las obras se realizan cuatro veces más lento;;;;;;;;;x
badstuff4;Work is slower by five.;Les travaux sont cinq fois plus lents.;;;Las obras se realizan cinco veces más lento;;;;;;;;;x
badstuff5;Work is slower by six.;Les travaux sont six fois plus lents.;;;Las obras se realizan seis veces más lento;;;;;;;;;x
badstuff6;Work is slower by seven.;Les travaux sont sept fois plus lents.;;;Las obras se realizan siete veces más lento;;;;;;;;;x
HARRENHALPAYSTEWARD;Your Steward receives the money.;Votre Intendant reçoit l'argent.;;;Tu castellano recibe el dinero.;;;;;;;;;x
HARRENHALNOMONEY;Your action slows down restoration.;Votre action ralentit la restauration.;;;Tu acción ralentizará la restauración.;;;;;;;;;x
HARRENHALMONEY;Your action will hasten the restoration.;Votre action va hâter la restauration.;;;Tu acción acelerará la restauración.;;;;;;;;;x
HARRENHALBLOOD;Your sacrifice of blood will reduce the effects of the curse.;Votre sacrifice de sang va réduire les effets de la malédiction.;;;Tu sacrificio de sangre reducirá los efectos de la maldición.;;;;;;;;;x
EVTDESCharrenhal.1;You now have the sufficient resources to restore Old King Harren's Castle. This will be a long and costly process that will take generations to complete. Your [Root.GetMyTreasurerName] should oversee construction to expediate the process.;Vous avez désormais des ressources suffisantes pour restaurer le château du Vieux Roi Harren. Ce sera un long et coûteux processus qui prendra des générations pour s'achever. Votre  [Root.GetMyTreasurerName] devrait surveiller la construction pour accélérer les travaux et vous devrez réunir une somme de départ de l'ordre de 800 Dragons d'Or. ;;;Ahora cuentass con los recursos necesarios para restaurar el castillo del viejo Rey Harren. Será un proceso largo y costoso que tomará varias generaciones en completar. Tu mayordomo debe supervisar la construcción para acelerar el proceso, que comenzará con un costo de 800 dragones de oro.;;;;;;;;;x
EVTOPTAharrenhal.1;Yes! I will restore Harrenhal to its former glory!;Oui ! Je vais restaurer l'ancienne gloire d'Harrenhal !;;;¡Sí! ¡Devolveré Harrenhal a su antigua gloria!;;;;;;;;;x
EVTOPTBharrenhal.1;No, that is way too expensive.;Non, c'est bien trop cher.;;;No, eso es demasiado costoso.;;;;;;;;;x
EVTDESCharrenhal.2;While overseeing the construction of Old King Harren's Castle, from out of nowhere, a large chunk of stone falls from a broken tower and lands on your head.;Alors que vous surveillez la reconstruction du château du Vieux Roi Harren, un grand pan de mur d'une tour endommagée se décroche et s'écrase sur vous. ;;;Mientras supervisas la construcción del castillo del viejo Rey Harren, un gran pedazo de piedra se desprende de una torre rota y cae sobre tu cabeza.;;;;;;;;;x
EVTOPTAharrenhal.2;oh...;Vous êtes mort.;;;(No respondes nada porque estás muerto);;;;;;;;;x
EVTDESCharrenhal.3;Whilst overseeing the restoration of Old King Harren's Castle, [From.GetTitledFirstNameNoRegnal], your [Root.GetMyTreasurerName], was killed by falling debris. Workers nearby believe the castle is cursed.;[From.GetTitledFirstNameNoRegnal], alors qu'il surveillait la reconstruction du château du Vieux Roi Harren, votre intendant [Root.GetMyTreasurerName] a trouvé la mort, écrasé par une chute de pierres. Les hommes qui travaillent sur le chantier pensent que le château est maudit.;;;Tu mayordomo murió por la caída de escombros mientras supervisaba la construcción del castillo del viejo Rey Harren. Los trabajadores sostienen que el castillo está maldito.;;;;;;;;;x
EVTOPTAharrenhal.3;I will send money to [From.GetHerHis] next of kin.;Je vais envoyer de l'argent à son plus proche parent.;;;Enviaré dinero a sus parientes cercanos.;;;;;;;;;x
EVTOPTBharrenhal.3;Cursed? Don't be ridiculous;Maudit? Ne soyez pas ridicules;;;¿Maldito? No seas ridículo;;;;;;;;;x
