#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wedding_0;Host a Wedding feast;Organiser un banquet de mariage;;;Organizar una boda;;;;;;;;;x
wedding_0_desc;Host a Wedding at court, inviting all of your vassals and courtiers to the event.;Organiser un banquet de mariage en invitant tous vos vassaux et courtisans. ;;;Organizar una boda en la corte, invitando a todos tus vasallos y cortesanos al evento.;;;;;;;;;x
wedding_0_named;Host a Wedding for [Root.GetTitledFirstNameWithDynasty] and [Root.Spouse.GetTitledFirstName] [Root.Spouse.GetOnlyDynastyName];Organiser un mariage entre [Root.GetTitledFirstNameWithDynasty] et [Root.Spouse.GetTitledFirstName] [Root.Spouse.GetOnlyDynastyName];;;Organizar una boda entre [Root.GetTitledFirstNameWithDynasty] y [Root.Spouse.GetTitledFirstName] [Root.Spouse.GetOnlyDynastyName];;;;;;;;;x
EVTDESC180523;The best part about holding a Wedding is organizing the whole event. ;Le plus amusant dans un mariage est bien d’organiser tout l’évènement ;;;Lo más divertido de una boda es organizar el evento.;;;;;;;;;x
EVTDESC180523DOTHRAKI;My handmaidens and stewards want to know how large this wedding should be...;Mes servantes et intendants veulent savoir à quel point ce mariage sera grand…;;;Mis criadas y mayordomos quieren saber como de grande a de ser la boda...;;;;;;;;;x
EVTOPTA180523;I will spend lavishly to show our house's power;Je vais dépenser sans compter pour montrer la puissance de notre maison;;;Gastaré abundantemente para mostrar el poder de nuestra Casa.;;;;;;;;;x
EVTOPTB180523;I will spend enough to make it nice;Je vais dépenser juste ce qu’il faut pour que ce soit un beau mariage;;;Gastaré lo justo para que sea una buena boda.;;;;;;;;;x
EVTOPTC180523;I don't want to spend too much on it;Je n'ai pas envie de trop dépenser d'argent pour cet évènement;;;No gastaré mucho para esta boda.;;;;;;;;;x
EVTOPTA180523DOTHRAKI;Make it extravagant to show my power;Je vais faire dans le fastueux pour montrer ma puissance;;;Que sea extravagante para mostrar mi poder;;;;;;;;;x
EVTDESC180524;Most of the preparations for the Wedding have been made, now I only have to send out the invitations!;Le gros des préparatifs du mariage est fini, désormais je n'ai plus qu'à envoyer les invitations !;;;La mayor parte de los preparativos de la boda están listos, sólo queda enviar las invitaciones;;;;;;;;;x
EVTDESC180524DOTHRAKI;Most of the preparations for the Wedding have been made, now I only must only summon my vassals to my presence.;Le gros des préparatifs du mariage est fini, il ne me reste plus qu'à mander mes vassaux.;;;La mayor parte de los preparativos de la boda están listos, sólo queda citar a mis vasallos a mi presencia.;;;;;;;;;x
EVTOPTA180524;I hereby invite you to...';Par la présente je vous invite au…';;;Por la presente os invito al...;;;;;;;;;x
EVTTOOLTIP180525;[This.GetTitledFirstNameWithDynasty] is invited;[This.GetTitledFirstNameWithDynasty] est invité;;;[This.GetTitledFirstNameWithDynasty] es invitado;;;;;;;;;x
EVTDESC180525;Dear [Root.GetTitledName], I hereby invite you to the wedding of [FromFrom.GetTitledFirstNameWithDynasty] and [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName] in [From.Capital.GetName]. Your presence would be greatly appreciated and I look forward to your attendance.\n\n[From.GetTitledFirstNameWithDynasty] ;Cher [Root.GetTitledName], par la présente je vous invite au mariage à [From.Capital.GetName]. Votre présence serait grandement appréciée et j'espère que vous y serez présent.\n\n[From.GetTitledFirstName];;;Estimado [Root.GetTitledName], por la presente os invito a la boda en [From.Capital.GetName]. Vuestra presencia será enormemente apreciada y espero que estéis presente.\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC180525DOTHRAKI;[Root.GetTitledName], You are summoned to the wedding of [FromFrom.GetTitledFirstNameWithDynasty] and [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName] in [From.Capital.GetName]. Your presence would honour your [From.GetTitle].\n\n[From.GetTitledFirstName];[Root.GetTitledName], vous êtes convoqué au mariage de [FromFrom.GetTitledFirstNameWithDynasty] et [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName] à [From.Capital.GetName]. Votre présence honorerait votre [From.GetTitle].\n\n[From.GetTitledFirstName];;;[Root.GetTitledName], has sido convocado a la boda de [FromFrom.GetTitledFirstNameWithDynasty] y [FromFrom.Spouse.GetTitledFirstName] [FromFrom.Spouse.GetOnlyDynastyName] en [From.Location.GetName]. Tu presencia honrará a tu [From.GetTitle].\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTOPTA180525;I will travel to the Wedding;Je vais me rendre au mariage;;;Iré a la boda;;;;;;;;;x
EVTOPTB180525;I don't think so;Je ne crois pas, non.;;;No lo creo!;;;;;;;;;x
EVTTOOLTIP180526;[From.GetTitledFirstName] is greatly disappointed by [Root.GetTitledFirstName] refusal;[From.GetTitledFirstName] est grandement déçu par le refus de [Root.GetTitledFirstName];;;[From.GetTitledFirstName] está muy decepcionado por el rechazo de [Root.GetTitledFirstName];;;;;;;;;x
