#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_job_castellan_free_folk;High Overseer;Grand Surveillant;;;Gran Supervisor;;;;;;;;;x
emperor_job_chancellor_free_folk;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
job_castellan_free_folk;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
job_marshal_free_folk;First Raider;Premier Razzieur;;;Primer Invasor;;;;;;;;;x
job_chancellor_free_folk;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
job_treasurer_free_folk;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
#job_physician_free_folk;Greenseer;Vervoyant;;;Verdevidente;;;;;;;;;x
job_physician_free_folk;Healer;Soigneur;;;Sanador;;;;;;;;;x
LP_job_castellan_free_folk;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
LP_job_marshal_free_folk;First Raider;Premier Razzieur;;;Primer Invasor;;;;;;;;;x
LP_job_chancellor_free_folk;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
LP_job_treasurer_free_folk;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
#LP_job_physician_free_folk;Greenseer;Vervoyant;;;Verdevidente;;;;;;;;;x
LP_job_physician_free_folk;Healer;Soigneur;;;Sanador;;;;;;;;;x
city_job_castellan_free_folk;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
city_job_marshal_free_folk;First Raider;Premier Razzieur;;;Primer Invasor;;;;;;;;;x
city_job_chancellor_free_folk;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
city_job_treasurer_free_folk;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
#city_job_physician_free_folk;Greenseer;Vervoyant;;;Verdevidente;;;;;;;;;x
city_job_physician_free_folk;Healer;Soigneur;;;Sanador;;;;;;;;;x
emperor_job_castellan_thenn;High Overseer;Grand Surveillant;;;Gran Supervisor;;;;;;;;;x
emperor_job_chancellor_thenn;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
job_castellan_thenn;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
job_marshal_thenn;First Raider;Premier Razzieur;;;Primer Invasor;;;;;;;;;x
job_chancellor_thenn;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
job_treasurer_thenn;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
#job_physician_thenn;Greenseer;Vervoyant;;;Verdevidente;;;;;;;;;x
job_physician_thenn;Healer;Soigneur;;;Sanador;;;;;;;;;x
LP_job_castellan_thenn;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
LP_job_marshal_thenn;First Raider;Premier Razzieur;;;Primer Invasor;;;;;;;;;x
LP_job_chancellor_thenn;Lawspeaker;Diseur de Loi;;;Letrado;;;;;;;;;x
LP_job_treasurer_thenn;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
#LP_job_physician_thenn;Greenseer;Vervoyant;;;Verdevidente;;;;;;;;;x
