#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hold_an_archery_tournament;Hold an Archery Tournament;Organiser un tournoi d'archerie;;;Celebrar un Torneo de tiro con arco;;;;;;;;;x
hold_an_archery_tournament_desc;Hold an Archery Tournament;Organiser un tournoi d'archerie;;;Celebrar un Torneo de tiro con arco;;;;;;;;;x
TOOLTIParchery.500;All able nobles and archers of your realm shall be invited to participate\n;Tous les nobles et les archers de votre domaine seront invités à participer\n;;;Todos los nobles y arqueros capaces de vuestros dominios serán invitados a participar\n;;;;;;;;;x
EVTDESCarchery.500;Messages have be sent to all able nobles and archers of [Root.PrimaryTitle.GetName] inviting them to the Archery Tourament of [Root.Capital.GetName]. All those who accept shall gather one here month hence, and will compete to decide who is the most skilled archer.;Des missives ont été envoyées à tous les nobles et tous les archers de [Root.PrimaryTitle.GetName], ils sont invités au tournoi d'archerie de [Root.Capital.GetName]. Tous ceux qui accepteront devront s'y rendre dans le mois et s'affronteront pour décider qui d'entre eux est le meilleur archer.;;;Las misivas han sido enviadas a todos los nobles y arqueros capaces de [Root.PrimaryTitle.GetName], invitándoles al Torneo de tiro con arco de [Root.Capital.GetName]. Todos los que acepten estarán aquí dentro de un mes, y competirán para decidir quién es el arquero más habilidoso.;;;;;;;;;x
EVTDESCarchery.1;[Root.GetTitledFirstName], I hereby invite you to compete in the Archery Tournament being held in my honour in [From.Capital.GetName], where you will have the chance to prove yourself the most able archer of [From.PrimaryTitle.GetName].\n\nRegards\n[From.GetTitledFirstNameWithDynasty];[Root.GetTitledFirstName], par la présente je vous invite à participer au tournoi d'archerie organisé en mon honneur à [From.Capital.GetName], où vous aurez la chance de prouver que vous êtes l'archer le plus compétent de [From.PrimaryTitle.GetName].\n\nCordialement\n[From.GetTitledFirstNameWithDynasty];;;[Root.GetTitledFirstName], por la presente os invito a competir en el Torneo de tiro con arco que se celebrará en mi honor en [From.Capital.GetName],  donde tendréis la oportunidad de probar vuestras habilidades contra los arqueros más capaces de [From.PrimaryTitle.GetName].\n\nUn saludo\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;x
EVTOPTDarchery.1;Stop bothering me about childish archery games;Que les enfants s'amusent avec leurs arcs, arrêtez de me déranger avec ces enfantillages !;;;¡Que los niños se diviertan con sus arcos, deja de molestarme con vuestras niñerías!;;;;;;;;;x
EVTDESCarchery.2;Archers from all over the realm have finally arrived at the tournament, and the competition has begun. Each archer shall begin with a handful of arrows , those with the highest scores shall contest one on one match ups in the final rounds. ;Les archers de tous le royaume sont finalement arrivés au tournoi et la compétition a commencé. Chaque archer débute avec une poignée de flèches, ceux qui auront marqué le plus de points s'affronteront dans des duels dans les phases finales.;;;Arqueros de todo el reino han llegado para el torneo, y la competición ha comenzado. Cada arquero comenzará con un puñado de flechas, y los que tengan la puntuación más alta deberán enfrentarse entre ellos en las rondas finales.;;;;;;;;;x
EVTOPTAarchery.2;Good luck everyone;Bonne chance à tous.;;;Buena suerte a todos;;;;;;;;;x
EVTOPTBarchery.2;I want to know about every contest;Je veux tout savoir sur les duels;;;Quiero saber todo acerca de los duelos;;;;;;;;;x
TOOLTIPEVTOPTBarchery.2;§YYou shall be informed of the results of all match-ups in the final rounds.§!;Vous serez informé de tous les résultats des duels dans les phases finales.;;;¡§Seréis informado de los resultados de todos los emparejamientos en las rondas finales§!;;;;;;;;;x
EVTDESCarchery.3;Unfortunately due to war [From.GetTitledFirstNameWithDynasty]'s archery tournament has been cancelled.;Malheureusement, à cause de la guerre, le tournoi d'archerie de [From.GetTitledFirstNameWithDynasty] a été annulé.;;;Desafortunadamente, debido a la guerra, el torneo de tiro con arco de [From.GetTitledFirstNameWithDynasty] ha sido cancelado.;;;;;;;;;x
