#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
building_alchemist_guild_desc;A number of pyromancers are currently constructing a guildhall in this province, digging out cellars to store wildfire and preparing the spells necessary to safely produce it.;Un certain nombre de pyromants construisent actuellement un hôtel de la Guilde dans cette province, creusant des galeries pour entreposer le feu grégeois et préparant les forumules magiques pour le produire en toute sécurité.;;;Unos piromantes están construyendo una casa gremial en esta provincia. Excavando sótanos para almacenar fuego valyrio y preparando los hechizos necesarios para producirlo de forma segura.;;;;;;;;;x
alchemist_guild;Alchemists' Guild;Guilde des Alchimistes;;;Gremio de Alquimistas;;;;;;;;;x
alchemist_guild_desc;There is an Alchemists' Guild in this province, consisting of a number of pyromancers who have studied the magic necessary to safely make and store wildfire.;Il y a une Guile des Alchimistes dans cette province, il s'agit d'un groupe de pyromants étudiant la magie nécessaire à la production et au stockage du feu grégeois.;;;En esta provincia hay un Gremio de Alquimistas, una serie de piromantes estudiando la magia necesaria para producir y almacenar fuego valyrio.;;;;;;;;;x
making_wildfire;Making Wildfire;Produit du feu Grégois;;;Produciendo fuego valyrio;;;;;;;;;x
making_wildfire_desc;The Alchemists' Guild in this province is currently producing a large supply of wildfire.;La Guilde des Alchimistes de cette province produit actuellement de grandes quantités de feu grégois.;;;El Gremio de Alquimistas está produciendo una gran cantidad de fuego valyrio.;;;;;;;;;x
destroying_wildfire;Disposing of Wildfire;Dispose de feu grégois;;;Eliminando fuego valyrio;;;;;;;;;x
destroying_wildfire_desc;The Alchemists' Guild in this province is currently disposing of old, potentially dangerous pots of wildfire.;La Guilde des Alchimistes de cette province dispose actuellement de vieux pots de feux grégeois potentiellement dangereux.;;;El Gremio de Alquimistas está deshaciéndose de botes viejos de fuego valyrio potencialmente peligrosos.;;;;;;;;;x
wildfire_1;Meager Wildfire Stockpile;Maigre réserve de feu grégois;;;Reserva escasa de fuego valyrio;;;;;;;;;x
wildfire_1_desc;The Alchemists' Guild in this province has built up a meager supply of wildfire for use in war.;La Guilde des Alchimistes de cette province a produit une maigre quantité de feu grégeois pour l'utiliser à la guerre.;;;El Gremio de Alquimistas tiene una reserva escasa de fuego valyrio para usarlo en la guerra.;;;;;;;;;x
wildfire_2;Small Wildfire Stockpile;Petite réserve de feu grégeois;;;Reserva pequeña de fuego valyrio;;;;;;;;;x
wildfire_2_desc;The Alchemists' Guild in this province has built up a small supply of wildfire for use in war.;La Guilde des Alchimistes de cette province a produit une petite quantité de feu grégeois pour l'utiliser à la guerre.;;;El Gremio de Alquimistas tiene una reserva pequeña de fuego valyrio para usarlo en la guerra.;;;;;;;;;x
wildfire_3;Medium Wildfire Stockpile;Réserve moyenne de feu grégeois;;;Reserva normal de fuego valyrio;;;;;;;;;x
wildfire_3_desc;The Alchemists' Guild in this province has built up a significant supply of wildfire for use in war.;La Guilde des Alchimistes de cette province a produit une quantité significative de feu grégeois pour l'utiliser à la guerre.;;;El Gremio de Alquimistas tiene una reserva normal de fuego valyrio para usarlo en la guerra.;;;;;;;;;x
wildfire_4;Large Wildfire Stockpile;Grande réserve de feu grégeois;;;Reserva grande de fuego valyrio;;;;;;;;;x
wildfire54_desc;The Alchemists' Guild in this province has built up a large supply of wildfire for use in war. Much of it is old and unstable - a single spark could send the entire province up in flames.;La Guilde des Alchimistes de cette province a produit une grande quantité de feu grégeois pour l'utiliser à la guerre. Nombre de pots sont vieux et instables, une seule étincelle pourrait enflammer l'intégralité de la province.;;;El Gremio de Alquimistas tiene una gran reserva de fuego valyrio para usarlo en la guerra.;;;;;;;;;x
wildfire_5;Huge Wildfire Stockpile;Immense réserve de feu grégeois;;;Reserva inmensa de fuego valyrio;;;;;;;;;x
wildfire_5_desc;The Alchemists' Guild in this province has built up a truly enormous supply of wildfire for use in war. Much of it is old and unstable - a single spark could send the entire province up in flames.;La Guilde des Alchimistes de cette province a produit une énorme quantité de feu grégeois pour l'utiliser à la guerre. Nombre de pots sont vieux et instables, une seule étincelle pourrait enflammer l'intégralité de la province.;;;El Gremio de Alquimistas tiene una reserva inmensa de fuego valyrio para usarlo en la guerra..;;;;;;;;;x
wildfire_outbreak;Wildfire Outbreak;Embrasement de feu grégeois;;;Incendio de fuego valyrio;;;;;;;;;x
wildfire_outbreak_desc;An accident with an old pot of wildfire has triggered a terrible fire that threatens to consume the entire province.;Un accident avec un vieux pot de feu grégeois a déclenché un terrible incendie qui menace de consumer la province entière. ;;;Un accidente con un viejo bote de fuego valyrio ha provocado un terrible incendio que amenaza con consumir toda la provincia.;;;;;;;;;x
build_alchemist_guild;Build Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construir un Gremio de Alquimistas;;;;;;;;;x
