#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_find_lover_title;Fall in Love;Tomber amoureux;Legen Sie sich einen Liebhaber zu;Fall in Love;Enamorarse;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires romance and passion.;[This.GetTitledFirstName] veut de la romance et de la passion.;[This.GetTitledFirstName] wünscht sich die Romantik und die Leidenschaft einer Liebelei.;[This.GetTitledFirstName] desires romance and passion.;[This.GetTitledFirstName] quiere un romance pasional.;;;;;;;;;x
obj_befriend_liege_title;Become a friend to your liege;Devenir l'ami de votre suzerain.;;;Hacerte amigo de tu señor.;;;;;x;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] desires to befried their liege.;[This.GetTitledFirstName] désire être l'ami de son suzerain.;;;[This.GetTitledFirstName] desea hacerse amigo de su señor.;;;;;x;;;;x
obj_happy_marriage_title;Achieve marital bliss;Connaître le bonheur marital.;;;Lograr un matrimonio feliz.;;;;;;;;;x
obj_happy_marriage_desc;[This.GetTitledFirstName] desires to make their marrige a happy one.;[This.GetTitledFirstName] désire un mariage heureux.;;;[This.GetTitledFirstName] desea un matrimonio feliz.;;;;;;;;;x
obj_five_children_title;Have many children;Avoir beaucoup d'enfants.;;;Tener muchos hijos.;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] desires to have at least 5 children.;[This.GetTitledFirstName] désire avoir au moins cinq enfants.;;;[This.GetTitledFirstName] desea tener al menos cinco hijos.;;;;;;;;;x
obj_become_a_knight_title;Become a Knight;Devenir un chevalier.;;;Convertirse en caballero.;;;;;;;;;x
obj_become_a_knight_desc;[This.GetTitledFirstName] desires to become a Knight.;[This.GetTitledFirstName] veut devenir chevalier.;;;[This.GetTitledFirstName] desea convertirse en caballero.;;;;;;;;;x
obj_improve_combat_ability_title;Improve Combat Ability;Améliorer l'hébitilité au combat;;;Mejorar las habilidades de combate.;;;;;;;;;x
