#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCwarlock.0;A thin and pale Warlock with blue lips approaches me and speaks of the powers that the Warlocks of Qarth possess.;Un Conjurateur au teint pâle et aux lèvres bleues m'approche et me parle du pouvoir des conjurateurs de Qarth. ;;;Un brujo delgado y pálido con los labios azules se me acerca y me habla de los poderes que los brujos de Qarth poseen.;;;;;;;;;x;x
EVTOPTAwarlock.0;I shall embrace this new religion!;Je devrais embrasser cette nouvelle religion !;;;Voy a abrazar esta nueva religión!;;;;;;;;;x;
EVTOPTBwarlock.0;Have this heretic jailed!;Jetez cet hérétique au cachot !;;;Haga que encarcelen a este hereje!;;;;;;;;;x;
EVTOPTCwarlock.0;How boring;Que c'est ennuyant;;;Qué aburrido;;;;;;;;;x;
EVTDESCwarlock.1;Making an offering to the Warlocks at the House of the Undying, can win their favor and be quite useful.;Faire une offre aux Conjurateurs à l'hôtel des Nonmourants peut nous faire gagner leur faveur. ;;;Hacer una ofrenda a los brujos en la Casa de los Eternos, puede hacernos ganar su favor.;;;;;;;;;x;
EVTOPTAwarlock.1;Pay them the gold;Payer le prix.;;;Pagadles el oro.;;;;;;;;;x;
EVTOPTBwarlock.1;On second thoughts no;A la réflexion, non;;;Pensándolo mejor, no;;;;;;;;;x;
EVTDESCwarlock.2;Your plot to [Root.GetPlot] has succeeded but had no effect. Your spies report that [From.GetHeShe] was saved by Warlock magic at the behest of [From.GetHeShe].;Votre complot pour [Root.GetPlot] a réussi mais n'a eu aucun effet. Vos espions vous rapportent qu'[From.GetHeShe] a été sauvé(e) par la magie des Conjurateurs qui ont agi sur son ordre. ;;;Su plan para [Root.GetPlot] ha tenido éxito pero no tuvo efecto. Tus espías informan que [From.GetHeShe] se salvó por brujería a instancias de [From.GetHeShe].;;;;;;;;;x;
EVTOPTAwarlock.2;What nonsense!;C'est impossible !;;;¡Qué tontería!;;;;;;;;;x;
EVTOPTBwarlock.2;With a loud gasp of breath you rise to your feet back from the dead. You have avoided death!;Vous ouvrez brusquement les yeux avant de vous redresser, pris(e) de panique et haletant. Vous avez vaincu la mort !;;;Con un fuerte jadeo para respirar te levantas de entre los muertos. Has evitado la muerte!;;;;;;;;;x;
EVTDESCwarlock.3;At the request of [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] I have drunk the Shade of the Evening and recieved visions of many things, including the plots of my enemies.;A la demande de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] j'ai bu l'Ombre-du-soir et j'ai eu de nombreuses visions, dont certaines concernaient les complots de mes ennemis.;;;A petición de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]he bebido color-del-ocaso y he tenido numerosas visiones, incluyendo los complots de mis enemigos.;;;;;;;;;x;
EVTOPTAwarlock.3;The Warlocks are indeed powerful;Les Conjurateurs sont véritablement puissants.;;;Los brujos son realmente poderosos;;;;;;;;;x;
