#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
OTHER;The;Le;;;El;;;;;;;;;x
OTHER_FOA;The;Le;;;El;;;;;;;;;x
winter_group;Winter;Hiver;;;Invierno;;;;;;;;;x
white_walker;White Walker;Marcheur Blanc;;;Caminante Blanco;;;;;;;;;x
winter_wasteland;Winter Wasteland;DÈsert d'hiver;;;P·ramo Invernal;;;;;;;;;x
winter_religion;Winter;Hiver;;;Invierno;;;;;;;;;x
cold_gods;Cold Gods;Dieux Froids;;;Dioses Helados;;;;;;;;;x
cold_gods_DESC;The White Cold.;Le Froid Blanc;;;El FrÌo Blanco;;;;;;;;;x
d_winter;Winter;Hiver;;;Invierno;;;;;;;;;x
d_winter_adj;Wights;Spectres;;;Espectros;;;;;;;;;x
d_winter_essos;Winter;Hiver;;;Invierno;;;;;;;;;x
d_winter_essos_adj;Wights;Spectres;;;Espectros;;;;;;;;;x
CB_NAME_OTHERS_INVASION_WALL;Others Invasion;Invasion des Autres;;;InvasiÛn de los Otros;;;;;;;;;x
CB_NAME_OTHERS_INVASION;Invasion of [Title.GetBaseName];Invasion de(s) [Title.GetBaseName];;;InvasiÛn de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_OTHERS_INVASION;Others $ORDER$Invasion of $OTHER_TITLE$;$ORDER$ Invasion des Autres de $OTHER_TITLE$;;;$ORDER$ InvasiÛn de los Otros de $OTHER_TITLE$;;;;;;;;;x
war_dawn;War for the Dawn;Guerre de l'Aube;;;Guerra del Alba;;;;;;;;;x
