#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
poor_defence;Poor Defence;Piètre Défense;;;Defensa mala;;;;;;;;;x
average_defence;Average Defence;Médiocre Défense;;;Defensa normal;;;;;;;;;x
strong_defence;Strong Defence;Solide Défense;;;Defensa sólida;;;;;;;;;x
poor_defence_desc;I have made a poor defence.;J'ai présenté une défense bien faible.;;;He presentado una mala defensa.;;;;;;;;;x
average_defence_desc;I have made an average defence.;J'ai présenté une défense moyenne.;;;He presentado una defensa normal.;;;;;;;;;x
strong_defence_desc;I have made a strong defence.;J'ai présenté une solide défense.;;;He presentado una defensa sólida.;;;;;;;;;x
poor_case;Poor Case;Piètre accusation;;;Acusación mala;;;;;;;;;x
average_case;Average Case;Accusation moyenne;;;Acusación normal;;;;;;;;;x
strong_case;Strong Case;Solide Accusation;;;Acusación sólida;;;;;;;;;x
poor_case_desc;I have made a poor case.;J'ai présenté une bien pauvre accusation.;;;He presentado una mala acusación;;;;;;;;;x
average_case_desc;I have made an average case.;J'ai présenté une accusation assez moyenne;;;He presentado una acusación normal;;;;;;;;;x
strong_case_desc;I have made a strong case.;J'ai présenté une solide accusation.;;;He presentado una sólida acusación;;;;;;;;;x
giving_justice;Giving Justice;Rendre justice;;;Repatiendo justicia;;;;;;;;;x
getting_justice;Getting Justice;Obtenir justice;;;Obteniendo justicia;;;;;;;;;x
giving_justice_desc;This character is currently involved in trial proceedings.;Ce personnage est actuellement impliqué dans un procès.;;;Este personaje está actualmente involucrado en un juicio.;;;;;;;;;x
getting_justice_desc;I am in court as the Accused.;Je suis à la cour comme accusé;;;Este personaje está acusado ante un tribunal.;;;;;;;;;x
publicly_shamed;Publicly Shamed;Honte publique;;;Avergonzado públicamente;;;;;;;;;x
publicly_shamed_desc;Everyone has seen me naked;Tout le monde m'a vu(e) nu(e);;;A este personaje todo el mundo le ha visto desnudo.;;;;;;;;;x
give_justice;Call For Trial;Appeler à comparaître;;;Llamar para el juicio;;;;;;;;;x
give_justice_desc;Give [Root.GetTitledFirstNameWithDynastyNoRegnal] the option to defend themselves before the court, after which one of your councillors will question and judge [Root.GetHerHim].\n\nThe order of precedence for which courtier presides over trials is:\n-Triarch\n-High Judge\n-Jogos Nhai Moonsinger\n-Venerable Elder\n-Regent\n-Forrester Sentinel\n-[From.GetMyCastellanName]\n-[From.GetMyChancellorName]\n-Random Councillor (Non-Slave)\n-Random Courtier;Donner à [Root.GetTitledFirstNameWithDynastyNoRegnal] le choix de se défendre devant la cour, après quoi l'un de vos conseillers le questionnera et le(a) jugera.\n\nL'ordre de préséance pour déterminer le courtisan qui présidera le procès est le suivant\n-Triarque\n-Grand Juge\n-Chantelune Jogos Nhai\n-Vénérable Ancien\n-Régent\n-Sentinelle Forrestier\n-Châtelain\n-[From.GetMyChancellorName]\n-Conseiller au hasard (libre)\n-Courtisan au hasard;;;Dar a [Root.GetTitledFirstNameWithDynastyNoRegnal] la posibilidad de defenderse ante el tribunal, después de lo cual uno de tus consejeros le hará preguntas y le juzgará.;;;;;;;;;x
give_justice_named;Call [Root.GetTitledFirstNameWithDynasty] For Trial;Appeler [Root.GetTitledFirstNameWithDynasty] à comparaître;;;Llamar a [Root.GetFirstNameWithDynasty] para el juicio;;;;;;;;;x
