#CODE;ENGLISH;FRENCH;;;SPANISH;;;;;;;;;x
widowed;Widowed;Veuf(ve);;;Enviudado;;;;;;;;;x
widowed_desc;This character is grief-stricken and mourning a lost spouse.;Ce personnage est frappé par le chagrin et le deuil après la perte de son(a) conjoint(e).;;;Este personaje está lleno de dolor y perdió un cónyuge recientemente.;;;;;;;;;x
EVTDESCwidowed.1;My grief is too great to sustain this marriage...;Mon chagrin est trop grand pour supporter ce mariage…;;;Mi pena es demasiado grande para sostener este matrimonio…;;;;;;;;;x
EVTOPTAwidowed.1;...I'm afraid it must come to an end.;… j'ai peur que cela doive se terminer.;;;…Me temo que tiene que llegar el final.;;;;;;;;;x
WIDOWDESC;Time passes, yet to me the world seems unreal. It is if a life without [From.GetFirstName] is but a mummer's farce. I am lost in this sea of loneliness and know not where to turn.;Le temps passe, mais pour moi le monde semble iréel. C'est comme si la vie sans [From.GetFirstName] était une farce. Je suis perdu dans cette mer de solitude et ne sait où aller. ;;;El tiempo pasa, pero el mundo todavía se ve irreal. Una vida sin la cara de [From.GetFirstName] es una imitación de la misma. Estoy perdido en este mar de soledad y no sé donde ir.;;;;;;;;;x
WIDOWOPTA;Drown yourself in wine, women, and song;Vous noyer dans les femmes, le vin et les chansons. ;;;Os ahogáis en vino, mujeres y canciones;;;;;;;;;x
WIDOWTOOLTIPX;[Root.GetTitledFirstName] becomes a hedonist, duelist, falconer, or hunter.;[Root.GetTitledFirstName] devient un hédoniste, un dueliste, un fauconnier ou un chasseur. ;;;[Root.GetTitledFirstName] se vuelve hedonista, duelista, cetrero o cazador.;;;;;;;;;x
WIDOWTOOLTIPA;[Root.GetTitledFirstName] involves himself in a drunken quarrel and loses.;[Root.GetTitledFirstName] participe à une querelle d'ivrognes et se fait battre. ;;;[Root.GetTitledFirstName] se involucra en una pelea de borrachos y pierde.;;;;;;;;;x
WIDOWTOOLTIPQ;[Root.GetTitledFirstName] increases in combat skill.;[Root.GetTitledFirstName] améliore ses aptitudes au combat.;;;[Root.GetTitledFirstName] incrementa su habilidad marcial.;;;;;;;;;x
WIDOWOPTB;Lose yourself in books, songs, and the wisdom of others;Vous perdre dans les livres, les chansons et la sagesse des autres. ;;;Os perdéis en los libros, canciones y la sabiduría de otros;;;;;;;;;x
WIDOWTOOLTIPB;[Root.GetTitledFirstName] gives up [Root.GetHerHis] worldly titles and becomes a Maester.;[Root.GetTitledFirstName] renonce à ses titres et devient un Mestre. ;;;[Root.GetTitledFirstName] abandona sus títulos terrenales y se vuelve un Maestre;;;;;;;;;x
