#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCwildling.55;Out of the corner of my eye I thought I saw strange white shadows moving in the woods.;J'ai cru entrapercevoir d'étranges ombres blanches se mouvant dans les bois. ;;;Por el rabillo del ojo me pareció ver extrañas sombras blancas moviéndose en el bosque.;;;;;;;;;x
EVTOPTAwildling.55;This is an ill omen.;Voilà qui est de mauvais augure.;;;Se trata de un mal presagio.;;;;;;;;;x
EVTDESCold_races.2;A group of Giants has been seen passing through my lands.;Un groupe de géants a été aperçu alors qu'il traversait mes terres.;;;Un grupo de Gigantes ha sido divisado mientras pasaba por mis tierras.;;;;;;;;;x
EVTOPTAold_races.2;They may prove useful, I will speak with them.;Ils pourraient se révéler utiles, je vais aller leur parler.;;;Podrían ser útiles, voy a hablar con ellos.;;;;;;;;;x
EVTOPTBold_races.2;Their presence will not be tolerated, I will drive them out of my lands.;Leur présence ne peut être tolérée, je vais les chasser de mes terres.;;;Su presencia no será tolerada, los echaré de mis tierras.;;;;;;;;;x
EVTOPTCold_races.2;Leave them be.;Laissez-les tranquilles.;;;Dejadlos en paz;;;;;;;;;x
giant_desc;This character is a Giant.;Ce personnage est une géant.;;;Este personaje es un Gigante.;;;;;;;;;x
cotf;Children of the Forest;Enfant de la Forêt;;;Niños del Bosque;;;;;;;;;x
cotf_desc;This character is one of the Children of the Forest;Ce personnage est un des Enfants de la Forêt;;;Este personaje es uno de los Niños del Bosque;;;;;;;;;x
EVTDESCold_races.3;Ever since I started having green dreams I feel uneasy.  It feels like the trees have eyes once again.;Depuis que j'ai commencé à avoir des rêves verts, je ne me sens pas à l'aise. C'est comme si les arbres avaient à nouveau des yeux.;;;Desde que empecé a tener sueños verdes me siento inquieto. Siento como si los árboles tuviesen ojos.;;;;;;;;;x
EVTDESCold_races.4;One of the Children of the Forest has appeared and offers to teach my child how to use the greensight.;Un des Enfants de la Forêt est apparu et a offert d'enseigner à mon enfant la manière de se servir de la vervue.;;;Uno de los Niños del Bosque ha aparecido y se ha ofrecido a enseñarle a mi hijo a usar la verdevidencia.;;;;;;;;;x
EVTOPTAold_races.4;I will not let these creatures anywhere near my child, they are not to be trusted.;Je ne vais pas laisser cette créature s'approcher de mon enfant. On ne peut pas s'y fier.;;;No voy a dejar que estas criaturas se acerquen a mi hijo, no son de fiar.;;;;;;;;;x
