ransom_all;Ransom All Prisoners;Rançonner tous les Prisonniers.;Ransom All Prisoners;;Pedir un rescate para Todos los Presos;;;;;;;;;x
ransom_all_desc;Make a ransom offer to all prisoners.;Faire une offre de rançon pour tous les prisonniers.;Make a ransom offer to all prisoners.;;Pedir un rescate para todos los presos;;;;;;;;;x
ransom_all_tooltip;Character is asked to pay ransom.;Il est demandé au personnage de payer la rançon. ;Character is asked to pay ransom.;;Se pedirá al personaje que pague el rescate.;;;;;;;;;x
ransom.0.desc;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;[Root.Host.GetTitledFirstName] m'a offert de me libérer de prison contre le payement d'une rançon. ;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;[Root.Host.GetTitledFirstName] ofreció liberarme de la cárcel si pago un rescate.;;;;;;;;;x
ransom.0.a;I will pay for my freedom, if I can afford it.;Je vais payer pour ma liberté.;I will pay for my freedom.;;Pagaré por mi libertad, si me lo puedo permitir.;;;;;;;;;x
ransom.0.b;I will not pay.;Je ne paierai pas. ;I will not pay.;;No voy a pagar.;;;;;;;;;x
ransom.0.w;You have received a ransom request for one of your courtiers. It is a good deal...;Vous avez reçu une demande de rançon pour l'un de vos courtisans. C'est une bonne affaire… ;;;Habéis recibido una petición de rescate por uno de vuestros cortesanos. Es una buena oferta…;;;;;;;;;x
ransom.0.w1;I will pay to get them back.;Je vais payer pour le faire revenir.;;;Pagaré para recuperarlo.;;;;;;;;;x
ransom.0.w2;I will not pay to get them back.;Je ne paierai pas pour le faire revenir. ;;;No voy a pagar para recuperarlo.;;;;;;;;;x
ransom.0.ww;The ransom has been denied!;La demande de rançon a été rejetée !;;;¡El rescate ha sido denegado!;;;;;;;;;x
ransom.0.ww1;Well, let them rot...;Bien, laissez-le(a) pourrir...;;;Bueno, que se pudra...;;;;;;;;;x
EVTDESCransom.3;Your prisoner [From.GetTitledFirstNameWithDynastyNoRegnal] has requested an audience with you. Upon meeting [From.GetHerHim] before the court you hear [From.GetSheHe] is offering to pay the ransom for [From.GetHerHis] release personally.;Votre prisonnier(e)  [From.GetTitledFirstNameWithDynastyNoRegnal] a demandé une audience. Avant de le(a) rencontrer devant la cour, vous apprenez qu'[From.GetSheHe] offre de payer sa propre rançon.;;;Vuestr[From.GetOA] prisioner[From.GetOA] [From.GetTitledFirstNameWithDynasty] ha pedido una audiencia con vos. Ante la corte, ofrece pagar su rescate personalmente.;;;;;;;;;x
EVTDESCransom.3B;Representatives of [From.GetTitledFirstNameWithDynastyNoRegnal] have requested an audience with you. Upon meeting with them before the court you hear they are offering to pay the ransom for [From.GetTitledFirstNameNoRegnal]'s release using [From.GetHerHis] own personal wealth.;Des représentants de votre prisonnier(e) [From.GetTitledFirstNameWithDynastyNoRegnal] ont demandé une audience. Avant de les rencontrer devant la cour, vous apprenez qu'ils offrent de payer la rançon de [From.GetTitledFirstNameNoRegnal] avec son propre argent.;;;Representantes de [From.GetTitledFirstNameWithDynastyNoRegnal] han solicitado una audiencia con vos. Al encontraros con ellos ante la corte, oís que se ofrecen a pagar el rescate de [From.GetTitledFirstNameNoRegnal] con su dinero.;;;;;;;;;x
EVTOPTAransom.3;No, you shall stay in my custody;Non, vous allez rester mon(a) prisonnier(e).;;;No, permaneceréis bajo mi custodia;;;;;;;;;x
EVTOPTAransom.3B;No, [From.GetSheHe] shall stay in my custody;Non, [From.GetSheHe] restera mon(a) prisonnier(e).;;;No, [From.GetSheHe] permanecerá bajo mi custodia;;;;;;;;;x
EVTOPTBransom.3;I accept your offer;J'accepte l'offre.;;;Acepto tu oferta;;;;;;;;;x
EVTDESCransom.4;Your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] is currently languishing in the prison of [From.Host.GetTitledFirstNameWithDynasty]. Perhaps I should offer to pay the ransom to secure [From.GetHerHis] release?;Votre [From.GetRootRelation] [From.GetTitledFirstName] languit en ce moment dans les prisons de [From.Host.GetTitledFirstName]. Peut-être devriez-vous payer la rançon pour s'assurer de sa libération ?;;;Vuestr[From.GetOA] [From.GetRootRelation] [From.GetTitledFirstName] está languideciendo en la prisión de [From.Host.GetTitledFirstName]. ¿Tal vez debería pagar el rescate para asegurar su liberación?;;;;;;;;;x
EVTDESCransom.4B;Your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] is currently languishing in the prison of [From.Host.GetTitledFirstNameWithDynasty]. [From.Host.GetTitledFirstNameNoRegnal] has made it known that [From.Host.GetSheHe] will accept the fair ransom to secure your [From.GetRootRelation]'s release, perhaps I should pay it?;Votre [From.GetRootRelation] [From.GetTitledFirstName] languit en ce moment dans les prisons de [From.Host.GetTitledFirstName]. Peut-être devriez-vous payer la rançon pour s'assurer de sa libération ?;;;Vuestr[From.GetOA] [From.GetRootRelation] [From.GetTitledFirstName] está languideciendo en la prisión de [From.Host.GetTitledFirstName]. [From.Host.GetTitledFirstNameNoRegnal] ha hecho saber que aceptaría su liberación a cambio de un rescate justo. ¿Tal vez debería pagar el rescate para asegurar su liberación?;Your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] is currently languishing in the prison of [From.Host.GetTitledFirstNameWithDynasty]. [From.Host.GetTitledFirstNameNoRegnal] has made it known that [From.Host.GetSheHe] will accept the fair ransom to secure your [From.GetRootRelation]'s release, perhaps I should pay it?;;;;;;;;x
