#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCESSOS2;Over the centuries, people who have come to Naath to subjugate it's people have suffered illness and death.  The Naathi believe their gods protect them through the butterflies found on the island.;Au cours des siècles, tous ceux qui sont venus à Naath pour soumettre Naathis ont souffert de maladies. Les habitants de Naath croient que le dieux les protègent grâce aux papillons de l'île.;;;A través de los siglos, las personas que han venido hasta Naath para subyugar a su gente han sufrido la enfermedad y la muerte. Los Naatíes creen que sus dioses les protegen a través de las mariposas que se encuentran en la isla.;;;;;;;;;x
EVTDESCESSOS3;The God of Harmony has struck down our attackers.;Le Maître de l'Harmonie a repoussé nos assaillants.;;;El Dios de la Armonía ha derribado a nuestros atacantes.;;;;;;;;;x
EVTDESCESSOS4;The city of Mantarys lies closer to the Doom of Valyria than any other city.;La cité de Mantarys est la ville la plus proche du Fléau de Valyria.;;;La ciudad de Mantarys se encuentra más cerca de la Maldición de Valyria que cualquier otra ciudad.;;;;;;;;;x
EVTOPTAESSOS4;A city of monsters . . . ;Une cité de monstres…;;;La ciudad de los monstruos…;;;;;;;;;x
EVTDESCESSOS5;[shadowbinder_target.GetTitledFirstName] approachs me with a plan to help lift the siege. She claims to have knowledge of the magic of Asshai, and says our union would unleash the inert power within me and strike down [shadowbinder_siege_target.GetTitledFirstName], the enemy commander.;Un Ensorceleur d'ombres vous approche avec un plan pour en finir avec ce siège.;;;Un domador de sombras se acerca con un plan para levantar el asedio.;;;;;;;;;x
EVTOPTAESSOS5;Very well sorceress, let us couple;Bien sorcier(e), fais le !;;;Muy bien hechicero, adelante!;;;;;;;;;x
EVTOPTBESSOS5;Things are not so desperate as to resort to magic just yet;La situation n'est pas assez désespérée pour que j'ai besoin de faire appel à la magie. ;;;La situación no es tan desesperada como para usar la magia.;;;;;;;;;x
EVTDESCESSOS6;Whilst atop the battlements directing the defense of [Root.Location.GetName] I catch a glimpse of a strange shadow running at me. Before I can even react the shadow plunges a dark blade into my chest! I am overwhelmed by pain. As I lay dying the last thing I see is the shadow disappearing.;Vous apercevez une étrange ombre qui se glisse derrière vous, Avant même que vous ne puissiez réagir, la lame de l'ombre vous transperce la poitrine et vous ressentez une terrible douleur. L'ombre disparaît alors que vous pousser vos derniers râles.;;;Percibes una extraña sombra que se desliza detrás de ti, antes de que puedas reaccionar, espada de la sombra te traspasa el pecho y sientes un terrible dolor. La sombra desaparece mientras das el último suspiro.;;;;;;;;;x
EVTOPTAESSOS6;This is sorcery!;C'est de la sorcellerie !;;;;;;;;;;;;x
EVTOPTBESSOS6;Counter it with [Root.GetValyrianSwordOwned]!;Le contrer avec [Root.GetValyrianSwordOwned] !;;;;;;;;;;;;x
EVTDESCESSOS7;The local Warlocks have caused an outbreak of disease in our besiegers camps.;Les conjurateurs du lieu ont provoqué l'apparition de maladies dans les camps des assiégeants.;;;Los brujos del lugar han provocado la aparición de enfermedades en el campamento de los sitiadores.;;;;;;;;;x
EVTDESCESSOS8;Disease has spread through our camps.  The men are blaming the Warlocks.;La maladie se répand dans nos camps, les hommes accusent les conjurateurs. ;;;La enfermedad se expande por nuestro campamento, los hombres acusan a los brujos.;;;;;;;;;x
EVTDESCESSOS9;A strange woman with her face hidden behind a lacquer mask approaches me and speaks of the powers that the Shadowbinders of Asshai possess.;Une étrange femme masquée vous approche et vous parle de la puissance des Ensorceleurs d'ombres d'Asshai.;;;Una extraña mujer enmascarada se te acerca y te habla sobre el poder de los domadores de sombra de Asshai.;;;;;;;;;x
EVTOPTAESSOS9;I shall embrace this new religion!;Je devrais embrasser cette nouvelle religion !;;;Voy a abrazar esta nueva religión!;;;;;;;;;x
EVTOPTBESSOS9;Have this heretic jailed!;Mettez cet hérétique au cachot !;;;Encarcelad a este hereje!;;;;;;;;;x
EVTOPTCESSOS9;How boring;Que c'est ennuyant;;;Qué aburrido;;;;;;;;;x
EVTDESCESSOS10;One of my co-conspirators believes that a manticore may be the solution to our problem.;L'un de vos co-conspirateurs croit qu'une manticore peut-être la solution à nos problèmes.;;;Uno de nuestros conspiradores cree que una mantícora puede ser la solución a nuestros problemas.;;;;;;;;;x
EVTOPTAessos.10;Very well, they shall provide the manticore.;Très bien, qu'on m'amène une manticore alors.;;;Muy bien, que me traigan una mantícora entonces.;;;;;;;;;x
EVTOPTBessos.10;I trust no one, I will purchase the manticore.;Je ne fais confiance à personne, je vais acheter la manticore. ;;;No confío en nadie, yo compraré la mantícora.;;;;;;;;;x
EVTOPTCessos.10;I have a friend at the docks who sells captive manticores, surely he will lend one to my cause.;J'ai un ami aux docks qui vend des manticores captives, il va sûrement soutenir ma cause.;;;Tengo un amigo en los muelles que vende mantícoras cautivas, seguramente nos ayudará.;;;;;;;;;x
EVTDESCESSOS11;One of my co-conspirators believes that a manticore may be the solution to our problem.;L'un de vos co-conspirateurs croit qu'une manticore peut-être la solution à nos problèmes.;;;Uno de nuestros conspiradores cree que una mantícora puede ser la solución a nuestros problemas.;;;;;;;;;x
EVTDESCESSOS12;My co-conspirator is having diffiuclty purchasing a manitcore and has requested I provide additional funds.;Votre co-conspirateurs a des difficultés pour acheter une manticore et demande que vous fournissiez plus d'argent.;;;Tu conspirador tiene dificultades para comprar una mantícora y pide que le proporciones más dinero.;;;;;;;;;x
EVTDESCESSOS13;Very well, this had better be worth it.;Très bien, elle a intérêt à en valoir le coup.;;;Muy bien, pero haz que valga la pena.;;;;;;;;;x
EVTDESCESSOS14;Incompetent fool, he will get nothing.;Idiot incompétent. Il n'aura rien. ;;;Idiota incompetente. No tendrás nada.;;;;;;;;;x
EVTDESCESSOS15;The time has come.  One of [Root.GetFirstName]'s handmaids has been paid off to hide the manticore in [Root.GetFirstName]'s bedchambers tonight.;Le temps est venu. L'une des servantes de [Root.GetFirstName] a été payée pour cacher la manticore dans la chambre de [Root.GetFirstName].;;;Ha llegado el día. Una de las sirvientas de [Root.GetFirstName ] ha sido comprada para ocultar la matícora en la habitación de [Root.GetFirstName].;;;;;;;;;x
EVTOPTAESSOS15;Success! [Root.GetFirstName] was bitten by the manticore and succumbed to the infection within moments.;Succès ! [Root.GetFirstName] a été mordu par la manticore et a succombé peu de temps après.;;;Éxito! [Root.GetFirstName] ha sido mordido por la mantícora y ha sucumbido poco tiempo después.;;;;;;;;;x
