#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brm_revolt;Peasant Revolt;Révolte paysanne;Massive Revolte;;Revuelta de Campesinos;;;;;;;;;x
brm_reduced_tax;Tax Reduction;Taxes réduites;Steuern reduziert;;Impuestos Reducidos;;;;;;;;;x
brm_rebel_offer_rejected;Rebel Offer Rejected;Offre Rebelle rejetée;Rebellen Angebot abgelehnt;;Oferta de los Rebeldes Rechazada;;;;;;;;;x
brm_isolated_province;Isolated Province;Province isolée;Isolierte Provinz;;Provincia Aislada;;;;;;;;;x
EVTDESCbetter_rebels.1;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the [Root.GetPeasantNamePlural] have taken to arms.;"Une révolte a éclaté à [Root.GetName] ! En colère contre mon ""règne tyrannique"", les paysans ont pris les armes.";In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wŸtend Ÿber meine 'Gewaltherrschaft' und haben daher zu den Waffen gegriffen.;;"¡Ha estallado una revuelta en [Root.GetName]! Furiosos por mi ""gobierno opresor"", los campesinos han tomado las armas.";;;;;;;;;x
EVTOPTAbetter_rebels.1;How dare they oppose me!;Comment osent-ils s’opposer à moi !;Wie kšnnen sie es wagen, sich gegen mich zu stellen!;;¿Cómo osan oponerse a mí?;;;;;;;;;x
EVTDESCbetter_rebels.2;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledFirstName], the [Root.GetPeasantNamePlural] have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well…;Une révolte a éclaté à [From.GetName] ! En colère contre le règne tyrannique de [From.County.Holder.GetTitledName], les paysans ont pris les armes. Ils détruisent tout sans discernement et risquent donc de s’en prendre à mes propriétés…;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wŸtend Ÿber die Gewaltherrschaft von [From.County.Holder.GetTitledName] und haben daher zu den Waffen gegriffen. Ihre wahllose Zerstšrungswut wird leider auch meine BesitztŸmer treffen ...;;¡Ha estallado una revuelta en [From.GetName]! Furiosos por el gobierno opresor de [From.County.Holder.GetTitledName], los campesinos han tomado las armas. Por desgracia su destrucción indiscriminada también afectará a mis tierras...;;;;;;;;;x
EVTOPTAbetter_rebels.2;If the count doesn't act, I better...;Si le lord n’intervient pas, je ferais mieux de…;Wenn der Graf nicht reagiert, sollte ich besser ...;;Si el conde no actúa, será mejor que yo...;;;;;;;;;x
EVTDESCbetter_rebels.3;The peasant army ravaging the province of [Root.GetName] is burning down buildings!;L’armée de paysans qui ravage la province de [Root.GetName] incendie des bâtiments !;Die Bauernarmee, die gerade die Provinz [Root.GetName] verwŸstet, brennt nun auch GebŠude nieder!;;El ejército de campesinos que asola la provincia de [Root.GetName] está quemando edificios!;;;;;;;;;x
EVTOPTAbetter_rebels.3;Is there anything they won't destroy?;Y a-t-il quelque chose qu’ils comptent épargner ?;Gibt es irgendwas, das sie nicht zerstšren wŸrden?;;¿Dejarán algo sin destruir?;;;;;;;;;x
EVTOPTBbetter_rebels.3;Bad news, but I am glad it didn't happen to my holdings...;Mauvaise nouvelle, mais je suis content(e) que mes propriétés ne soient pas concernées…;Schlechte Nachrichten, aber das betrifft meine BesitztŸmer nicht ....;;Malas noticias, pero me alegro de que no pasara en mis tierras...;;;;;;;;;x
EVTDESCbetter_rebels.4;The peasant army ravaging the province of [From.GetName] is burning down my buildings!;L’armée de paysans qui ravage la province de [From.GetName] incendie mes édifices !;Die Bauernarmee, die gerade die Provinz von [From.GetName] verwŸstet, brennt nun auch GebŠude nieder!;;¡El ejército de campesinos que asola la provincia de [From.GetName] está quemando mis edificios!;;;;;;;;;x
EVTDESCbetter_rebels.5;I have been attacked by the [Root.GetPeasantNamePlural] rebels in [Root.Location.GetName]!;Les paysans rebelles de [Root.Location.GetName] s’en sont pris à moi !;Die Bauernrebellen haben mich in [Root.Location.GetName] angegriffen!;;¡Los campesinos rebeldes me han atacado en [Root.Location.GetName]!;;;;;;;;;x
EVTOPTAbetter_rebels.5;They killed me?!;Ils m’ont tué(e) ?!;Sie haben mich getštet?!;;¿Me han matado?;;;;;;;;;x
EVTOPTBbetter_rebels.5;Damn these rebels!;Maudits rebelles !;Diese verdammten Rebellen ...;;¡Malditos rebeldes!;;;;;;;;;x
EVTOPTCbetter_rebels.5;I am lucky to be alive...;J’ai de la chance d’être en vie...;Ich habe GlŸck, am Leben zu sein ...;;Tengo suerte de estar vivo...;;;;;;;;;x
EVTDESCbetter_rebels.9;[From.GetTitledName] has been captured and killed by peasant rebels!;[From.GetTitledName] a été capturé(e) et tué(e) par les paysans rebelles !;[From.GetTitledName] wurde von Bauernrebellen gefangen und hingerichtet!;;¡[From.GetTitledName] ha sido capturad[From.GetOA] y asesinad[From.GetOA] por campesinos rebeldes!;;;;;;;;;x
EVTOPTAbetter_rebels.9;How dare they execute a subject of mine!;Comment osent-ils exécuter un de mes sujets !;Wie kšnnen sie es wagen, einen meiner Untergebenen hinzurichten!;;¡Cómo osan ejecutar a uno de mis súbditos?;;;;;;;;;x
EVTDESCbetter_rebels.10;My liege,\nI was ambushed by a mob of peasant rebels and barely got away with my life. The attack has left my maimed and I fear for the life of me and those around me in [From.Location.GetName]. These rebels must be stopped.\n\nSigned,\n[From.GetTitledName];Messire,\nJ’ai échappé de peu à la mort après avoir été pris(e) en embuscade par une foule de paysans rebelles. Après avoir été mutilé(e) au cours de l’attaque, je crains désormais pour ma vie et pour celle de ceux qui m’entourent à [From.Location.GetName]. Il faut absolument arrêter ces rebelles.\nSigné,\n[From.GetTitledName];Mein Lehnsherr,\nEine Schar Bauernrebellen hat mir einen Hinterhalt gelegt. Ich bin gerade so mit dem Leben davongekommen, wurde aber verstŸmmelt. Nun sorge ich mich um mein Leben und um das meiner Begleiter in [From.Location.GetName]. Diese Rebellen mŸssen aufgehalten werden.\nGezeichnet,\n[From.GetTitledName];;Mi señor,\nFuí emboscad[From.GetOA] por una turba de campesinos rebeldes y logré huir a duras penas. El ataque me dejó lisiad[From.GetOA] y temo por mi vida y la de los que me rodean en [From.Location.GetName]. Hay que parar a esos rebeldes.\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTAbetter_rebels.10;They sure do...;Oui, il le faut...;In der Tat ...;;Será menester...;;;;;;;;;x
EVTDESCbetter_rebels.11;My liege,\nAlthough I escaped with my life, the mob of peasant rebels that attacked me managed to wound me. I fear these attacks will only increase until the revolt in [From.Location.GetName] is put down.\nSigned,\n[From.GetTitledName];Mon cher suzerain,\nJe m’en suis sorti(e), mais les paysans rebelles qui s’en sont pris à moi ont réussi à me blesser. Je crains que ces attaques ne s’intensifient tant que la révolte de [From.Location.GetName] ne sera pas matée.\nSigné,\n[From.GetTitledName];Mein Lehnsherr,\nIch entkam zwar mit meinem Leben, aber die Schar angreifender Bauernrebellen hat mich verwundet. Wenn die Revolte in [From.Location.GetName] nicht niedergeschlagen wird, werden diese Angriffe wohl noch zunehmen.\nGezeichnet,\n[From.GetTitledName];;Mi señor,\nAunque logré huir con vida, la turba de campesinos rebeldes que me atacó logró herirme. Me temo que estos ataques no harán más que aumentar hasta que la revuelta en [From.Location.GetName] sea sofocada.\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTAbetter_rebels.11;This peasant rabble must be stopped!;Il faut absolument arrêter cette jacquerie !;Dieser Bauernpšbel muss aufgehalten werden!;;¡Hay que parar a esa chusma!;;;;;;;;;x
EVTDESC1000025012;Tired of their old ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;Lassés de leur vieux souverain, les paysans rebelles de [Root.GetName] ont fait défection et m'ont prêté allégeance !;Der Herrschaft ihres alten Lehnsherren mŸde geworden, haben die abtrŸnnigen Bauern in [Root.GetName] Eurer MajestŠt die Treue geschworen!;;¡Cansados de su antiguo líder, los campesinos rebeldes de [Root.GetName] han desertado y me han jurado lealtad!;;;;;;;;;x
EVTOPTA1000025012;Excellent! Or is it...?;Excellent ! Quoique, l'est-ce vraiment ?;Vortrefflich! Oder etwa nichtÊÉ?;;¡Excelente! ¿O quizás no...?;;;;;;;;;x
EVTOPTA1000025014;Damn these [Root.GetPeasantNamePlural]!;Maudits soient ces paysans !;Verdammtes Bauerngesindel!;;¡Al diablo con esos campesinos!;;;;;;;;;x
EVTOPTA1000025015;Outrages!;Outrage !;Unerhšrt!;;¡Ultraje!;;;;;;;;;x
EVTDESCbetter_rebels.12;A rebel army has risen up in [Root.GetName].;Une armée rebelle est apparue à [Root.GetName].;Eine Rebellenarmee hat sich in [Root.GetName] grupiert.;A rebel army has risen up in [Root.GetName].;Un ejército rebelde se ha alzado en [Root.GetName].;;;;;;;;;x
EVTOPTAbetter_rebels.12;Argh!;Argh !;Argh!;;¡Argh!;;;;;;;;;x
EVTDESCbetter_rebels.13;A rebel army has risen up in [From.Location.GetName].;Une armée rebelle est apparue à [From.Location.GetName].;Eine Rebellenarmee hat sich in [From.Location.GetName] grupiert.;A rebel army has risen up in [From.Location.GetName].;Un ejército rebelde se ha alzado en [From.Location.GetName].;;;;;;;;;x
EVTOPTAbetter_rebels.13;Argh!;Argh !;Argh!;;¡Argh!;;;;;;;;;x
EVTDESCbetter_rebels.14;Revolting [Root.GetPeasantNamePlural] in [Root.GetName] will depose arms if you agree to reduce their taxes;Les paysans révoltés à [Root.GetName] déposeront les armes si vous acceptez de réduire les taxes.;AufstŠndischen Bauern in [Root.GetName] werden die Waffen niederlegen wenn Sie zustimmen die Steuern zu senken.;;Los campesinos rebeldes de [Root.GetName] depondrán sus armas si aceptáis reducirl los impuestos.;;;;;;;;;x
EVTOPTAbetter_rebels.14;Very well;Très bien.;Sehr gut;;Muy bien;;;;;;;;;x
EVTOPTBbetter_rebels.14;Don`t listen those peasant scum!;N'écoutez pas ces gueux !;Hšren Sie nicht auf diesen Bauern Abschaum!;;¡No escuchéis a esa escoria rebelde!;;;;;;;;;x
EVTNAMEbetter_rebels.15;Revolt suppressed;Révolte matée.;Revolte unterdrŸckt;;Revuelta Aplastada;;;;;;;;;x
EVTDESCbetter_rebels.15;I arrived to [Root.Location.GetName] and managed to find and arrest revolt leaders. Without them [Root.GetPeasantNamePlural] will not dare to oppose my liege any more;Je suis arrivé à [Root.Location.GetName] et ai réussi à débusquer et arrêter les meneurs de la révolte. Sans eux, les paysans n'auront plus l'audace de s'opposer à mon suzerain.;Ich kam auf [Root.Location.GetName] an und nahm den AnfŸhrer der Revolte gefangen. Ohne diesen werden die Bauern es nicht wagen, sich meiner Herschaft zu widersetzen;;He llegado a [Root.Location.GetName] y he conseguido encontrar y arrestar a los líderes de la revuelta. Sin ellos los campesinos no se atreverán a oponerse a mí de nuevo.;;;;;;;;;x
EVTOPTAbetter_rebels.15;They learned their lesson!;Ca leur apprendra !;Sie haben ihre Lektion gelernt;;¡Así aprenderán!;;;;;;;;;x
EVTTOOLTIPbetter_rebels.16;Send a letter to my liege;Envoyer une lettre à mon suzerain. ;Sendet Brife an meinen Lehnsherren;;Enviar una carta a mi señor;;;;;;;;;x
EVTDESCbetter_rebels.16;My liege, I managed to find and arrest revolt leaders in [From.Location.GetName]. Without them [Root.GetPeasantNamePlural] will not dare to oppose you any more.;Messire, j'ai réussi à débusquer et arrêter les meneurs de la révolte à [From.Location.GetName]. Sans eux les paysans n'auront plus l'audace de s'opposer à vous.;Mein Lehnsherr , ich fand den AnfŸhrer der Revolte in [From.Location.GetName] und kerkerte ich ein.Ohne diesen werden die Bauern es nicht wagen, sich meiner Herschaft zu widersetzen;;Mi señor, he conseguido encontrar y arrestar a los líderes de la revuelta en [From.Location.GetName]. Sin ellos los campesinos no osarán oponerse a vos nunca más.;;;;;;;;;x
EVTOPTAbetter_rebels.16;Good news!;Bonne nouvelle !;Gute Nachrichten !;;¡Buenas noticias!;;;;;;;;;x
EVTDESCbetter_rebels.18;Your succession to [Root.PrimaryTitle.GetName] after [FromFromFrom.GetTitledFirstName]'s death has triggered unrest throughout the realm. Challenges to [Root.GetOnlyDynastyName] rule are emerging, with many [Root.GetPeasantNamePlural] and other bandits and outlaws causing trouble.;Votre succession à [Root.PrimaryTitle.GetName] après la mort de [FromFromFrom.GetTitledFirstName] a provoqué des troubles à travers le royaume. Des opposants à la succession [Root.GetOnlyDynastyName] se soulèvent, paysans et hors-la-loi causent de l'agitation.;;;Vuestra sucesión al [Root.PrimaryTitle.GetName] tras la muerte de [FromFromFrom.GetTitledFirstName] ha provocado disturbios por todo el Reino. Desafiando la autoridad de los [Root.GetOnlyDynastyName],  numerosos campesinos, bandidos y forajidos están causando problemas.;;;;;;;;;x
EVTOPTAbetter_rebels.18;My rule must stabilise;Ma loi doit s'imposer.;;;Mi reinado debe estabilizarse;;;;;;;;;x
general_unrest;Realm Unrest;Royaume agité;;;Disturbios en el Reino;;;;;;;;;x
general_unrest_desc;This characters recent succession has triggered unrest throughout the realm;La récente succession de ce personnage a causé des troubles à travers tout le royaume.;;;La reciente sucesión de este personaje ha provocado disturbios por todo el Reino;;;;;;;;;x
