#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NW_government;Night's Watch;Garde de Nuit;;;Guardia de la Noche;;;;;;;;;x
NW_government_desc;The Night's Watch is a military order where the Lord Commander is the final authority and oversees the entire order. A Lord Commander serves in office until the day he dies, when a new Lord Commander is elected by the men of the Watch. Any man of the Night's Watch can be nominated to be the Lord Commander, and so as a meritocracy, The Watch is one of the few places in feudal Westeros where a common man can rise high;La Garde de Nuit est un ordre militaire dirigé par un Lord Commandant. Un Lord Commandant dirige la Garde jusqu'à sa mort. Lorsque celle-ci survient, les membres de la Garde élisent son successeur. Tous les membres peuvent être élus Lord Commadant, aussi la Garde de Nuit est-elle un des rares endroits à Westeros où un homme du commun peut s'élever.;;;La Guardia de la Noche es una orden militar donde el Lord Comandante es la autoridad máxima y supervisa los deberes del resto de la orden. Un Lord Comandante sirve en su cargo hasta el día de su muerte, cuando se escoge a un nuevo Lord Comandante por votación entre todos los Hermanos Negros. Cualquier hombre de la Guardia puede ser nominado como candidato para el puesto de Lord Comandante. De esta forma, como meritocracia, la Guardia de la Noche es uno de los pocos lugares de Poniente en la que un simple campesino puede llegar más alto que caballeros y señores de alta cuna.;;;;;;;;;x
KG_government;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x
KG_government_desc;The Kingsguard is an order of seven Knights who are overseen by the Lord Commander at the White Sword Tower in King's Landing. A Lord Commander serves in office until the day he dies, when a new Lord Commander is chosen by the ruler of the Iron Throne. Any Knight of the realm can join the Kingsguard to serve and protect at the cost of never being able to marry, have children or hold land. Knights of the Kingsguard swear vows to their King or Queen but sometimes when conflicting personal interests arise the strength of their vows strains under the loyalty to their House.;La Garde Royale est un ordre de Port-Réal qui compte sept chevaliers. Le Lord Commandant dirige l'ordre depuis la tour de la Blanche Epée, il sert à vie. Lorsque le Lord Commandant disparait, le souverain du Trône de Fer choisit son successeur. Tous les chevaliers du royaume peuvent rejoindre la Garde Royale mais ils n'auront plus le droit de se marier, d'engendrer ou de tenir des terres. Les chevaliers de la Garde Royale prêtent serment à leur roi ou reine ce qui n'est pas sans leur poser quelques cas de conscience lorsque le souverain va à l'encontre des intérêts de leur maison.;;;La Guardia Real es una orden compuesta por siete caballeros, comandados por el Lord Comandante que junto a sus otros seis hermanos juramentados residen en la Torre de la Espada Blanca, en la Fortaleza Roja de Desembarco del Rey. Un Lord Comandante sirve en su cargo hasta el día de su muerte, cuando un nuevo Lord Comandante es elegido por el Rey del Trono de Hierro. Cualquier caballero puede ser elegido Guardia Real para servir y proteger al rey, a costa de no poder tomar esposa, tener hijos o poseer tierras. Los caballeros de la Guardia Real juran sus votos al Rey del Trono de Hierro, pero a veces, por conflictos del reino, surgen nuevas Guardias Reales con lealtades hacia distintas casa nobles.;;;;;;;;;x
ruin_government;Ruin;Ruine;;;Ruina;;;;;;;;;x
ruin_government_desc;This location is all that remains of a once great land, now only an uninhabited ruin. §YRuins can be colonised by right-clicking on their title shield and selecting the 'colonise' decision.§! ;Ces ruines inhabitées sont tout ce qu'il reste d'une grandeur aujourd'hui révolue. §YLes ruines peuvent être colonisées en faisant un clic droit sur leur bouclier titre et en sélectionnant la décision 'coloniser'.§! ;;;Este paraje es todo lo que queda de lo que antaño fue una gran tierra, ahora reducida a una ruina deshabitada.;;;;;;;;;x
winter_government;Winter;Hiver;;;Invierno;;;;;;;;;x
winter_government_desc;In the lands Beyond The Wall, so far North even the Wildlings dare not go there is a cold wind... and that cold wind is rising...;Dans les terres d'au-delà du Mur, si loin dans le nord que même les Sauvageons n'osent pas s'y aventurer, sévit un vent froid... et ce vent froid se lève…;;;En las tierras de Más allá del Muro, ni siquiera los salvajes se atreven a internarse en los vientos fríos del extremo norte… y cada día el viento es más frío…;;;;;;;;;x
pirate_government;Pirate Fleet;Flotte pirate;;;Flota Pirata;;;;;;;;;x
pirate_government_desc;A pirate serves nothing but his own ambition, they owe no allegiance to either man or sigil and care not for any laws. To be a pirate is to acknowledge that there are only two kinds of things in this world: the things that you own and the things you have yet to take. Generally a pirate's strongest son succeeds him, but pirates do not neccessarily follow strict rules of heredity, and will not hesitate to abandon a weak heir.;Un pirate ne sert que ses propres ambitions, il ne fait allégeance à aucun homme ou blason et ne reconnait aucune loi. Etre un pirate c'est savoir qu'il n'y a que deux types de choses dans le monde: ce qui vous appartient et ce qu'il vous reste encore à vous emparer. Généralement le fils le plus fort d'un pirate lui succède, mais les pirates n'obéissent pas forcément à une règle stricte de succession héréditaire et n'hésiteront pas à abandonner un héritier faible.;;;Un pirata no sirve a nadie más que a sus propias ambiciones. No jura lealtad a ningún hombre ni blasón, ni sigue ninguna ley. Ser un pirata es saber que solo hay dos tipos de cosas en el mundo, las que tienes y las que todavías has de tomar. Generalmente, el hijo más fuerte de un Pirata le sucede en el mando a su muerte, pero los piratas no siguen necesariamente las reglas de la sucesión y no dudan en abandonar a un heredero débil.;;;;;;;;;x
alliance_government;Alliance;Alliance;;;Alianza;;;;;;;;;x
alliance_government_desc;This realm is an alliance of city states, loosely governed by a High Council. The members retain most of their power and autonomy, and are diplomatically immune with the council exerting limited authority over them. The Kingdom of the Three Daughters, an alliance of the Free Cities of Myr, Lys and Tyrosh, is the most famous example of such a government. The Three Daughters were governed by the High Council of the Triarchy, a group of thirty-three magisters.;Le royaume est une alliance de cité-états gouvernée par un Grand Conseil. Les membres de cette alliance conservent une bonne part de leur puissance et de leur autonomie, le conseil n'exerçant qu'une autorité limitée sur eux. Le Royaume des Trois Filles, une alliance entre les Cités Libres de Myr, Lys et Tyrosh, est l'exemple le plus célèbre d'un tel gouvernement. Le Royaume des Trois Filles fut gouverné par le Grand Conseil de la Triarchie, un groupe de trente trois magistrats. ;;;Este reino está compuesto por una Alianza entre varias ciudades-estado, laxamente gobernadas por un Alto Consejo. Los miembros de la Alianza conservan la mayor parte de su poder y autonomía, y son diplomáticamente gobernados por el Alto Consejo, que ejerce una autoridad limitada sobre ellos. La Triarquía, más conocida como el Reino de las Tres Hijas, una alianza entre las Ciudades Libres de Myr, Lys y Tyrosh, es el ejemplo más famoso de este tipo de gobierno. El Reino de Las Tres Hijas era gobernado por el Alto Consejo de la Triarquía, un órgano compuesto por treinta y tres magísteres de las tres ciudades y no por un rey .;;;;;;;;;x
triarch_merchant_republic_government;Triarchy;Triarchie;;;Triarquía;;;;;;;;;x
