#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WARNING: SPOILERS ARE IN THIS FILE;;;;;;;;;;;;;;x
EVTDESCtower_of_joy.1;Ned Stark's sister, Lyanna, has been kidnapped by Rhaegar Targaryen, and his brother and father cruelly executed by the mad King Aerys. So he has followed Robert Baratheon into rebellion and asks we accompany him south in his struggle...;La sœur de Ned Stark, Lyanna, a été enlevée par Rhaegar Targaryen, son frère et son père ont été cruellement exécuté par le Roi Fou. Il a donc suivi Robert Baratheon dans sa rébellion et m'a demandé de le joindre dans son combat…;;;La hermana de Ned Stark, Lyanna, ha sido secuestrada por Rhaegar Targaryen, y su hermano y su padre cruelmente ejecutados por el Rey Loco Aerys. Por esta razón, ha seguido a Robert Baratheon a la rebelión y nos pide que le acompañemos al sur en su lucha...;;;;;;;;;x
EVTOPTAtower_of_joy.1;Of course!;Bien sûr;;;¡Por supuesto!;;;;;;;;;x
EVTOPTBtower_of_joy.1;He can manage without me;Il peut se débrouiller sans moi;;;Puede hacerlo sin mí.;;;;;;;;;x
EVTDESCtower_of_joy.2;Ned Stark's sister, Lyanna, has been kidnapped by Rhaegar Targaryen, and his brother and father cruelly executed by the mad King Aerys. So he has followed Robert Baratheon into rebellion, and during the war I have become one of his close companions. Do I commit, and swear an oath to rescue Lyanna?;La soeur de Ned Stark, Lyanna, a été kidnappée par Rhaegar Targaryen. Son père et son frère ont été cruellement exécutés par le Roi Fou Aerys. Aussi a-t-il prit les armes pour soutenir Robert Baratheon dans sa rébellion et je suis devenu l'un de ses plus proches compagnons durant la guerre. Dois-je m'impliquer davantage en prêtant serment de secourir Lyanna ? ;;;La hermana de Ned Stark, Lyanna, ha sido secuestrada por Rhaegar Targaryen. Su padre y su hermano fueron cruelmente ejecutados por el Rey Loco Aerys. Así que Ned tomó las armas para apoyar a Robert Baratheon en su rebelión y me convertí en uno de sus compañeros más cercanos durante la guerra. ¿Debería prestar juramento para rescatar Lyanna?;;;;;;;;;x
EVTOPTAtower_of_joy.2;Yes, I vow to do so!;Oui, j'en fais le serment !;;;Pelearé por Lyanna!;;;;;;;;;x
EVTOPTBtower_of_joy.2;This sounds too risky.;Cela semble trop risqué;;;Esto suena demasiado peligroso.;;;;;;;;;x
EVTDESCtower_of_joy.299;During the war against the Targaryens, [From.GetTitledFirstNameWithDynasty] has become a close companion. [From.GetSheHeCap] has given me [From.GetHerHis] oath, and has vowed to help me rescue Lyanna from the clutches of Rhaegar Targaryen.;Durant la guerre contre les Targaryens, [From.GetTitledFirstNameWithDynasty] est devenu un compagnon proche. [From.GetSheHeCap] m'a fait le serment de secourir Lyanna, retenue captive par l'infâme Rhaegar Targaryen.;;;Durante la guerra contra los Targaryens [From.GetTitledFirstNameWithDynasty] se ha convertido en uno de mis compañeros más cercanos. [From.GetSheHeCap] se ha comprometido a ayudarme a rescatar a Lyanna de las garras de Rhaegar Targaryen.;;;;;;;;;x
EVTOPTAtower_of_joy.299;I need honourable men like you;J'ai besoin d'hommes d'honneurs comme toi.;;;Necesito hombres de honor como vos;;;;;;;;;x
EVTDESCtower_of_joy.3;Prince Rhaegar has asked you to protect Lady Lyanna at the Tower of Joy.;Le Prince Rhaegar vous a demandé de protéger Lady Lyanna à la Tour de la Joie…;;;El príncipe Rhaegar os ha pedido que protejáis a lady Lyanna en la Torre de la Alegría.;;;;;;;;;x
EVTOPTAtower_of_joy.3;How curious...;Comme c'est curieux;;;Qué curioso...;;;;;;;;;x
EVTNAMEtower_of_joy.5;The Tower of Joy;La Tour de la Joie;;;La Torre de la Alegría;;;;;;;;;x
EVTDESCtower_of_joy.5;The war has ended, yet Lyanna Stark is still prisoner in the Tower of Joy.... \n\nAs he approached the tower, Ned's wraiths moved up beside him, with shadow swords in hand. They were seven against three. 'And now it begins,' said Ser Arthur Dayne, the Sword of the Morning. He unsheathed Dawn and held it with both hands. The blade was pale as milkglass, alive with light. 'No,' Ned said with sadness in his voice. 'Now it ends.';La guerre est finie, mais Lyanna Stark est toujours prisonnière dans la Tour de la Joie… \n\nAlors qu'il approchait de la tour, des ombres du passé armées d'épées disparues accompagnaient Ned. Ils étaient sept contre trois. 'C'est maintenant que tout commence', disait ser Arthur Dayne, dégainant Aube. 'Non', rectifiait Ned d'une voix quelque peu navrée, 'c'est maintenant que tout s'achève'.;;;La guerra ha terminado pero Lyanna Stark sigue prisionera en la Torre de la Alegría. \n\nAl acercarse a la torre, los espectros de Ned se situaron junto a él, con espadas de sombras en las manos. Eran siete contra tres. 'Y esto va a empezar ahora mismo', dice Ser Arthur Dayne, la Espada del Amanecer. Desenvaina a Albor y la sujeta con ambas manos. La hoja es blanca como la leche, la luz hace que parezca tener vida. 'No', dice Ned con voz entristecida. 'Esto va a terminar ahora mismo.';;;;;;;;;x
EVTOPTAtower_of_joy.5;This will end in bloodshed...;Tout ceci s'achèvera par un carnage...;;;Esto terminará en una matanza...;;;;;;;;;x
TOOLTIPTOJCOMPANION;[This.GetFirstNameWithDynasty] accompanies you to the tower\n;[This.GetFirstNameWithDynasty] vous accompagne à la tour\n;;;[This.GetFirstNameWithDynasty] os acompaña a la torre\n;;;;;;;;;x
TOOLTIPTOJKINGSGUARD;[This.GetTitledFirstNameWithDynasty] of the Kingsguard stands in your way\n;[This.GetTitledFirstNameWithDynasty] de la Garde Royale vous barre le chemin\n;;;[This.GetTitledFirstNameWithDynasty] de la Guardia Real se interpone en vuestro camino\n;;;;;;;;;x
EVTDESCtower_of_joy.6;The war had ended and now I stand by [From.GetFirstNameWithDynasty] at the Tower of Joy, determined to rescue his sister Lyanna. Yet three knights of the Kingsguard stand before us, [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] picks me out and begins his attack!;La guerre est finie, j'accompagne à présent [From.GetFirstNameWithDynasty] à la Tour de la Joie pour secourir sa sœur Lyanna. Trois chevaliers de la Garde Royale nous barrent le chemin… [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] décide que je serai son adversaire et prépare son attaque !;;;La guerra ha terminado y ahora me encuentro junto a [From.GetFirstNameWithDynasty] en la Torre de la Alegría, decidido a rescatar a su hermana Lyanna. Sin embargo, tres caballeros de la Guardia Real nos impiden el paso... [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] me elige como su adversario y comienza su ataque!;;;;;;;;;x
EVTDESCtower_of_joy.6B;Many of my friends have fallen to the kingsguard's swords already, and now [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] is free to attack me directly...;Nombre de mes amis sont déjà tombés face aux épées de la Garde Royale, et désormais [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] est libre de m'attaquer…;;;Muchos de mis amigos han caído bajo las espadas de los Guardias Reales, y ahora [duel_me_kingsuard.GetTitledFirstName] [duel_me_kingsuard.GetOnlyDynastyName] es libre de atacarme directamente...;;;;;;;;;x
EVTOPTAtower_of_joy.6;For Winterfell!;Pour Winterfell !;;;Por Invernalia!;;;;;;;;;x
EVTTOOLTIPtower_of_joy.7;will meet you in single combat;va vous affronter en combat singulier;;;os enfrentará en combate singular;;;;;;;;;x
EVTDESCtower_of_joy.7;Ned Stark and his companions approach the tower, we have been sworn to protect the occupants...;Ned Stark et ses compagnons approche de la tour, nous avons juré de protéger ses occupants…;;;Ned Stark y sus compañeros se acercan a la Torre, pero hemos jurado proteger a sus ocupantes...;;;;;;;;;x
EVTOPTAtower_of_joy.7;We shall prevail...;Nous prévaudrons…;;;Venceremos...;;;;;;;;;x
EVTDESCtower_of_joy.8;[From.GetFirstNameWithDynasty] has prevailed against [FromFrom.GetTitledFirstNameWithDynasty]!;[From.GetFirstNameWithDynasty] a vaincu [FromFrom.GetFirstNameWithDynasty]! Nous alllons sûrement les battre!;;;[From.GetFirstNameWithDynasty] ha vencido a [FromFrom.GetFirstNameWithDynasty]!;;;;;;;;;x
EVTOPTAtower_of_joy.8;He died with honour;Il est mort avec honneur;;;Murió con honor;;;;;;;;;x
EVTDESCtower_of_joy.9;[FromFrom.GetFirstNameWithDynasty] has been slain by [From.GetFirstNameWithDynasty]!;[FromFrom.GetFirstNameWithDynasty] a été tué par [From.GetFirstNameWithDynasty]!;;;[FromFrom.GetFirstNameWithDynasty] ha muerto a manos de [From.GetFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCtower_of_joy.999;After a fierce fight, the kingsguard protecting the tower have been slain. Now [From.GetFirstName] prepares to enter the tower, and reclaim [From.GetHerHis] kin...;Après un féroce combat, la Garde Royale a été défaite. [From.GetFirstName] se prépare à entrer dans la tour pour secourir sa sœur… ;;;Después de un feroz combate, los Guardias Reales que protegían la torre han muerto. Ahora [From.GetFirstName] se prepara para entrar a la torre, y recuperar a su pariente…;;;;;;;;;x
