#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
plot_rescue_prisoner_title;Rescue [This.GetTitledFirstNameWithDynasty] from [This.Host.GetTitledFirstName]'s captivity;Secourir [This.GetTitledFirstNameWithDynasty] qui est retenu captif par [This.Host.GetTitledFirstName].;Rescue [This.GetTitledFirstName] from [This.Host.GetTitledFirstName]'s prison;;Rescatar a [This.GetTitledFirstNameWithDynasty]de la prisión de [This.Host.GetTitledFirstName];;;;;;;;;x
plot_rescue_prisoner_desc;[From.GetTitledFirstName] shall seek to free [This.GetTitledFirstNameWithDynasty] from captivity.;[From.GetTitledFirstName] va chercher à libérer [This.GetTitledFirstNameWithDynasty].;[From.GetTitledFirstName] shall fight to free [This.GetTitledFirstName] from imprisonment.;;[From.GetTitledFirstName] busca liberar a [This.GetTitledFirstNameWithDynasty] de la prisión.;;;;;;;;;x
plot_rescue_war_nobackers;Rescue prisoner alone;Secourir tout seul un prisonnier;Rescue prisoner alone;;Rescatar prisionero nosotros solos;;;;;;;;;x
plot_rescue_war_nobackers_desc;[Root.GetTitledFirstName] need not involve others in this affair. This war shall by fought by [Root.GetHerHis]self;[Root.GetTitledFirstName] n'a pas besoin d'impliquer d'autres personnes dans cette affaire. ;[Root.GetTitledFirstName] need not involve others in this affair. This war shall by fought by [Root.GetHerHis]self;;[Root.GetTitledFirstName] no es necesario involucrar a otros en este asunto.;;;;;;;;;x
plot_rescue_war_withallies;Issue a demand for [Root.PlotTarget.GetTitledFirstNameWithDynasty]'s release;Exiger la libération de [Root.PlotTarget.GetTitledFirstNameWithDynasty].;Rescue prisoner with allies;;Exigir la liberación de [Root.PlotTarget.GetFirstName] [This.GetOnlyDynastyName].;;;;;;;;;x
plot_rescue_war_withallies_desc;[Root.GetTitledFirstName] and [Root.GetHerHis] allies have waited long enough. It is time [Root.PlotTarget.GetTitledFirstName] was set free.;[Root.GetTitledFirstName] et ses alliés ont assez attendu. Il est temps de libérer [Root.PlotTarget.GetTitledFirstName] !;[Root.GetTitledFirstName] and [Root.GetHerHis] allies have waited long enough. It is time to go to war!;;[Root.GetTitledFirstName] y [Root.GetHerHis] aliados han esperado lo suficiente. Es el momento de liberar a [Root.PlotTarget.GetTitledFirstName]!;;;;;;;;;x
EVTDESC6000001;With no prisoner left to rescue, this war seems pointless...;Sans prisonnier à sauver, cette guerre semble injustifiée…;With no prisoner left to rescue, this war seems pointless...;;No hay ningún prisionero al que rescatar, esta guerra parece no tener sentido ...;;;;;;;;;x
CB_NAME_RESCUEPRISONER;Rescue Captive;Secourir un prisonnier;Rescue Prisoner;;Rescatar prisionero;;;;;;;;;x
WAR_NAME_RESCUEPRISONER;$CLAIMANT$'s$ORDER$ War to Liberate Captive from $DEFENDER$;$ORDER$ de $CLAIMANT$ Guerre pour libérer un captif de $DEFENDER$;$ORDER$$FIRST$ War to Liberate Prisoner from $SECOND$;;$ORDER$ de $CLAIMANT$ Guerra para liberar un prisionero de $DEFENDER$;;;;;;;;;x
EVTDESCrescue_prisoner.2;[Root.GetTitledFirstName], [From.PlotTarget.GetTitledFirstNameWithDynastyNoRegnal] has been kept in captivity long enough. I demand that [From.PlotTarget.GetSheHe] is set free, else you shall face my wroth.\n\nRegards,\n[From.GetTitledFirstNameWithDynastyAndTitle];[Root.GetTitledFirstName], [From.PlotTarget.GetTitledFirstName] est prisonnier(e) depuis bien trop longtemps. J'exige qu'[Root.PlotTarget.GetSheHe] soit immédiatement libéré(e) ou vous devrez affronter ma colère.\n\nCordialement,\n[From.GetTitle] [From.GetFirstNameWithDynasty];;;[Root.GetTitledFirstName], [From.PlotTarget.GetTitledFirstName] ha sido prisionero demasiado tiempo. Exijo que [Root.PlotTarget.GetSheHe] sea puesto en libertad, o se enfrentarán a mi. \n\nSaludos, \n [From.GetTitle] [From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTArescue_prisoner.2;I might as well release [From.PlotTarget.GetHerHim];Je pourrais également le(a) libérer.;;;Libera a [Root.PlotTarget.GetHerHim];;;;;;;;;x
