#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCFREECITIES100;Every night, you sneak out of your room to wander the streets of [Root.Location.GetName] and watch the bravos dance. The clash of steel, the swift and sudden blows, all fascinate you. One day, you find yourself idly picking up a wooden practice sword, and giving it a few swings.;Chaque nuit, vous sortez de votre chambre pour errer dans les rues de [Root.Location.GetName] et observer la danse des spadassins. Le choc de l'acier, les coups rapides, précis, tout vous fascine. Un jour, vous vous surprenez à fabriquer une épée en bois et à essayer quelques mouvements. ;;;Todas las noches, te escapas de tu habitación para pasear por las calles de [Root.Location.GetName] para ver a los jaques. El choque del acero, los golpes rápidos y repentinos, todo te fascina. Un día, fabricas una espada de madera, y prácticas un poco.;;;;;;;;;x
EVTOPTAFREECITIES100;I want to be a bravo, too!;Je veux aussi être un spadassin !;;;Quiero ser un jaque!;;;;;;;;;x
EVTDESCFREECITIES1001;You find your [From.GetRootRelation] [From.GetFirstName] in the practice yard one morning, training with a wooden sword. [From.GetSheHeCap] says that [From.GetSheHe] has been watching the bravos, and wants to join them.;Un matin vous surprenez votre [From.GetRootRelation] [From.GetFirstName] sur le terrain d’entraînement, tentant quelques bottes avec une épée en bois. [From.GetSheHeCap] dit qu'[From.GetSheHe] observait souvent les spadassins et veut en devenir un(e). ;;;Encuentras a tu [From.GetRootRelation] [From.GetFirstName] en el patio de prácticas una mañana, entrenando con una espada de madera. Dice que ha estado observando a los jaques, y quiereser uno de ellos.;;;;;;;;;x
EVTOPTAFREECITIES1001;A fine career for a young [From.GetManWoman].;Une bonne carrière pour un(e) jeune [From.GetManWoman].;;;Una muy buena carrera para un joven.;;;;;;;;;x
EVTOPTBFREECITIES1001;Are you out of your mind? That's far too dangerous!;Es-tu complètement fou(olle) ? C'est bien trop dangereux !;;;¿Estás loco? Eso es muy peligroso!;;;;;;;;;x
EVTDESCFREECITIES1002;Your [From.GetRootRelation] found you practicing with your little wooden sword early one morning. Fortunately, [From.GetSheHe] approved of your new aspirations, and even offered to teach you a new move.;Un matin, votre [From.GetRootRelation] vous a surpris avec votre petite épée en bois. Heureusement, [From.GetSheHe] a approuvé votre nouvelle passion, et a même proposé de vous apprendre un nouveau mouvement.;;;Tu [From.GetRootRelation] te encontró practicando con tu pequeña espada de madera una madrugada. Afortunadamente, [From.GetSheHe] ha aprobado tu nueva pasión, y se ofreció a enseñarte un nuevo movimiento.;;;;;;;;;x
EVTOPTAFREECITIES1002;Stick 'em with the pointy end.;Frappe-les avec le bout pointu.;;;Clávala por el extremo puntiagudo;;;;;;;;;x
EVTDESCFREECITIES1003;Your [From.GetRootRelation] found you practicing with your little wooden sword early one morning, and [From.GetSheHe] was furious. You spent the entire day suffering a long, withering lecture, and you've been barred from the practice yard.;Un matin votre [From.GetRootRelation] vous a surpris pendant que vous vous entrainiez avec votre petite épée en bois. [From.GetSheHe] était furieux(se). Vous avez passé le reste de la journée à vous faire sermonner avant de vous faire exclure du terrain d'entrainement. ;;;Tu [From.GetRootRelation] te encontró practicando con tu pequeña espada de madera una mañana temprano, y [From.GetSheHe] estaba furioso. Pasaste el día entero sufriendo una larga reprimenda, y has sido expulsado del patio de prácticas.;;;;;;;;;x
EVTOPTAFREECITIES1003;...maybe I don't want to be a bravo after all.;… peut-être que je ne veux pas devenir un spadassin après tout. ;;;...tal vez ya no quiera ser un jaque después de todo.;;;;;;;;;x
EVTDESCFREECITIES1026;After the death of Prince [FromFrom.GetFirstName] a new Prince has been selected. This great honour has been bestowed upon [From.GetFirstNameWithDynasty], who shall now assume the style of [From.GetTitledFirstName]. He shall preside over all balls and feasts, and shall deflower the maid of the fields and the maid of the seas upon each new year. ;Après la mort du prince [FromFrom.GetFirstName] un nouveau prince a été choisi. Ce grand honneur a été décerné à [From.GetFirstNameWithDynasty], qui dirigera désormais [From.GetTitledFirstName]. Il devra présider tous les bals et toutes les fêtes et devra déflorer chaque année la vierge des champs et la vierge des mers. ;;;Después de la muerte del Príncipe [FromFrom.GetFirstName] un nuevo príncipe ha sido elegido. Este gran honor ha sido concedido a [From.GetFirstNameWithDynasty], quien dirigirá el [From.GetTitledFirstName]. Presidirá todas las fiestas, y deberá desflorar a las doncellas de los campos y de los mares cada nuevo año.;;;;;;;;;x
