#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wikid;On a Quest Overseas;Dans une quête outre-mer;;;En una búsqueda en el extranjero;;;;;;;;;x
wikid_desc;This character is not at court, and is on a quest in foreign lands;Ce personnage n'est pas à la cour, il est actuellement en terre étrangère pour mener une quête;;;Este personaje no está en la corte, actualmente se encuentra en territorio extranjero realizando una misión;;;;;;;;;x
wikiddirewolf;The pillar displays a Direwolf;Un Loup Garou est représenté sur le pilier;;;El pilar muestra un Lobo huargo;;;;;;;;;x
wikidcrow;The pillar displays a Crow;Un Corbeau est représenté sur le pilier;;;El pilar muestra un cuervo ;;;;;;;;;x
wikideagle;The pillar displays an Eagle;Un Aigle est représenté sur le pilier;;;El pilar muestra un águila;;;;;;;;;x
wikiddog;The pillar displays a Dog;Un Chien est représenté sur le pilier;;;El pilar muestra un perro;;;;;;;;;x
wikiddirewolf_desc;The pillar displays a Direwolf;Un Loup Garou est représenté sur le pilier;;;El pilar muestra un lobo huargo;;;;;;;;;x
wikidcrow_desc;The pillar displays a Crow;Un Corbeau est représenté sur le pilier;;;El pilar muestra un cuervo;;;;;;;;;x
wikideagle_desc;The pillar displays an Eagle;Un Aigle est représenté sur le pilier;;;El pilar muestra un águila;;;;;;;;;x
wikiddog_desc;The pillar displays a Dog;Un Chien est représenté sur le pilier;;;El pilar muestra un perro;;;;;;;;;x
CUSTOMTOOLTIPwikidsuccess;You Succeed.;Succès;;;Triunfas;;;;;;;;;x
CUSTOMTOOLTIPwikidfail;You Fail.;Echec;;;Fallas;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionloves;Your companion think's fondly of you because of this.;Votre compagnon(e) vous aime pour cela.;;;Su compañero piensa con cariño debido a eso.;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionhates;Your companion dislikes you because of this.;Votre compagnon(e) vous déteste pour cela.;;;Su compañero piensa con odio debido a eso.;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionbetrayinform;You have treated your companion so poorly that they have decided to claim the sword for themselves;Vous avez tellement mal traité votre compagnon(e) qu'il a décidé de prendre l'épée pour lui(elle)-même;;;Trataste a tu compañero tan mal que decidió tomar la espada por él mismo;;;;;;;;;x
EVTTITLEwikid.1;An old man with a map;Un vieil homme avec une carte;;;Un anciano con un mapa;;;;;;;;;x
EVTDESCwikid.1;My [Root.GetMyPhysicianName] came to me today, a bit annoyed and tired.\n\n'[Root.PrimaryTitle.GetFOA], there is an old man in the courtyard claiming he has to speak with you. He claims he has something you'd pay a great sum of money for. The old man seems to me to be a lunatic, but...well he claimed he had a map.......an old map of Valyria where great treasures are hidden.';Mon [Root.GetMyLordSpiritualName] est venu à moi aujourd'hui, un peu ennuyé et fatigué.\n\n'[Root.PrimaryTitle.GetFOA], il y a un vieil homme dans la cour qui dit avoir à parler avec vous. Il affirme être en possession de quelque chose que vous seriez prêt à acheter à grand prix. Il me semble un peu lunatique mais... enfin, il dit qu'il a une carte.... Une antique carte de Valyria indiquant où sont cachés de grands trésors. ';;;Mi [Root.GetMyPhysicianName] vino a mí hoy, un poco molesto y cansado.\n\n'[Root.PrimaryTitle.GetFOA], hay un anciano en el patio que dice que tiene que hablar con usted. Él dice que tiene algo por lo que pagarías una gran suma de dinero. El viejo parece un lunático, pero afirmó que tenía un antiguo mapa.. Un mapa de la antigua Valyria, donde se esconden grandes tesoros.;;;;;;;;;x
EVTOPTAwikid.1;Let's hear what he has to say.;Ecoutons ce qu'il a à dire.;;;Escuchemos lo que tiene que decir;;;;;;;;;x
