#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
stark;Stark Bloodline;;;;Linaje Stark;;;;;;;;;x
stark_desc;Brandon the Builder built The Wall that protects the realm from those beyond it. The Stark ancestral blade, Ice, has been passed through the house for thousands of years.;;;;Brandon el Constructor construyó El Muro que protege el reino de aquellos más allá de él. La espada ancestral Stark, Hielo, ha sido legada generación tras generación durante miles de años en la casa.;;;;;;;;;x
lannister;Lannister Bloodline;;;;Linaje Lannister;;;;;;;;;x
lannister_desc;Lann the Clever tricked the Casterlys into giving him Casterly Rock. They are one of the richest Houses in Westeros thanks to the gold mines under their control.;;;;Lann El Astuto engañó a los Casterly para que le dieran Roca Casterly. Esta es una de las Casas más ricas de Poniente gracias a las minas de oro bajo su control.;;;;;;;;;x
arryn;Arryn Bloodline;;;;Linaje Arryn;;;;;;;;;x
arryn_desc;Ser Artys Arryn slew the Griffin King and was crowned King of Mountain and Vale. The Arryns have rule from atop the Eyrie a fortress considered to be impregnable.;;;;Ser Artys Arryn mató al Rey Grifo y fue coronado Rey de la Montaña y del Valle. Los Arryn han gobernado desde entonces desde Nido de Águilas, una fortaleza considerada impregnable.;;;;;;;;;x
tully;Tully Bloodline;;;;Linaje Tully;;;;;;;;;x
tully_desc;Lord Edmyn Tully sided with Aegon the Conqueror against Iron King Harren the Black and was rewarded with control over the Riverlands.;;;;Lord Edmyn Tully apoyó a Aegon el Conquistador contra el Rey de Hierro Harren el Negro y fue recompensado con el control sobre las Tierras de los Ríos.;;;;;;;;;x
tyrell;Tyrell Bloodline;;;;Linaje Tyrell;;;;;;;;;x
tyrell_desc;Lord Harlan Tyrell was granted Highgarden and dominion over the Reach after the death of King Mern IX Gardener. This house traces their line to Garth Greenhand.;;;;A Lord Harlan Tyrell le fue concedido Altojardín y la gobernanza sobre El Dominio después de la muerte del Rey Mern IX Gardener. El linaje de esta casa desciende de Garth Manoverde.;;;;;;;;;x
martell;Nymeros-Martell Bloodline;;;;Linaje Nymeros-Martell;;;;;;;;;x
martell_desc;Prince Mors Martell married Nymeria the Warrior Queen of the Rhoynar and united Dorne under the banner of House Nymeros-Martell. ;;;;El Príncipe Mors Martell se casó con Nymeria la Reina Guerrera de los Rhoynar y unificó Dorne bajo el estandarte de la Casa Nymeros-Martell. ;;;;;;;;;x
targaryen;Targaryen Bloodline;;;;Linaje Targaryen;;;;;;;;;x
targaryen_desc;House Targaryen is a noble family of Valyrian descent. They were the only family of dragonlords who survived the Doom of Valyria.;;;;La Casa Targaryen es una familia noble de descendencia Valyrian. Fueron la única familia de señoresdragón que sobrevivió a la Maldición de Valyria.;;;;;;;;;x
greyjoy;Greyjoy Bloodline;;;;Linaje Greyjoy;;;;;;;;;x
greyjoy_desc;Vickon Greyjoy was chosen to rule over the Iron Islands after the extinction of House Hoare. Their house can trace their line back to the Grey King.;;;;Vickon Greyjoy fue elegido para gobernar sobre las Islas del Hierro después de la extinción de la Casa Hoare. El linaje de su casa se remonta hasta el Rey Gris.;;;;;;;;;x
baratheon;Baratheon Bloodline;;;;Linaje Baratheon;;;;;;;;;x
baratheon_desc;Orys Baratheon, the rumoured bastard brother of King Aegon the Conqueror, slew the last Storm King Argilac Durrandon and took his sigil, words and daughter for his own.;;;;Orys Baratheon, el rumoreado hermano bastardo del Rey Aegon el Conquistador, mató al último Rey de la Tormenta Argilac Durrandon y tomó su blasón, su lema y a su hija como suyos.;;;;;;;;;x
garth_greenhand;Blood of Garth Greenhand;;;;Sangre de Garth Manoverde;;;;;;;;;x
garth_greenhand_desc;Garth Greenhand was the first ruler of The Reach who wore a crown of vines and flowers that made the land bloom;;;;Garth Manoverde fue el primer gobernante del Dominio que llevó una corona de vides y flores y que hizo florecer a su tierra.;;;;;;;;;x
hoare;Hoare Bloodline;;;;Linaje Hoare;;;;;;;;;x
hoare_desc;Known as the black line, or the black blood, the Hoares became the Kings of the Iron Islands after the Andal settlers on the islands ended the rule of House Greyiron.;;;;Conocido como el linaje negro, o la sangre negra, los Hoare se convirtieron en Reyes de las Islas del Hierro después de que los colonos Ándalos acabaran con el reinado de la Casa Greyiron.;;;;;;;;;x
durrandon;Durrandon Bloodline;;;;Linaje Durrandon;;;;;;;;;x
durrandon_desc;Storm King Durran built Storm's End and won the love of Elenei, the daughter of the Sea God and Goddess of the Wind.;;;;El Rey de la Tormenta Durran construyó Bastión de Tormentas y ganó el amor de Elenei, la hija del Dios del Mar y la Diosa del Viento.;;;;;;;;;x
bloodline_divine;Divine Bloodline;;;;Linaje Divino;;;;;;;;;x
bloodline_divine_desc;This individual is a descendant of the one who took on the mantel of 'The Divine' after becoming a legend to last the ages;;;;"Este individuo es un descendiente de quien tomó el manto de ""El Divino"" después de convertirse en una leyenda inmemorial.";;;;;;;;;x
blood_of_the_dragon;Blood of the Dragon;;;;Sangre del Dragon;;;;;;;;;x
blood_of_the_dragon_desc;A bloodline of Dragonlords of Old Valyria.;;;;Un Linaje de Señoresdragón de la Vieja Valyria.;;;;;;;;;x
northman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
northman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The North;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Norte;;;;;;;;;x
valeman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
valeman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Vale;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Valle;;;;;;;;;x
riverlander_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
riverlander_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Riverlands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Las Tierras de los Ríos;;;;;;;;;x
reachman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
reachman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Reach;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Dominio;;;;;;;;;x
westerman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
westerman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Westerlands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Occidente;;;;;;;;;x
dornish_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
dornish_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Dorne;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Dorne;;;;;;;;;x
stormlander_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
stormlander_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Stormlands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Las Tierras de la Tormenta;;;;;;;;;x
ironborn_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
ironborn_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Iron Islands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Las Islas del Hierro;;;;;;;;;x
blackfyre_bl;Blackfyre Bloodline;;;;Linaje Fuegoscuro;;;;;;;;;x
blackfyre_bl_desc;Blackfyre Bloodline;;;;Linaje Fuegoscuro;;;;;;;;;x
GetBloodlineName_default;[This.GetOnlyDynastyName] Bloodline;;;;Linaje [This.GetOnlyDynastyName];;;;;;;;;x
GetBloodlineName_imperial;Imperial [This.GetOnlyDynastyName] Bloodline;;;;Linaje Imperial [This.GetOnlyDynastyName];;;;;;;;;x
GetBloodlineName_cadet;[bloodline_title.GetAdjective] [This.GetOnlyDynastyName] Bloodline;;;;[Linaje_title.GetAdjective] Linaje [This.GetOnlyDynastyName];;;;;;;;;x
e_iron_throne_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
e_iron_throne_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Seven Kingdoms;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Los Siete Reinos;;;;;;;;;x
e_new_valyria_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
e_new_valyria_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in the lands of the Valyrian Freehold;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en las tierras del Feudo Franco de Valyria;;;;;;;;;x
e_summer_sea_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
e_summer_sea_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Summer Sea;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Mar del Verano;;;;;;;;;x
e_ghiscar_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
e_ghiscar_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Ghiscari Empire;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Imperio Ghiscari;;;;;;;;;x
e_yi_ti_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
e_yi_ti_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Golden Empire of Yi Ti;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Imperio Dorado de Yi Ti;;;;;;;;;x
old_first_man_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
old_first_man_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines amongst the First Men;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes de los Primeros Hombres;;;;;;;;;x
sisterman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
sisterman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Sisters;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Tres Hermanas;;;;;;;;;x
old_andal_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
old_andal_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Andalos;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes de Los Ándalos;;;;;;;;;x
hill_clansman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
hill_clansman_bl;House [This.GetOnlyDynastyName] is one of the most respected bloodlines amongst the Hill Clans;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes de Los Clanes de las Montañas;;;;;;;;;x
crannogman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
