#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCsothoryos.2;The lands of [From.Kingdom.GetName] are rife with disease, and one particularly virulent one, the Red Death, has reached [From.GetName]!;Les terres de [From.Kingdom.GetName] sont ravagées par la maladie, et une particulièrement virulente, la mort rouge, a frappé [From.GetName] !;;;¡Las tierras de [From.Kingdom.GetName] están plagadas de enfermedades, y una particularmente virulenta, la muerte roja, ha alcanzado [From.GetName]!;;;;;;;;;x
EVTOPTAothoryos.2;I sure hope I dont catch it;J'espère ne pas l'attraper. ;;;Espero no cogerla;;;;;;;;;x
red_death;The Red Death;La Mort Rouge;;;La Muerte Roja;;;;;;;;;x
red_death_desc;The Red Death has struck this province, a terrible disease typically caught in the hot and humid lands of Sothoryos. Nine victims of every ten die screaming, bleeding copiously from every orifice, their skin shredding like wet parchment.;La mort rouge a atteint cette province;;;La Muerte Roja ha golpeado esta provincia, una terrible enfermeda normalmente contraída en las húmedas y calurosas tierras de Sothoryos. Nueve de cada diez hombres murieron gritando y sangrando copiosamente por todos los orificios, con la piel cayéndose a jirones del cuerpo como pergamino mojado.;;;;;;;;;x
has_red_death;Has The Red Death;A la mort rouge;;;Tiene la Muerte Roja;;;;;;;;;x
has_red_death_desc;This character has The Red Death, a terrible disease typically caught in the hot and humid lands of Sothoryos. Nine victims of every ten die screaming, bleeding copiously from every orifice, their skin shredding like wet parchment.;Ce personnage a attrapé la mort rouge, une terrible maladie qu'il est courant de contracter dans les terres chaudes et humides de Sothoryos. Neuf malades sur dix en décèdent, leur sang s'écoulant par tous leurs orifices et leur peau se déchiquetant tel du parchemin mouillé. ;;;Este personaje tiene la Muerte Roja, una terrible enfermeda normalmente contraída en las húmedas y calurosas tierras de Sothoryos. Nueve de cada diez hombres murieron gritando y sangrando copiosamente por todos los orificios, con la piel cayéndose a jirones del cuerpo como pergamino mojado.;;;;;;;;;x
has_red_death_death;screaming and bleeding from the Red Death;de la mort rouge;;;gritando y sangrando por la Muerte Roja;;;;;;;;;x
EVTDESCsothoryos.3;The Red Death outbreak has complete shattered the colony at [Root.GetName]. Nine men of every ten died screaming, bleeding copiously from every orifice, their skin shredding like wet parchment. The colony has failed as a result.;La mort rouge a complètement ravagé la colonie de [Root.GetName]. Neuf dixièmes des malades sont morts, leur sang ayant quitté leur corps par tous les orifices possibles et leur s'étant déchiqueté comme du parchemin mouillé. Cela a fait échouer la colonie. ;;;La epidemia de Muerte Roja ha destrozado por completo la colonia de [Root.GetName]. Nueve de cada diez de los que la cogen mueren entre gritos agonizantes, sangrando copiosamente por cada uno de sus orificios, con la piel cayéndose a jirones del cuerpo como pergamino mojado. Esto ha hecho fracasar la colonia.;;;;;;;;;x
EVTOPTAsothoryos.3;It seems colonising here only ends in horror;Il semble que coloniser cette endroit ne résulte qu'en de terribles horreurs. ;;;Parece que colonizar este lugar solo provoca terribles horrores.;;;;;;;;;x
EVTDESCsothoryos.4;Whilst in [Root.Location.GetName], you have caught The Red Death! This agonising disease can cause profusive bleeding and shredded skin.;Alors que vous étiez à [Root.Location.GetName], vous avez attrapé la mort rouge ! Cette très douloureuse maladie provoque des saignements abondants par tous les orifices et le fissurage de la peau.;;;¡Mientras estabais en [Root.Location.GetName], habéis cogido la Muerte Roja! Esta dolorosa enfermedad causa sangrados abundantes y que la piel se desmenuce.;;;;;;;;;x
EVTOPTAsothoryos.4;This is not going to be pleasant;Cela ne va pas être plaisant.;;;Esto no va a ser agradable.;;;;;;;;;x
EVTDESCsothoryos.5;Thankfully you did not suffer deadly symptons whilst suffering from The Red Death. You have recovered after experiencing only mildly painful bleeding.;Vous n'avez heureusement pas montré les symptômes mortels de la mort rouge. Vous avez guéri après seulement quelques saignements.;;;Afortunadamente no habéis sufrido ninguno de los síntomas mortales de la Muerte Roja. Os habéis recuperado tras solo sufrir leves dolorosos sangrados.;;;;;;;;;x
EVTOPTAsothoryos.5;Thank [Root.Religion.GetHighGodName];Merci [Root.Religion.GetHighGodName];;;Gracias [Root.Religion.GetHighGodName];;;;;;;;;x
EVTDESCsothoryos.10A;Whilst traversing a humid and green river in [Root.Location.GetName] your boat was attacked by a huge crocodile! It managed to overturn the boat, swimming up from below, after which it devoured much of the crew as they struggled in the water.;Alors que vous traversiez un fleuve verdâtre à [Root.Location.GetName] votre bateau a été attaqué par un immense lézard-lion ! Il est parvenu à renverser l'embarcartion avant de dévorer une bonne partie de l'équipage.;;;¡Mientras atravesabais un húmedo río verde en [Root.Location.GetName] vuestro bote fue atacado por un enorme cocodrilo! El animal consiguió volcar el bote, y devorar a gran parte de la tripulación mientras el resto trataba de escapar.;;;;;;;;;x
