#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCclash_of_kings.500;My name is Robb Stark of Winterfell. I refused to bend my knee before the Lannister imposters. They must pay for the murder of my father and the abduction of my sisters. Spurred on by my loyal vassals, I have been crowned King in the North and Trident, claiming back the ancestral birthright of my noble House from the corrupt and degenerate Iron Throne. Now I must choose a Queen to rule with me, I have been betrothed to Roslin Frey, however in a moment of weakness I laid with Jeyne Westerling and she may be carrying my child. Do I risk angering the Freys to maintain her honour or do I seek the best alliance to secure the war?;Mon nom est Robb Stark de Winterfell. J'ai refusé de ployer le genou devant les imposteurs Lannister, ils doivent payer pour le meurtre de mon père. Sous l'impulsion de mes vassaux, j'ai été couronné Roi du Nord et du Trident et j'ai revendiqué les terres de mes ancêtres qui se trouvent sous l'autorité du décadent trône de fer. Je dois désormais choisir une reine, je suis fiancé à Roslin Frey seulement, dans un moment de faiblesse, j'ai partagé la couche de Jeyne Ouestrelin et elle porte peut-être mon enfant. Dois-je risquer de froisser les Frey pour ne pas la déshonorer ou dois-je maintenir la meileure alliance pour m'assurer de remporter la victoire ? ;;;Mi nombre es Robb Stark de Invernalia. Me negué a doblar la rodilla ante los impostores Lannister. Deben pagar por el asesinato de mi padre y el secuestro de mis hermanas. Alentado por mis leales vasallos, he sido coronado Rey en el Norte y del Tridente, reclamando de nuevo el derecho de nacimiento ancestral de mi noble Casa ante la corrupción y degeneración del Trono de Hierro. Ahora he de escoger una reina que reine conmigo, me han prometido a Roslin Frey, sin embargo, en un momento de debilidad me acoste con Jeyne Westerling y podría llevar dentro a mi hijo. Corro el riesgo de enfadar a los Frey por romper mi promesa... ¿O debo mantener la mejor alianza para intentar ganar la guerra?;;;;;;;;;x
EVTOPTAclash_of_kings.500;I made a promise to the Freys which I must keep;J'ai fait une promesse aux Frey que je dois tenir;;;Hice una promesa a los Frey, debo mantenerla;;;;;;;;;x
EVTOPTBclash_of_kings.500;Jeyne's honour must be preserved, I will marry her;L'honneur de Jeyne doit être préservé, je l'épouserai;;;El honor de Jeyne debe ser preservado, me casaré con ella;;;;;;;;;x
EVTOPTCclash_of_kings.500;There are better alliances to win the war;Il y a de meilleures alliances pour gagner la guerre;;;Hay mejores alianzas para ganar la guerra;;;;;;;;;x
EVTDESCclash_of_kings.501;I, King Joffrey of House Baratheon, First of my Name, rightful Lord of the Seven Kingdoms, hereby declare my uncles Stannis and Renly, along with the Starks of Winterfell, to be traitors and enemies of the Crown. Any other man daring to challenge my noble ascendency and right to rule the Seven Kingdoms will also be attained, and his head mounted atop the gates of King's Landing.;Moi, Joffrey de la maison Baratheon, le véritable roi des Sept Couronnes, déclare à présent mes oncles Renly et Stannis ainsi que les Stark de Winterfell traîtres et ennemis de la couronne. Toute autre personne osant remettre en cause ma noble ascendance et mes droits sur la couronne sera mise à mort et sa tête sera fichée au bout d'une pique au-dessus des portes de Port-Réal.;;;Yo, el rey Joffrey de la Casa Baratheon , El primero de su nombre, legítimo Rey de los Ándalos, los Rhoynar y los Primeros Hombres, señor de los Siete Reinos y Protector del Reino, declaro a mis tíos Stannis y Renly traidores y enemigos de la Corona, junto con los Stark de Invernalia. Cualquier hombre que se atreva a desafiar mi noble ascendencia y derecho de gobernar los Siete Reinos será ejecutado, y su cabeza ensartada en una pica a las puertas de Desembarco del Rey.;;;;;;;;;x
EVTOPTAclash_of_kings.501;BRING ME THEIR HEADS! NOW!;JE VEUX LEUR TETE !!;;;TRAEDME SUS CABEZAS!! AHORA!!;;;;;;;;;x
EVTDESClash_of_kings.1;;;;;;;;;;;;;;x
EVTTITLEclash_of_kings.1;Parley at Storm's End;Pourparlers à Accalmie;;;Parlamento en Bastión de Tormentas;;;;;;;;;x
EVTDESCclash_of_kings.1;I've never liked my brother, but he is my own blood, and I've no wish to fight him. Besides, to take King's Landing, I need the power of the lords sworn to him. If he'll but bend the knee and swear me fealty, I'll have no quarrel with him.;Je ne l’ai jamais aimé, mais comme il n’en est pas moins mon sang, je n’ai aucune envie de le tuer. De plus, pour m’emparer de la cité, les forces de ces seigneurs du Sud que j’aperçois là-bas, dans la campagne, me sont indispensables. Mon frère les a. Il me faut les lui enlever.;;;Nunca me ha gustado mi hermano, pero él es de mi propia sangre, y no tengo ningún deseo de luchar contra él. Además, para tener Desembarco del Rey, necesito el poder de sus señores juramentados. Pero debe doblar la rodilla y jurarme lealtad, y no tendré nada en contra de él.;;;;;;;;;x
EVTOPTAclash_of_kings.1;He has a point - my cause is hopeless.;Il marque un point, ma cause est désespérée;;;Tiene razón, mi causa no es posible.;;;;;;;;;x
EVTOPTBclash_of_kings.1;I am the rightful King!;Je suis le Roi légitime !;;;Yo soy el Rey legítimo!;;;;;;;;;x
EVTTOOLTIPclash_of_kings.3;will respond;va répondre;;;responderá;;;;;;;;;x
EVTDESCclash_of_kings.2;Stannis' claim rested on the word of a dead man and naught else. He has, for once in his life, come to his senses and decided to back me, his younger, bolder, and far more comely brother.;Les revendications de Stannis reposent sur les mots d'un défunt. Il a, pour une fois dans sa vie, entendu raison et décidé de me supporter, moi, son frère;;;Las reclamaciones de Stannis descansan en la palabra de un hombre muerto y en nada más. El tiene, por una vez en su vida, que entrar en razón y decidir apoyarme, porque soy más joven, apuesto y más audaz.;;;;;;;;;x
EVTOPTAclash_of_kings.2;He finally sees sense.;Il entend enfin raison;;;Él finalmente se dio cuenta.;;;;;;;;;x
EVTDESCclash_of_kings.3;What am I to do with this brother of mine? He refuses my peach, he refuses my castle, he even shunned my wedding. The whole of the realm denies his claim to the Iron Throne and yet he will not see reason beyond his blind pride. Well, the Lannisters can wait until I've dealt with him: I hope your new god's a merciful one, brother...; Il refuse ma pêche, il refuse mon château, il a même boudé mes noces... Les Lannister n’ont qu’à attendre mon bon plaisir. J’espère que ton nouveau dieu n’ignore point la compassion, frère.;;;¿Qué voy a hacer con este hermano mío? Rechaza mi melocotón, rechaza mi castillo, incluso rehuyó mi boda. Todo el reino niega su derecho al Trono de Hierro y sin embargo, no tiene más causa que su orgullo ciego. Bueno, los Lannister pueden esperar hasta que me haya ocupado de él. Espero que tu nuevo dios sea un ser misericordioso, hermano...;;;;;;;;;x
EVTOPTAclash_of_kings.3;The rightful King is the one with the bigger army.;Le roi légitime est celui qui possède la plus grande armée;;;El Rey legítimo es el que tiene el ejército más grande.;;;;;;;;;x
EVTOPTBclash_of_kings.3;He has a point - my claim is unjust.;Il marque un point, ma revendication n'est pas juste;;;Tiene razón, mi reivindicación es injusta.;;;;;;;;;x
EVTTOOLTIPclash_of_kings.4;Negotiations will break down.;Les négociations vont échouer;;;Las negociaciones se rompen.;;;;;;;;;x
