#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
call_in_election_support;Call in Election Support;;;;Pedir Respaldo en la Elección;;;;;;;;;x
call_in_election_support_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to back you in votes and elections;;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que os respalde en una de las votaciones o elecciones;;;;;;;;;x
election_support_called;Election Support Called;;;;Respaldo en la Elección Pedido;;;;;;;;;x
opinion_supporting_in_election;Pledged Election Support;;;;Respaldo en la Elección Prometido;;;;;;;;;x
favor_improve_relations;Improve Relations with [Root.Liege.GetTitledFirstNameNoRegnal];;;;Mejorar las Relaciones con [Root.Liege.GetTitledFirstNameNoRegnal];;;;;;;;;x
favor_improve_relations_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to improve your relations with [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal];;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que mejore sus relaciones con [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
opinion_favored_being_called;Favor Being Called;;;;Favor Siendo Pedido;;;;;;;;;x
favor_sabotage_job;Sabotage Job Action;;;;Sabotear Trabajo;;;;;;;;;x
favor_sabotage_job_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to sabotage [Root.GetHerHis] current job;;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que sabotee su trabajo actual;;;;;;;;;x
favor_embezzle_funds;Embezzle Funds;;;;Desfalcar Fondos;;;;;;;;;x
favor_embezzle_funds_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to embezzle funds from [Root.Liege.GetTitledFirstNameNoRegnal]'s treasury.;;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que desfalque fondes de la tesorería de [Root.Liege.GetTitledFirstNameNoRegnal].;;;;;;;;;x
EVTTOOLTIPplot_event.305;If agreed, [Root.GetTitledFirstNameNoRegnal] will attempt to embezzle funds from [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal]'s treasury (20% of yearly income). If successful it will be split evenly.;;;;Si está de acuerdo, [Root.GetTitledFirstNameNoRegnal] intentará desfalcar fondos de la tesorería de [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] (20% de los ingresos anuales). Si resulta exitoso el dinero se repartirá a medias.;;;;;;;;;x
favor_find_plot;Find Plots;;;;Buscar Compots;;;;;;;;;x
favor_find_plot_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to find hostile plots against your family;;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que encuentre complots hostiles contra vuestra familia;;;;;;;;;x
TOOLTIPfavor_find_plot;There is an unknown plot against your family;;;;Hay un complot desconocido contra vuestra familia;;;;;;;;;x
EVTTOOLTIPplot_event.310;[Root.GetTitledFirstNameNoRegnal] will attempt to find a hostile plot against your family;;;;[Root.GetTitledFirstNameNoRegnal] intentará encontrar complots hostiles contra vuestra familia;;;;;;;;;x
favor_reduce_tyranny;Reduce Tyranny;;;;Reducir Tiranía;;;;;;;;;x
favor_reduce_tyranny_desc;Use the favor you have with [Root.GetTitledFirstNameNoRegnal] to force [Root.GetHerHim] to improve your reputation and reduce your tyranny;;;;Usar el favor que os debe [Root.GetTitledFirstNameNoRegnal] para forzarle a que mejore su reputación y reduzca su tiranía;;;;;;;;;x
EVTTOOLTIPplot_event.320;[Root.GetTitledFirstNameNoRegnal] will attempt to reduce your tyranny;;;;[Root.GetTitledFirstNameNoRegnal] intentará reducir su tiranía;;;;;;;;;x
EVTDESC_ZE_8165;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] wishes to call in the favor that you owe [FromFrom.GetHerHim]. [FromFrom.GetSheHeCap] wants your backing in the upcoming votes, and expects you to vote for [FromFrom.GetHerHim] over any other candidates.;;;;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] desea reclamar el favor que le debéis. [FromFrom.GetSheHeCap] quiere vuestro respaldo en las próximas votaciones, y espera que votéis por sus candidatos y no por el resto.;;;;;;;;;x
EVTOPTA_ZE_8165;It shall be done;;;;Así se hará;;;;;;;;;x
EVTDESCplot_event.305;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] has approached you with a scheme that would free you of the favor that you owe [FromFrom.GetHerHim]. [FromFrom.GetSheHeCap] wants you to use your position as [Root.GetJobTitle] to embezzle funds from [Root.Liege.GetTitledFirstNameNoRegnal]'s treasury, splitting the proceeds equally.;;;;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] se ha aproximado a vos con un plan que os dejaría libre del favor que le debéis. [FromFrom.GetSheHeCap] quiere que uséis vuestra posición como [Root.GetJobTitle] para desfalcar fondos de la tesorería de [Root.Liege.GetTitledFirstNameNoRegnal], dividiendo las ganancias a medias.;;;;;;;;;x
EVTOPTAplot_event.305;I will attempt it;;;;Lo intentaré;;;;;;;;;x
EVTOPTBplot_event.305;I am no thief!;;;;¡No soy un ladrón;;;;;;;;;x
EVTDESCplot_event.306;[From.GetTitledFirstNameWithDynastyNoRegnal] agreed to your proposed scheme. [From.GetSheHeCap] used [From.GetHerHis] position as [From.GetJobTitle] to embezzle funds from [From.Liege.GetTitledFirstNameNoRegnal]'s treasury, and has sent you your share of the proceeds.;;;;[From.GetTitledFirstNameWithDynastyNoRegnal] aceptó participar en vuestro plan. [From.GetSheHeCap] usó su posición como [From.GetJobTitle] para desfalcar fondos de la tesorería de [From.Liege.GetTitledFirstNameNoRegnal], y os ha enviado vuestra parte de las ganancias.;;;;;;;;;x
EVTOPTAplot_event.306;Good work!;;;;¡Buen trabajo!;;;;;;;;;x
EVTDESCplot_event.307;[From.GetTitledFirstNameWithDynastyNoRegnal] accepted your proposal, but was unfortunately caught red handed trying to embezzle the funds from [From.Liege.GetTitledFirstNameNoRegnal]'s treasury. Fortunately there is no suspicion cast on you.;;;;;;;;;;;;;x
EVTOPTAplot_event.307;That is fortunate;;;;;;;;;;;;;x
EVTDESCplot_event.308;[From.GetTitledFirstNameWithDynastyNoRegnal] had seemingly got away with the embezzlement, but it seems [From.Liege.GetTitledFirstNameNoRegnal]'s [From.Liege.GetMyTreasurerName] subsequently investigated the missing funds and found proof of [From.GetTitledFirstNameWithDynastyNoRegnal]'s theft!;;;;;;;;;;;;;x
EVTOPTAplot_event.308;That is bad for him [From.GetHerHim];;;;;;;;;;;;;x
