skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x;;;;
drown_decision;Drown Prisoner;Noyer le prisonnier;;;Ahogar a [Root.GetTitledFirstName];;;;;;;;;x;;;;
skin_decision_desc;Boltons have a long history of flaying prisoners, if we should do this to [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] and give [Root.GetHerHim] an agonising death it would surely be a great warning to our enemies.;Les Bolton ont une longue tradition d'écorchement de prisonniers, si nous devions l'appliquer à [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] et lui faire subir une telle agonie, ce serait sûrement un grand avertissement pour nos ennemis.;;;Los Bolton tienen una larga tradición de desollar a los prisioneros, si desollamos a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] para que muera agonizando será una gran advertencia para nuestros enemigos.;;;;;;;;;x;;;;
drown_decision_desc;The Drowned God looks favourably upon sacrifices to him, we should tie up [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] to the sands at low tide and slowly let the Drowned God take [Root.GetHerHim] beneath the sea.;Le Dieu Noyé apprécie les sacrifices, nous devrions ligoter [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] sur le sable à marée basse et laisser le Dieu Noyé l'emmener lentement sous la mer.;;;El Dios Ahogado aprecia los sacrificios, deberíamos atar a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a la arena durante la marea baja y poco a poco dejar que el Dios Ahogado lo lleve a las estancias acuosas.;;;;;;;;;x;;;;
TOOLTIPINCREASETYRANY1;§RTyranny§! increases by §R5§!;Votre Tyrannie augmentera de un niveau\n;;;Tu tiranía se incrementará en un nivel\n;;;;;;;;;x;;;;
TOOLTIPINCREASETYRANY2;§RTyranny§! increases by §R10§!;Votre Tyrannie augmentera de deux niveaux\n;;;Tu tiranía se incrementará en dos niveles\n;;;;;;;;;x;;;;
EVTDESC509128;Boltons have a long history of flaying prisoners, if we should do this to [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] and give [From.GetHerHim] an agonising death it would surely be a great warning to our enemies.;La tradition des Bolton veut qu'ils écorchent leurs prisonniers. Si nous le faisions à [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] avant de lui donner la mort de façon si douloureuse, cela serait sûrement un terrible avertissement à destination des nos ennemis.;;;Los Bolton tienen una larga tradición de desollar a los prisioneros, si desollamos a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] para que muera agonizando será una gran advertencia para nuestros enemigos.;;;;;;;;;x;;;;
EVTOPTA509128;Yes, it must be done;Oui, cela doit être fait.;;;Sí, es lo que se ha de hacer.;;;;;;;;;x;;;;
EVTOPTB509128;No, I will give [From.GetHerHim] a quick death;Non, je vais lui octroyer une mort rapide.;;;No, daré a  [From.GetHerHim] una muerte rápida.;;;;;;;;;x;;;;
EVTDESC50028;You have decided [FromFrom.GetTitledFirstName] will not escape the customary flaying. You've had your goaler strip the skin off of [FromFrom.GetHerHim], the screams were to be heard throughout the castle. But now we have a fine [FromFrom.GetOnlyDynastyName] skin, and the fear of our enemies....;Vous avez décidé que [FromFrom.GetTitledFirstName] n'échapperait pas à l'écorchage ! Sur votre ordre, le geôlier lui a arraché la peau, ses cris ont été entendus dans tout le château. Mais maintenant nous avons une superbe peau de [FromFrom.GetOnlyDynastyName], et la crainte de nos ennemis...;;;Ordenaste que desollaran a [From.GetTitledFirstName]. Mientras el carcelero rasgaba su piel, los gritos se escuchaban por todo el castillo. Ahora tenemos una fina piel de [From.GetOnlyDynastyName], y el temor de nuestros enemigos....;;;;;;;;;x;;;;
EVTOPTA50028;That will teach them!;Ça leur apprendra !;;;Eso les enseñará!;;;;;;;;;x;;;;
EVTDESC50029;The door to your dank cell opens, and the goaler walks in with a wicked smile on his face. He has brought with him a set of rusty, but deadly sharp blades and says '[From.GetTitledFirstName] has ordered that you are to be flayed alive, as just warning to House [From.GetOnlyDynastyName]'s enemies.' The pain is agonising, death cannot come soon enough....;"La porte de votre cellule s'ouvre, et le geôlier s'avance en souriant méchamment. Il a amené plusieurs lames rouillées mais mortellement acérées et dit ""[From.GetTitledFirstName] a ordonné que vous soyez écorché vif, comme avertissement aux ennemis de la Maison [From.GetOnlyDynastyName]."" La douleur est atroce, la mort ne saurait tarder...";;;La puerta de tu celda húmeda se abre, y el carcelero entra con una sonrisa maliciosa en su rostro. Trae consigo un conjunto de cuchillas oxidadas, pero muy afiladas y dice '[From.GetTitledFirstName] ha ordenado desollarte vivo como advertencia para los enemigos de los [From.GetOnlyDynastyName]. El dolor es atroz, la muerte está tardando mucho en llegar...;;;;;;;;;x;;;;
EVTOPTA50029;No! give me a clean death!;Non ! Donnez-moi une mort propre !;;;¡No! dame una muerte limpia!;;;;;;;;;x;;;;
flayed;Flayed Alive;Écorché vif;;;Desollado vivo;;;;;;;;;x;;;;
flayed_desc;This character met their end by being flayed alive, a most agonising torture;Ce personnage a fini écorché vif, une torture atroce.;;;Este personaje fue desollado vivo, una tortura atroz.;;;;;;;;;x;;;;
EVTDESC5000028;You have had the young [FromFrom.GetFirstNameWithDynasty] flayed alive, does your cruelty know no bounds?;Vous avez fait écorcher le jeune [FromFrom.GetFirstNameWithDynasty]. Votre cruauté serait-elle donc sans limite ?;;;Has desollado a [From.GetFirstNameWithDynasty] vivo. ¿Tu crueldad no tienen límites?;;;;;;;;;x;;;;
EVTOPTA5000028;Even children are not safe from my justice;Même les enfants ne sont pas à l'abri de ma justice.;;;Incluso los niños no están a salvo de mi justicia;;;;;;;;;x;;;;
EVTDESC50030;You have decreed [FromFrom.GetTitledFirstName] is to be sacrificed to the Drowned God, who will surely bless us. We tethered [FromFrom.GetHerHim] to the beach at low tide and let the sea slowly wash over [FromFrom.GetHerHim]. The prisoner struggled and pleaded, but in vain, the Drowned God took his due.;Vous avez décrété que [From.GetTitledFirstName] devait être sacrifié au Dieu Noyé, qu'il nous bénira sûrement. Nous l'avons attaché(e) sur la plage à marée basse pour laisser l'eau l'emporter lentement. Le prisonnier a longuement lutté et imploré, mais en vain, le Dieu Noyé a pris ce qui lui était dû. ;;;Ordenaste que [From.GetTitledFirstName] debía ser sacrificado al Dios Ahogado. Lo atamos en la playa durante la marea baja y dejamos que el mar se lo llevará lentamente. El prisionero luchó ferozmente e imploró en vano, el Dios Ahogado tomó lo que le fue dado.;;;;;;;;;x;;;;
EVTOPTA50030;What is dead may never die;Ce qui est mort ne saurait mourir !;;;Lo que está muerto no puede morir;;;;;;;;;x;;;;
EVTDESC50031;The followers of the Drowned God are merciless. [From.GetTitledFirstName], a staunch believer, has decreed you are to be tethered to the shore at low tide. You writh and struggle as the sea water gradually approaches and slowly submerges you. Your panic is only ceased when you finally take breath and let the sea water fill your lungs...;Les adeptes du Dieu Noyé sont sans pitié. [FromFrom.GetTitledFirstName], un croyant dévoué, a décrété que vous alliez être attaché sur le rivage à marée basse. Vous vous débattez et luttez alors que la mer approche et vous submerge lentement. Votre panique ne cesse que lorsque vous inspirez laissant l'eau emplir vos poumons.;;;Los seguidores del Dios Ahogado son despiadados. [FromFrom.GetTitledFirstName], un creyente acérrimo, ha decretado que debes ser atado a la orilla con marea baja. Luchas ferozmente e imploras en vano mientras ves como el agua se acerca poco a poco y te vas sumergiendo lentamente. Tu pánico sólo cesa cuando el agua de mar llena tus pulmones...;;;;;;;;;x;;;;
EVTOPTA50031;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x;;;;
EVTDESC50032;In the High Hall of the Eyrie is a narrow wierwood door flanked by two slender pillars named the Moon Door, behind which lies nothing but six hundred feet of air. The condemned [FromFrom.GetTitledName] is brought before the door and thrown from it to [FromFrom.GetHerHis] death.;Dans la Grande Salle des Eyrié se trouve une porte en barral entre deux fins piliers, appelée la Porte de la Lune. Derrière cette porte, rien d'autre que six cents pieds de vide, peut-être le condamné devrait-il être jeté par cette porte ?;;;En la Sala Alta del Nido de Águilas hay una estrecha puerta blanca de madera de arciano flanqueada por dos esbeltas columnas llamada la Puerta de la Luna. Detrás de esta puerta no hay nada más que seiscientos pies de aire, tal vez deberíamos arrojar al condenado [From.GetTitledName] por esta puerta?;;;;;;;;;x;;;;
EVTOPTA50032;I want to see [From.GetHerHim] fly!;Je veux le(a) voir voler !;;;Quiero ver[From.GetHerHim] volar!;;;;;;;;;x;;;;
EVTOPTB50032;No, I will give [From.GetHerHim] a quick death;Non, je lui donnerai une mort rapide.;;;No, le daré una muerte rápida.;;;;;;;;;x;;;;
EVTDESC50033;In your sky cell you have been waiting to face your fate. The goaler finally drags you to the High Hall of the Eyrie where [From.GetTitledFirstName] sits high upon [From.GetHerHis] wierwood chair. [From.GetSheHeCap] merely nods and the moon door opens to reveal nought but six hundred feet of air. The guards fling you through it as you feel your bowels release, the ground races towards you until finally no air remains...;Dans votre cellule céleste, vous avez attendu votre destin. Le geôlier vous traîne finalement dans la Grande Salle des Eyrié où [FromFrom.GetTitledFirstName] siège sur son trône en barral. [FromFrom.GetSheHeCap] acquiesce et la porte de la lune s'ouvre pour révéler six cents pieds de vide. Les gardes vous y jettent alors que vous sentez vos boyaux se relâcher, la terre ferme se précipite devant vous jusqu'à ce que le vide s'achève.;;;Has estado esperando tu destino en la celda del cielo. Al fin, tu carcelero, te lleva a la Sala Alta del Nido de Águilas donde [FromFrom.GetTitledFirstName] se encuentra en su trono de arciano blanco. [FromFrom.GetSheHeCap] asiente con la cabeza y la puerta de la luna se abre y revela 600 pies de vacío. Los guardias te tiran al vacío y sientes que tus intestinos se vacían. Te precipitas hacia la tierra firme hasta que el vacío se acaba...;;;;;;;;;x;;;;
EVTOPTA50033;It seems I cannot fly....;Il semble qu'il ne sait pas voler…;;;Parece que no sabe volar...;;;;;;;;;x;;;;
EVTDESC50034;In the North it is said that he who passes the sentence must swing the sword, so should [FromFrom.GetTitledName] recieve [FromFrom.GetHerHis] sentence from me?;Dans le Nord, il se dit que celui qui prononce la sentence doit abattre l'épée, alors, dois-je exécuter moi-même [From.GetTitledName] ?;;;En el Norte, se dice que el que dicta la sentencia debe blandir la espada, debería ejecutar yo mismo a [From.GetTitledName]?;;;;;;;;;x;;;;
EVTOPTA50034;Yes, it is the old way;Oui, c'est l'ancienne voie.;;;Sí, es la tradición;;;;;;;;;x;;;;
EVTOPTB50034;That is too gruesome for me;C'est trop horrible pour moi.;;;Es demasiado horrible para mí;;;;;;;;;x;;;;
EVTTOOLTIP50033;shall be flung from the moon door\n;doit être jeté par la porte de la lune\n;;;será arrojado por la puerta de la luna\n;;;;;;;;;x;;;;
EVTTOOLTIP50035;shall be beheaded by you\n;doit être décapité par vous\n;;;será decapitado por ti mismo\n;;;;;;;;;x;;;;
TOOLTIPexperienced_beheader;You will become an experienced headsman, no longer fazed by your duty\n;Vous deviendrez un chef expérimenté, plus jamais intimidé par son devoir\n;;;Te convertirás en un verdugo con experiencia, cumplirás con tu deber sin inmutarte\n;;;;;;;;;x;;;;
