employed_cityguard;Household Guard;Garde;Household Guard;;Guardia de la Casa;;;;;;;;;x
employed_cityguard_desc;Hire a loyal personal household guard;Engager une Garde ;;;Contratar a una Guardia leal.;;;;;;;;;x
cityguard_busy;Household Guard Busy;Garde occupée;Household Guard is performing a task;;La Guardia de la Casa está completando una tarea;;;;;;;;;x
cityguard_drilling;Household Guard Drilling;Entraînement de la Garde;Household Guard is drilling its soldiers;;La Guardia de la Casa está adiestrando soldados;;;;;;;;;x
employ_cityguard;Establish a Household Guard;Établir une Garde;Establish a Household Guard;;Establecer la Guardia de la Casa;;;;;;;;;x
employ_cityguard_desc;Hire a group of loyal soldiers to create a personal household guard;Engager un groupe de soldats loyaux pour créer une Garde ;;;Contratar un grupo de soldados leales para crear una Guardia personal.;;;;;;;;;x
disband_cityguard;Disband your Household Guard;Dissoudre votre Garde ;Disband your Household Guard;;Disolver a vuestra Guardia de la Casa;;;;;;;;;x
disband_cityguard_desc;Disband your household guard.;Dissoudre votre Garde ;;;Disolver vuestra Guardia;;;;;;;;;x
cityguard_menu;Command Household Guard;Commander la Garde ;Command Household Guard;;Comandar la Guardia de la Casa;;;;;;;;;x
cityguard_menu_desc;Give orders to your men;Donner des ordres à vos hommes;;;Dar órdenes a vuestros hombres;;;;;;;;;x
TOOLTIP347790;Order options for your Household guard will be available\n;Les ordres pour votre garde seront disponibles\n;;;Las órdenes para vuestra Guardia estarán disponibles\n;;;;;;;;;x
forced_training;Forced Training;Entraînement obligatoire;Forced training;;Entrenamiento forzado;;;;;;;;;x
Household_defense;Improved Defenses;Défenses améliorées;Improved defenses;;Defensas mejoradas;;;;;;;;;x
burned_land;Scorched earth;Terre brûlée;Scorched earth;;Tierra quemada;;;;;;;;;x
tyranny;Tyrannical Government;Gouvernement tyrannique;Police State;;Gobierno tiránico;;;;;;;;;x
EVTDESC347790;[Root.PrimaryTitle.GetFOA], your Household Guard is ready to receive a new task.;[Root.PrimaryTitle.GetFOA], votre Garde est prête à recevoir une nouvelle mission. ;Your Household Guard is ready to receive a new task my Lord.;;[Root.PrimaryTitle.GetFOA], vuestra Guardia de la Casa está preparada para recibir nuevas órdenes.;;;;;;;;;x
EVTOPTA347790;Improve my levies in [Root.Capital.GetName];Renforcez mes levées à [Root.Capital.GetName];Improve;;Aumentar mis levas en [Root.Capital.GetName];;;;;;;;;x
EVTOPTB347790;Defend;Défendez;Defend;;Defender;;;;;;;;;x
EVTOPTC347790;Enforce my will;Faites respecter mes volontés;Enforce;;Imponed mi voluntad;;;;;;;;;x
EVTOPTD347790;Nothing.;Rien.;Nothing.;;Nada.;;;;;;;;;x
EVTDESC347791;[Root.PrimaryTitle.GetFOA], what would you like us to improve?;[Root.PrimaryTitle.GetFOA], que désireriez-vous que nous améliorions ?;What would you like us to improve my Lord?;;[Root.PrimaryTitle.GetFOA], ¿Qué os gustaría que mejoremos?;;;;;;;;;x
EVTOPTA347791;Train the [Root.GetPeasantNamePlural]!;Entraînez les paysans !;Train the [Root.GetPeasantNamePlural]!;;¡Entrenad a los campesinos!;;;;;;;;;x
EVTOPTB347791;Time to drill your soldiers.;Il est temps d'entraîner vos soldats.;;;Es la hora de instruir a vuestros soldados.;;;;;;;;;x
EVTOPTD347791;Nothing.;Rien.;Nothing.;;Nada.;;;;;;;;;x
EVTDESC347792;How should we protect the city?;Comment devrions-nous protéger la ville ?;How should we protect the city?;;¿Cómo deberíamos proteger la ciudad?;;;;;;;;;x
EVTOPTA347792;Defend [Root.Capital.GetName]!;Défendez [Root.Capital.GetName] !;Defend the city!;;¡Defended [Root.Capital.GetName]!;;;;;;;;;x
TOOLTIP347795;Over the coming month the defenses of [Root.Capital.GetName] shall be improved;Avant la prochaine lune, les défenses de [Root.Capital.GetName] devront être améliorées;;;Durante la próxima luna se mejorarán las defensas de [Root.Capital.GetName];;;;;;;;;x
EVTOPTD347792;Nothing.;Rien.;Nothing.;;Nada.;;;;;;;;;x
EVTDESC347793;[Root.PrimaryTitle.GetFOA], what should we enforce?;[Root.PrimaryTitle.GetFOA], que devrions-nous renforcer ?;What should we enforce my Lord?;;[Root.PrimaryTitle.GetFOA], ¿Qué deberíamos reforzar?;;;;;;;;;x
EVTOPTA347793;Bring order to the streets!;Ramenez l'ordre dans les rues !;Bring order to the streets!;;¡Poned orden en las calles!;;;;;;;;;x
EVTOPTB347793;Burn the lands! My enemy shall die from attrition!;Brûlez les terres ! Mon ennemi doit mourir de faim ! ;Burn the lands! My enemy shall die from attrition!;;¡Quemad las tierras! ¡Mi enemigo morirá de hambre!;;;;;;;;;x
EVTOPTD347793;Nothing.;Rien.;Nothing.;;Nada.;;;;;;;;;x
EVTDESC347795;[Root.PrimaryTitle.GetFOA], The defenses of [Root.Capital.GetName] have been improved as commanded. We are now more able to withstand any attack.;[Root.PrimaryTitle.GetFOA], les défenses de [Root.Capital.GetName] ont été renforcées comme vous l'aviez ordonné. Nous sommes désormais capables de repousser n'importe quelle attaque.;The defenses of our Household have been improved my Lord.;;[Root.PrimaryTitle.GetFOA], las defensas de [Root.Capital.GetName] han sido mejoradas como ordenó. Estamos en condiciones de repeler cualquier ataque.;;;;;;;;;x
EVTOPTA347795;Good work;Bon travail;Good work Household Guard.;;Buen trabajo;;;;;;;;;x
EVTDESC347796;A group of men loyal to House [Root.GetOnlyDynastyName] have been brought together to establish your household guard. They will protect you and your family, and can be put to work in [Root.Capital.GetName]. ;Un groupe d'hommes loyaux à la maison [Root.GetOnlyDynastyName] a été réuni pour établir une Garde. Ils vous protégeront ainsi que votre famille et peuvent être mis au travail à [Root.Capital.GetName]. ;;;Un grupo de hombres leales a la Casa [Root.GetOnlyDynastyName] se ha reunido para establecer vuestra Guardia personal. Ellos se encargarán de proteger a vuestra familia y a vos, y pueden ponerse a trabajar en [Root.Capital.GetName].;;;;;;;;;x
EVTOPTA347796;Great!;Parfait !;Great!;;¡Genial!;;;;;;;;;x
TOOLTIP347796;To issue commands, first appoint a Captain of your Household Guard via the honorary title then click on Intrigue and click the 'Command Household Guard' decision\n;Pour donner des ordres, nommez d'abord un capitaine de la Garde via les titres honorifiques, puis allez dans « Intrigue » et cliquez sur « Commander la Garde »\n;;;Para dar órdenes, debéis nombrar un capitán de la Guardia de la Casa a través de los títulos honoríficos. A continuación, ir a Intriga y pulsar en la decisión 'Comandar la Guardia de la Casa'\n;;;;;;;;;x
EVTTOOLTIP347790;Train some [Root.GetPeasantNamePlural] or drill your soldiers.;Former quelques paysans ou entraîner vos soldats.;;;Entrenar algunos campesinos o instruir a vuestros soldados.;;;;;;;;;x
EVTTOOLTIP347791;Defensive options during war.;Options défensives en temps de guerre.;;;Opciones defensivas para tiempos de guerra.;;;;;;;;;x
EVTTOOLTIP347792;Bring order to the city or scorch the land;Ramener l'ordre dans la ville ou patrouiller dans les campagnes;;;Llevar el orden a la ciudad o quemar la tierra.;;;;;;;;;x
capital_defense;Capital Defense;Défense de la capitale;;;Defensa de la Capital;;;;;;;;;x
TOOLTIPapponted_captain_guard;You have appointed a Captain of the Household Guard\n(A captain of the guard is appointed by honourary title, and must be an unlanded adult who is at least a trained warrior, and is not a councillor or slave)\n;Vous avez nommé un capitaine de la Garde\n(Un capitaine de la Garde est nommé via un titre honorifique et doit être un adulte non fieffé qui est au moins un guerrier aguerri, qui ne soit ni conseiller ni esclave)\n;;;Habéis nombrado a un Capitán de la Guardia\n (Un capitán de la guardia, es nombrado con un título honorífico, y debe ser un adulto capaz, que tenga al menos entrenamiento de guerrero, y que no sea un consejero o esclavo)\n;;;;;;;;;x
title_captain_of_guard;Captain of the Household Guard;Capitaine de la Garde;;;Capitán de la Guardia;;;;;;;;;x
title_captain_of_guard_desc;This Captain of the Household Guard is a prestigious position given to those loyal to a House. They are charged with the daily drilling of the guard, schedules and protecting the family of their liege.;Pour les loyaux serviteurs d'une maison, le poste de capitaine de la Garde est prestigieux. Le capitaine est en charge de l'entraînement quotidien de la Garde et de la protection de la famille de son suzerain.;;;El Capitán de la Guardia es una prestigiosa posición otorgada a aquellos leales a la Casa. El Capitán es el encargado de programar el entrenamiento diario de la guardia y de la protección de la familia de su Señor.;;;;;;;;;x
ca_household_guard;Household Guard;Garde;Household Guard;;Guardia de la Casa;;;;;;;;;x
ca_household_guard_desc;A company of armed guardsmen are in service to the household.\n\nTo issue commands, first appoint a Captain of your Household Guard via the honorary title , then click on Intrigue and click the 'Command Household Guard' decision;;;;"Una compañía de guardias armados estará de servicio en vuestro hogar.\n\nPara emitir órdenes, primero designe a un Capitán de su Guardia de la Casa mediante el título honorífico, luego haga clic en Intriga y haga clic en la decisión ""Comandar Guardia de la Casa""";;;;;;;;;x
ct_household_guard;Household Guard;Garde;Household Guard;;Guardia de la Casa;;;;;;;;;x
fp_household_guard;Household Guard;Garde;Household Guard;;Guardia de la Casa;;;;;;;;;x
TOOLTIPhousehold_guardDECISION;A Household Guard is established via a decision in the intrigue menu;;;;Una Guardia de la Casa se establece mediante una decisión en el menú de intriga;;;;;;;;;x
