#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_regent_title;Become Regent;Devenir régent(e);;;Convertirse en Regente;;;;;;;;;x
obj_become_regent_desc;[This.GetTitledFirstName] desires to become the Regent of [This.GetPossPronoun] liege.;[This.GetTitledFirstName] désir devenir le(a) régent(e) de son(a) suzerain(e).;;;[This.GetTitledFirstName] desea convertirse en el regente de su Señor.;;;;;;;;;x
plot_replace_regent_title;Replace [Root.GetTitledFirstName] and become Regent;Remplacer [Root.GetTitledFirstName] et devenir régent(e);;;Reemplazar a [Root.GetTitledFirstName] y convertirse en Regente;;;;;;;;;x
plot_replace_regent_desc;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] believes that [From.GetSheHe] would be a better ruler than [Root.PlotTarget.GetTitledFirstNameWithDynastyAndTitleNoRegnal], and so should be made [From.GetTitle] Regent of [From.Liege.PrimaryTitle.GetName];[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pense qu'[From.GetSheHe] serait un(e) meilleur(e) dirigeant(e) que [Root.PlotTarget.GetTitledFirstNameWithDynastyAndTitleNoRegnal], et donc devrait être nommé(e) [From.GetTitle] régent de [From.Liege.PrimaryTitle.GetName];;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] piensa que sería mejor dirigente que [Root.PlotTarget.GetTitledFirstNameWithDynastyAndTitleNoRegnal], y por lo tanto debería ser nombrado [From.GetTitle] regente de [From.Liege.PrimaryTitle.GetName];;;;;;;;;x
plot_replace_regent_decision;Demand to be Made Regent;Exige d'être nommé régent(e);;;Exige ser nombrado regente;;;;;;;;;x
plot_replace_regent_decision_desc;The time has come to demand that [Root.Liege.GetTitle] [Root.Liege.GetFirstName] name you as [Root.Liege.GetHerHis] designated regent in place of [Root.PlotTarget.GetTitledFirstName].;Le temps est venu d'exiger de [Root.Liege.GetTitle] [Root.Liege.GetFirstName] qu'on vous nomme régent(e) désigné(e) à la place de [Root.PlotTarget.GetTitledFirstName].;;;Es el momento de pedir a [Root.Liege.GetTitle] [Root.Liege.GetFirstName] que te nombre regente en lugar de [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x
ambition_nominate_regent_decision;Petition to be Made Regent;Pétition pour devenir régent(e);;;Petición para convertirse en regente;;;;;;;;;x
ambition_nominate_regent_decision_desc;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] currently has no designated regent should the realm need it, you can send a petition to [Root.Liege.GetHerHim] to be named in this position.;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] n'a pour le moment pas désigné de régent si le royaume devait en avoir besoin, vous pouvez lui envoyer une pétition demandant à être nommé à cette position.;;;[Root.Liege.GetTitle] [Root.Liege.GetFirstName] no ha designado ningún regente en caso de que el Reino lo necesite, puedes enviarle una petición para que te nombre en esa posición.;;;;;;;;;x
EVTTOOLTIPregency.17;will consider your petition to be made designated regent;va considérer votre demande d'être fait(e) régent(e) désigné(e);;;considerará tu petición de ser designado regente;;;;;;;;;x
plot_replace_regent_duel;Duel [Root.PlotTarget.GetTitledFirstName] for the Regency;Provoquer en duel [Root.PlotTarget.GetTitledFirstName] pour la régence.;;;Desafiar a [Root.PlotTarget.GetTitledFirstName] por la regencia.;;;;;;;;;x
plot_replace_regent_duel_desc;[Root.PlotTarget.GetTitledFirstName] is still regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], I should challenge [Root.PlotTarget.GetHerHim] to a duel to decide who is most worthy for this position.;[Root.PlotTarget.GetTitledFirstName] est toujours le(a) régent(e) de(u-e la) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], je devrais le(a) provoquer en duel pour décider qui de nous deux est digne de cette position.;;;[Root.PlotTarget.GetTitledFirstName] es el regente del [Root.Liege.GetTitle] [Root.Liege.GetFirstName], debería desafiarle a un duelo para decidir quien es más digno de esa posición.;;;;;;;;;x
plot_replace_regent_plead_case;Plead Case for Regency;Plaider son cas pour ma régence;;;Pleitear para ser nombrado regente;;;;;;;;;x
plot_replace_regent_plead_case_desc;[Root.PlotTarget.GetTitledFirstName] is clearly an unsuitable regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], with enough support you can plead your case to made regent in [Root.PlotTarget.GetHerHis] place openly before the court.;[Root.PlotTarget.GetTitledFirstName] est clairement un(e) mauvais(e) régent(e) pour le(a) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], avec assez de soutiens vous pouvez plaider contre le(a) régent(e) devant un tribunal.;;;[Root.PlotTarget.GetTitledFirstName] es claramente un mal regente para el [Root.Liege.GetTitle] [Root.Liege.GetFirstName], con apoyo suficiente puedes pleitear contra el regente ante un tribunal.;;;;;;;;;x
plot_replace_regent_ultimatum;Issue [Root.PlotTarget.GetTitledFirstName] an Ultimatum;Envoyer un ultimatum à [Root.PlotTarget.GetTitledFirstName];;;Enviar un ultimátum a [Root.PlotTarget.GetTitledFirstName];;;;;;;;;x
plot_replace_regent_ultimatum_desc;Military force is always a sure way to end an unsuitable regent, you can issue an ultimatum to [Root.PlotTarget.GetTitledFirstName] to step aside as regent for [Root.Liege.GetTitle] [Root.Liege.GetFirstName], or face the consequences.;La force militaire est toujours un moyen efficace pour mettre fin aux méfaits d'un(e) régent(e), vous pouvez envoyer un ultimatum à [Root.PlotTarget.GetTitledFirstName] lui intimant d'abandonner la régence pour le(a) [Root.Liege.GetTitle] [Root.Liege.GetFirstName], ou d'assumer les conséquences d'un refus. ;;;La fuerza militar siempre es un medio eficaz para poner fin a las malas acciones de un regente, puedes enviar un ultimátum a [Root.PlotTarget.GetTitledFirstName] intimidándolo para que abandone la regencia del [Root.Liege.GetTitle] [Root.Liege.GetFirstName], o asumir las consecuencias. ;;;;;;;;;x
EVTTOOLTIPregency.20;An ultimatum demanding [Root.PlotTarget.GetTitledFirstName] step aside as regent is issued;Un ultimatum exigeant la fin de la régence de [Root.PlotTarget.GetTitledFirstName] est envoyé;;;Se ha enviado un ultimátum exigiendo el fin de la regencia de [Root.PlotTarget.GetTitledFirstName] ;;;;;;;;;x
