EVTDESCreeducation.1;It is time for me to receive a proper education. Life is so full of opportunities. What will I become?;Je grandis si vite, il est temps pour moi de recevoir une éducation correcte ! J'ai grand hâte ! La vie est tellement pleine d'opportunités !;;;Ya es hora de recibir una educación adecuada. La vida está llena de maravillas y cosas por descubrir, ¿en que me convertiré?;;;;;;;;;x
EVTTOOLTIPreeducation.2;They will decide my future...;Ils vont décider de mon avenir…;;;Ellos decidirán mi futuro…;;;;;;;;;x
EVTDESCreeducation.2;It is time for me to choose how I want to educate my [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty].;Il est temps pour moi de choisir le bon tuteur pour l'un des enfants sous ma responsabilité. ;;;Es hora de elegir la educación que tendrá mi [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty].;;;;;;;;;x
EVTOPTAreeducation.2;[From.GetSheHeCap] will be educated at court.;Cette enfant va être éduqué à la cour.;;;El niño será educado en la corte;;;;;;;;;x
EVTTOOLTIPreeducation.3;Pay for a septa's acomodations;Engager une septa;;;Contrataremos los servicios de una septa;;;;;;;;;x
EVTOPTBreeducation.2;I want [From.GetHerHim] to be good with numbers.;Je veux que [From.GetFirstName] soit à l'aise avec les chiffres.;;;Quiero que [From.GetFirstName] sea buen[From.GetOA] con las cuentas;;;;;;;;;x
EVTTOOLTIPreeducation.4;Buy the necessary equipment and books.;Acheter le matériel et les livres nécessaires.;;;Comprar los libros y materiales necesarios;;;;;;;;;x
EVTOPTCreeducation.2;[From.GetSheHeCap] will be groomed for command.;[From.GetFirstName] va être éduqué pour se battre et commander.;;;[From.GetFirstName] será educad[From.GetOA] para luchar y comandar;;;;;;;;;x
EVTTOOLTIPreeducation.5;Buy [From.GetFirstName] a horse and a set of armor, fitting for their status.;Acheter à [FromFrom.GetFirstName] un cheval et une armure, en accord avec son statut.;;;Comprar a [FromFrom.GetFirstName] un caballo y una armadura acordes a su posición.;;;;;;;;;x
EVTOPTDreeducation.2;I have nor time, nor money to spend on this child.;Je n'ai pas de temps ou d'argent à consacrer à cet enfant;;;No tengo ni tiempo ni dinero para gastar en est[From.GetOA] niñ[From.GetOA].;;;;;;;;;x
EVTTOOLTIPreeducation.6;[From.GetFirstName] will not get a private tutor.;[FromFrom.GetFirstName] n'aura pas un tuteur personnel.;;;[FromFrom.GetFirstName] no tendrá un tutor personal;;;;;;;;;x
EVTDESCreeducation.3;I am to be educated for life at court;Je vais être éduqué à la cour.;;;Seré educado para la vida en la corte;;;;;;;;;x
EVTDESCreeducation.4;I am to learn about numbers? Why?!;Je vais devoir apprendre les nombres? Pourquoi?;;;¿Tengo que aprender de números? ¿Por qué?;;;;;;;;;x
EVTDESCreeducation.5;I will be groomed for command!;Je vais être préparé au commandement !;;;Me van a enseñar a comandar un ejército.;;;;;;;;;x
EVTDESCreeducation.6;It seems I will not get a private tutor...;Il semble que je ne vais pas avoir de tuteur…;;;Parece que no tendré un tutor privado...;;;;;;;;;x
EVTDESCreeducation.7;Over the past ten years I have received an education suitable for a life at court, my manners were refined and I know much and more about the realm's heraldry.;Durant les dix dernières années, j'ai reçu une éducation convenant à une cour royale. J'ai appris les règles de l'étiquette et l'héraldique du Royaume.;;;¡Durante los últimos diez años he recibido una educación apropiada para la vida cortesana! Ahora se comportarme en la corte y reconozco la mayoría de los blasones de las diferente casas.;;;;;;;;;x
