#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
aegons_crown;Aegon's Crown;;;;Corona de Aegon;;;;;;;;;x
aegons_crown_desc;A circle crown of Valyrian steel, set with big square-cut rubies.;;;;Una corona circular de acero Valyrio, con grandes rubíes de corte cuadrado.;;;;;;;;;x
aenys_crown;Aenys' Crown;;;;Corona de Aenys;;;;;;;;;x
aenys_crown_desc;A crown of gold, elaborate and large and very ornate.;;;;Una corona grande elaborada de oro, y muy adornada;;;;;;;;;x
jaehaerys_crown;Jaehaerys' Crown;;;;Corona de Jaehaerys;;;;;;;;;x
jaehaerys_crown_desc;A simple gold band, set with seven gemstones of different colors.;;;;Una banda de oro simple, con siete piedras preciosas de diferentes colores.;;;;;;;;;x
aegon_III_crown;Aegon III's Crown;;;;Corona de Aegon III;;;;;;;;;x
aegon_III_crown_desc;A slender gold band, a simple circlet, unornamented.;;;;Una banda de oro esbelta, con una diadema simple, sin ornamentos.;;;;;;;;;x
baelors_crown;Baelor's Crown;;;;Corona de Baelor;;;;;;;;;x
baelors_crown_desc;A crown made of flowers and vines.;;;;Una corona hecha de flores y enredaderas.;;;;;;;;;x
aegon_IV_crown;Aegon IV's Crown;;;;Corona de Aegon IV;;;;;;;;;x
aegon_IV_crown_desc;A crown made of red gold, huge and heavy, each of its points a dragon head with gemstone eyes.;;;;Una corona hecha de oro rojo, enorme y pesada, en cada uno de sus puntos hay una cabeza de dragón con piedras preciosas en los ojos.;;;;;;;;;x
maekars_crown;Maekar's Crown;;;;Corona de Maekar;;;;;;;;;x
maekars_crown_desc;A warlike crown with sharp black iron points in a band of red gold.;;;;Una corona con puntas de hierro negro afiladas en una banda de oro rojo.;;;;;;;;;x
aegons_crown_B;Valyrian Crown;;;;Corona Valyria;;;;;;;;;x
aegons_crown_B_desc;A circle crown of Valyrian steel, set with big square-cut rubies.;;;;Una corona circular de acero Valyrio, con grandes rubíes de corte cuadrado.;;;;;;;;;x
aenys_crown_B;Golden Crown;;;;Corona de Oro;;;;;;;;;x
aenys_crown_B_desc;A crown of gold, elaborate and large and very ornate.;;;;Una gran corona elaborada de oro, y muy adornada.;;;;;;;;;x
jaehaerys_crown_B;Gemstone Crown;;;;Corona de piedras preciosas;;;;;;;;;x
