job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
job_treasurer;Lord Treasurer;Lord Trésorier;;;Tesorero Mayor;;;;;;;;;x
job_marshal;Chief General;Général en chef;;;Comandante en Jefe;;;;;;;;;x
claim_all_rb_desc;Claim all;Tout revendiquer;;;Reclamar todo;;;;;;;;;x
title_ser_desc;This Character will be know as a Ser from now on.;Ce personnage portera le titre de Ser à partir de maintenant;;;Este personaje será conocido como un Señor desde este momento.;;;;;;;;;x
scholar_desc;This character leads the life of a scholar, poring over books and corresponding with the finest minds in the known world.;Ce personnage, passionné par la connaissance, passe son temps à lire et à correspondre avec les plus grands esprits de Westeros.;Dieser Charakter lebt das Leben eines Gelehrten. Er grübelt über Büchern und korrespondiert mit den klügsten Köpfen Europas.;;Este personaje lleva la vida de un erudito, estudiando libros y carteándose con las mejores mentes de Poniente.;;;;;;;;;x
detached_priest;Incompetent Scientist;Savant incompétent;Wanderpriester;;Científico incompetente;;;;;;;;;x
detached_priest_desc;The Incompetent Scientist received a scholarly education but displays no talent beyond basic literacy and science.;Ce personnage a reçu une éducation savante, mais à part apprendre à lire, il n’en a rien retenu.;Der Wanderpriester hat zwar eine kirchliche Ausbildung genossen, aber dabei hat er nur halbwegs Lesen und Schreiben gelernt.;;El Científico incompetente ha recibido educación básica, pero no muestra talento más allá de la cienca y cultura básica.;;;;;;;;;x
martial_cleric;Dutiful Academic;Savant soumis;Pflichtbewusster Geistlicher;;Académico obediente;;;;;;;;;x
martial_cleric_desc;The Dutiful Academic is learned and possessed of beautiful penmanship, but lacks particular interest in advanced scholarship.;Ce personnage est éduqué et doué pour la calligraphie, il ne s’intéresse pas particulièrement aux études plus poussées.;Der pflichtbewusste Geistliche ist gebildet und von schöner Federführung wie besessen. Dafür mangelt es ihm aber an theologischem Interesse.;;El Académico obediente es culto y posee una bella caligrafía, pero no le interesan particularmente conocimientos mas avanzados.;;;;;;;;;x
scholarly_theologian;Expert Scientist;Savant érudit;Gelehrter Theologe;;Experto científico;;;;;;;;;x
scholarly_theologian_desc;The Expert Scientist is wise and well read, with a deep understanding of philosophy, science and history.;Ce personnage est sage, lettré et excelle dans les domaines de la philosophie, de l'histoire et de la littérature.;Der gelehrte Theologe ist weise und sehr belesen. Er hat großes Wissen in philosophischen und theologischen Dingen.;;El experto científico es sabio y culto, y posee un conocimiento profundo de la filosofía, ciencia e historia.;;;;;;;;;x
mastermind_theologian;Mastermind Scholar;Grand érudit;Meistertheologe;;Cerebro erudito;;;;;;;;;x
mastermind_theologian_desc;The Mastermind Scholar is recognized as one of the top scholars of the Realm, perfect for a Maester's career and as a scholarly teacher.;Ce personnage est considéré comme l’un des grands esprits du Royaume. Il est destiné à devenir mestre ou enseignant. ;Der Meistertheologe wird als einer der besten Gelehrten der Kirche angesehen. Deshalb ist er perfekt für das Amt als Hofkaplan geeignet, und auch als Lehrer in geistlichen Belangen führt an ihm kein Weg vorbei.;;El cerebro erudito es considerado uno de los más eruditos del Reino, y es ideal para desarrollar una carrera como maestre o de tutor escolar.;;;;;;;;;x
#bastard;Bastard/Divested;Bâtard/Déshérité;Bastard;;Bastardo/Desheredado;;;;;;;;;x
#bastard_desc;This character was either born out of wedlock and has not been legitimized or has been divested - and is thus disqualified from the line of succession.;Ce personnage est soit né(e) hors mariage et n’a pas été légitimé(e) soit a été déshérité(e), et est de fait exclu(e) de la ligne de succession.;Dieser Charakter wurde außerehelich geboren und nicht legitimiert. Demzufolge ist er von der Erbfolge ausgeschlossen.;;Este personaje o nació fuera del matrimonio y no ha sido legitimado, o ha sido desheredado, por lo que no es apto como sucesor.;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;[Recipient.GetSheHeCap] will be forced to abdicate to [Recipient.GetHerHis] heir. Banishing a vassal ruler for no valid reason is seen as tyrannical, and will increase your tyranny by §R20§!.;[Recipient.GetSheHeCap] sera forcé(e) d’abdiquer en faveur de son héritier(ère). Bannir un vassal sans motif valable est considéré comme tyrannique, et votre tyrannie augmentera de §R20§!.;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;;[Recipient.GetSheHeCap] será obligado a abdicar en su heredero. Exiliar a un vasallo sin ninguna razón válida será visto como un acto tiránico, y tu tiranía se incrmentará en §R20§!.;;;;;;;;;x
HEIR_TO_TITLE;Heir to the $TITLE$;Héritier du titre de $TITLE$;Nachfolger auf $TITLE$;;Heredero de $TITLE$;;;;;;;;;x
EXILE_FROM_PLAYER_LOG;§Y$NAME$§! has left your court for the §Y$TARGET$§!;§Y$NAME$§! a quitté votre cour pour §Y$TARGET$§!;§Y$NAME$§! hat Euren Hof mit dem Ziel §Y$TARGET$§ verlassen!;;¡§Y$NAME$§! se ha marchado a la corte de §Y$TARGET$§!;;;;;;;;;x
indulgent_wastrel;Incompetent Steward;Intendant incompétent;;;Administrador incompetente;;;;;;;;;x
indulgent_wastrel_desc;Despite being instructed by a proper steward, this character still has a lot to learn.;Bien qu'ayant reçu l'instruction d'un intendant, ce personnage a encore beaucoup à apprendre.;;;A pesar de su educación a este personaje la administración se le da fatal.;;;;;;;;;x
thrifty_clerk;Competent Steward;Intendant compétent;;;Administrador competente;;;;;;;;;x
thrifty_clerk_desc;This character knows all the duties a proper steward has, sadly that is all he knows.;Ce personnage connaît tous les devoirs d'un intendant, mais c'est malheureusement tout ce qu'il sait.;;;Este personaje pone todo su empeño en ser un administrador adecuado pero no pasa de ello.;;;;;;;;;x
fortune_builder;Skilled Steward;Intendant talentueux;;;Administrador habilidoso;;;;;;;;;x
fortune_builder_desc;Educated to become a proper steward, shows some aptitude as well.;Eduqué pour devenir intendant, ce personnage montre certaines aptitudes.;;;Educado para llevar la cuentas de la casa, muestra grandes aptitudes para ello.;;;;;;;;;x
midas_touched;Brilliant Steward;Intendant brillant;;;Administrador genial;;;;;;;;;x
midas_touched_desc;One of the best stewards in the known world.;L'un des meilleurs intendants de Westeros;;;Uno de los mejores administradores de todo Poniente.;;;;;;;;;x
misguided_warrior;Incompetent Commander;Commandant incompétent;;;Comandante incompetente;;;;;;;;;x
misguided_warrior_desc;Despite being groom for command, this character shows little aptitude.;Malgré avoir été préparé à commander, ce personnage montre de bien piètres aptitudes dans ce domaine.;;;A pesar de haberse entrenado para el mando, muestra poca aptitud para ello.;;;;;;;;;x
tough_soldier;Dutiful Commander;Commandant soumis;;;Comandante capaz;;;;;;;;;x
tough_soldier_desc;Groomed for command, knows their duties.;Elevé pour le commandement, connait ses devoirs;;;Se le ha entrenado para dirigir ejércitos y lo hace suficientemente bien.;;;;;;;;;x
skilled_tactician;Skilled Commander;Commandant talentueux;;;Comandante habilidoso;;;;;;;;;x
skilled_tactician_desc;Shows great skill for command;Montre un grand talent pour le commandement;;;Muestra grandes dotes de mando.;;;;;;;;;x
brilliant_strategist;Brilliant Commander;Commandant brillant;;;Comandante brillante;;;;;;;;;x
brilliant_strategist_desc;One of the best commanders in the known world.;L'un des meilleurs commandants de Westeros;;;Uno de los mejores estrategas de todo Poniente.;;;;;;;;;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House Targaryen, Lords of the Seven Kingdoms, Kings of the Andals, the Rhoynar and the First Men, Protectors of the Realm. One of the few Valyrian houses to survive the Doom, the Targaryens made the island of Dragonstone their seat a hundred years before the doom. A hundred years after this Aegon the Conqueror began his invasion of Westeros by landing at the mouth of the Blackwater, the site of their future capital King's Landing, conquering six of the kingdoms of Westeros. 129 years later they fought a bloody succession war called the Dance of Dragons that cost them their dragons and in the year 195 AL they faced another threat: the Blackfyre pretenders, bastard descendants of Aegon IV. The war lasted for a year before the Blackfyres were driven out of Westeros to the Free Cities, they would launch a number of unsuccessful invasions of Westeros. After ruling over Westeros for almost 300 years in 283 AL Aerys II 'the Mad King' lost both his life and the throne during Robert's Rebellion, the only two surviving member of the house fled in exile to the Free Cities. ;Avec un score de $SCORE$, vous surpassez la Maison Targaryen, Seigneurs des Sept Couronnes, Rois des Andals, du Rhoynar et des Premiers Hommes, Protecteurs du Royaume. L'une des rares maisons valyriennes à avoir survécu au Fléau, les Targaryen s'établirent sur l'île de Peyredragon une centaine d'année avant la catastrophe. Cent ans plus tard, Aegon le Conquérant commençait l'invasion de Westeros en débarquant à l'embouchure de la Néra, sur le site de sa future capitale, Port-Réal. Aegon parvint à soumettre six des Royaumes de Westeros. 129 ans plus tard, ils s'entre-déchirèrent dans une terrible guerre de succession appelée la Danse des Dragons qui coûta la vie à leurs dragons puis, en l'an 195, ils affrontèrent une nouvelle menace : les prétendants Feunoyr, bâtards descendants d'Aegon IV. La guerre dura un an avant que les Feunoyr ne soient boutés hors de Westeros et se réfugient dans les Cités Libres, où ils préparèrent de nombreuses tentatives d'invasion. Après presque 300 ans de domination des Targaryen sur Westeros, Aerys II 'le Roi Fou' perdit en 283 sa vie et son trône durant la Rébellion de Robert Baratheon. Les deux seuls survivants de la dynastie s'enfuirent en exil dans les Cités Libres.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Targaryen. Señores de los Siete Reinos, Reyes de los Ándalos, los Rhoynar y los Primeros Hombres y Protectores del Reino. Fue una de las pocas casas que sobrevivó a la maldición de Valyria e hicieron de la isla de Rocadragón su hogar por cientos de años antes de la maldición. Cientos de años después, Aegon el Conquistador comenzó su invasión de Poniente desembarcando en la boca de del Aguasnegras, donde posteriormente contruiría su futura capital, Desembarco del Rey, y consquistó seis de los siete reinos de Poniente. 129 años después la casa luchó en un sangirente guerra de sucesión llamada Danza de Dragones, que les costó los últimos dragones supervivientes. En el año 195 DD (Después del Desembarco) se enfretaron a otra amenza, los Fuegoscuros, bastardos descendientes de Aegon IV. La guerra continuó por una año antes que los Fuegoscuro fueran explusados de Poniente y buscaran refugio en las Ciudades Libres, desde donde lanzaron una serie de intentos de invasión de Poniente. Tras gobernar sobre Poniente por casi 300 años, en el 283 tras el Desembarco de Aegon, Aerys II 'El Rey Loco' perdió tanto su vida como el trono tras la Rebelión de Robert, los dos únicos supervivientes conocidos de la casa tuvieron que huir exiliados a las Ciudades Libres.;;;;;;;;;x
DYN2_DESC;With a score of $SCORE$ you$FAILED$ beat House Baratheon, first Storm Kings then Lords Paramount of the Stormlands and later Kings of Westeros. The first Storm King was Durran I 'Godsgrief' who according to legend built Storm's End and married Elenei, daughter of the sea god and the goddess of the wind. His successors managed to conquer the Riverlands to the north, and held them until the reign of King Arrec who lost them to the ironborn house Hoare. During the War of Conquest King Argilac the Arrogant was slain by Orys Baratheon rumored to be half-brother of Aegon the Conqueror who then took his daughter, his house name, words and sigil. In the year 283 AL Robert Baratheon raised his arms in rebellion against House Targaryen and emerged victorious, becoming King of the Seven Kingdoms. After his death, his brothers Stannis and Renly, House Stark and House Greyjoy each rose in rebellion against his 'son' Joffrey.;Avec un score de $SCORE$, vous surpassez la maison Baratheon, Seigneurs Suzerains des Terres de l'Orage et plus tard Rois de Westeros. Le premier Roi de l'Orage fut Durran I 'Dieux-deuil' qui, selon la légende, fonda Accalmie et prit pour épouse Elenei, fille du dieu des mers et de la déesse des vents. Ses successeurs parvinrent à conquérir le Conflans au nord et le conservèrent jusqu'au règne du Roi Arrec, qui le perdit au profit de la Maison Chenu des Îles de Fer. Durant la Conquête, Argilac l'Arrogant fut tué par Orys Baratheon, demi-frère bâtard supposé d'Aegon le Conquérant, qui prit par la suite sa fille comme épouse et adopta le nom de sa maison, sa devise et son blason. En l'an 283, Robert Baratheon se révolta victorieusement contre la Maison Targaryen, devenant Roi des Sept Couronnes. Après sa mort, ses frères Stannis et Renly, la Maison Stark et la Maison Greyjoy entrèrent en rébellion contre son 'fils' Joffrey.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Baratheon, primero Reyes de la Tormenta, posteriormente Señores Supremos de las Tierras de la Tomenta y finalmente Reyes de Poniente. El primer Rey de la Tormenta fue Durran I 'Pena de Dioses' quien de acuerdo a la leyenda construyó Bastión de la Tormenta y se casó con Elenei, hija del dios del mar y la diosa de los vientos. Sus sucesores lograron conquistar las Tierras de los Ríos, y los retuvieron hasta el reinado del rey Arrec que los perdió ante la casa Hoare. Durante la Guerra de Conquista, el rey Argilac fue asesinado por Orys Baratheon, del que se rumoreaba que era hermano bastardo de Aegon El Conquistador, y tomó a su hija, el nombre de su casa, su escudo de armas y su lema. En el año 283 DD, Robert Baratheon se rebeló con la Casa Targaryen y salió victorioso convirtiéndose en Rey de los Siete Reinos. Después de su muerte, sus hermanos Stannis y Renly, la Casa Stark y la Greyjoy se rebelaron cada uno por su cuenta contra su hijo Joffrey.;;;;;;;;;x
DYN3_DESC;With a score of $SCORE$ you$FAILED$ beat House Stark, first Kings in the North then Lords Paramount and Wardens of the North. House Stark is an ancient house of the First Men, descended from Brandon the Builder who built the Wall and their seat Winterfell. They were Kings in the North for thousands of years, though they fought for it for centuries with House Bolton, until Aegon's Landing when King Torrhen Stark 'the King Who Knelt' bent the knee to Aegon and become Lord Paramount and Warden of the North. In the year 283 AL Eddard Stark joined Robert Baratheon in rebellion after 'the Mad King' murdered his father and elder brother. After the rebellion they served King Robert Baratheon until his death in 298 AL when his 'son' Joffrey executed Eddard Stark and his son Rob Stark rebelled and declared himself King in the North. ;Avec un score de $SCORE$, vous surpassez la Maison Stark, d'abord Rois du Nord puis Seigneurs Suzerains et Gouverneurs du Nord. La Maison Stark est une ancienne maison des Premiers Hommes, descendant de Brandon le Bâtisseur qui construisit le Mur et Winterfell. Ils furent Rois dans le Nord pendant des centaines d'années, affrontant sans relâche la Maison Bolton pour conserver leur trône, jusqu'à l’arrivée d’Aegon en Westeros qui poussa le Roi Torrhen Stark 'le Roi qui plia le genou' à se soumettre en échange des dignités de Seigneur Suzerain et Gouverneur du Nord. En l'an 283 Eddard Stark se joignit à la rébellion de Robert Baratheon suite aux assassinats de son père et son frère aîné par le 'Roi fou'. Après la rébellion les Stark servirent fidèlement Robert Baratheon jusqu'à sa mort en 298, lorsque le 'fils' du défunt roi, Joffrey, fit exécuter Eddard Stark. Son fils Robb se rebella et se proclama Roi du Nord.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Stark, primero Reyes en el Norte, y luego Señores Supremos y Guardianes del Norte. La Casa Stark es un antigua casa que desciende de los Primeros Hombres, directamente desde Brandon El Constructor, quien construyó el Muro y el castillo de Invernalia. Fueron Reyes en el Norte durante miles de años, pese a las luchas durante cientos de años contra la Casa Bolton. Hasta el Desembarco de Aegon, cuando El Rey Torrhen 'El Rey arrodilladado' Stark quien se postró delante de Aegon y pudor mantenerse como Señor Supremo y Guardián del Norte. En el año 283 DD Eddard Stark se unió a la Rebelión de Robert Baratheon después que 'El Rey Loco' asesinara a su padre y hermano mayor. Después de la rebelión sirvieron fielmente al rey hasta su muerte en el 298 DD cuando su hijo Joffrey ejecutó a Lord Eddard Stark y el heredero Robb Stark se rebeló y se autoproclamó Rey en el Norte.;;;;;;;;;x
DYN4_DESC;With a score of $SCORE$ you$FAILED$ beat House Lannister, first Kings of the Rock then Lords Paramount and Wardens of the West. The Lannisters descend from Lann the Clever who supposedly trick the Casterlys out of Casterly Rock in the Age of Heroes. They were Kings of the Rock until Aegon's Landing when they bent the knee after witnessing the fire of his dragons. During the reign of the incompetent Tytos Lannister the house's influence and prestige fell, resulting in the rebellions of the houses Reyne and Tarbeck. His son Tywin brutally crushed both rebellions and restored the Lannisters to their former glory, he also served as Hand to Aerys II. At the time of Robert's Rebellion Tywin was no longer Hand to Aerys II and didn't declare for either until Robert's victory at the Trident when he sacked King's Landing and delivered it to Robert, who then married his daughter Cersei. After the death of King Robert the Lannisters fought for King Joffrey. ;Avec un score de $SCORE$, vous surpassez la Maison Lannister, d'abord Rois du Roc puis Seigneurs Suzerains et Gouverneurs de l'Ouest. Les Lannister affirment descendre de Lann le Futé, personnage de l’Âges des Héros qui prit par ruse la forteresse de Castral Roc à la Maison Castral. Ils furent Rois du Roc jusqu'à l'arrivée d'Aegon où ils plièrent le genou après avoir été témoins du feu de ses dragons. Le règne de l'incompétent Tytos Lannister vit péricliter l'influence et le prestige de la maison, laissant aux Maisons Reyne et Tarbeck le champ libre de se soulever. Son fils Tywin écrasa brutalement les deux rébellions et restaura l’ancienne gloire des Lannister, puis occupa la dignité de Main du Roi Aerys II. Lorsque la Rébellion de Robert Baratheon éclata, Tywin n'était plus Main du Roi depuis longtemps et il s’abstint de prendre parti jusqu'à la victoire de Robert au Trident, après laquelle il saccagea Port-Royal et la livra à Robert qui épousa par la suite sa fille Cersei. Après la mort du Roi Robert, les Lannister se battirent pour le roi Joffrey.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Lannister, primero Reyes de la Roca y luego Señores Supremos y Guardianes del Occidente. Los Lannister descienden de Lann 'el astuto' quien supuestamente engañó a los Casterly y los expulsó de Roca Casterly durante la Edad de los Héroes. Fueron Reyes de la Roca hasta el Desembarco de Aegon, pero se doblegaron cuando vieron el fuego de sus dragones. Durante el mandato del incompetente Tytos la influencia y prestigio de la Casa cayó drásticamente, provocando la rebelión de las Casas Reyne y Tarbeck. Su hijo Tywin acalló brutalmente la rebelión y restauró el prestigio perdido, también sirvió como Mano del Rey de Aerys II. En el momento de la Rebelión de Robert, Tywin ya no era Mano del Rey y no se decantó por nadie hasta la victoria de Robert en el Tridente cuando saqueó Desembarco del Rey y asesinó a la familia real y apoyó a Robert, quien se casó con su hija Cersei. Después de la muerte del Rey Robert, los Lannisters lucharon en el bando de Joffrey. ;;;;;;;;;x
