#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;Never forget - Winter is coming.;L'hiver vient. -devise de la maison Stark;Niemals vergessen - Winter kommt.;;Nunca lo olvides, se acerca el invierno.;;;;;;;;;x
LOADING_TIP_1;Valar morghulis.;Valar morghulis.;;;Valar morghulis.;;;;;;;;;x
LOADING_TIP_2;Valar dohaeris.;Valar dohaeris.;;;Valar dohaeris.;;;;;;;;;x
LOADING_TIP_3;The man who passes the sentence should swing the sword.;L'homme qui prononce la sentence doit l'executer en personne.;;;'El hombre que dicta la sentencia debe blandir la espada'. -Eddard Stark;;;;;;;;;x
LOADING_TIP_4;Castles are not dragonproof.;La Nuit se regroupe et ma guerre commence. -Jon Snow;;;Los castillos no son a prueba de dragones.;;;;;;;;;x
LOADING_TIP_5;The Castellan of the Iron Throne is also called the Hand of the King.;Faites que l'on m’enterre avec une arbalète afin que je puisse remercier le Pére-d'en-Haut de la même manière que celui d'en bas. -Tyrion Lannister;;;El castellano del Trono de Hierro es conocido también como la Mano del Rey.;;;;;;;;;x
LOADING_TIP_6;When you play the game of thrones, you win, or you die. There is no middle ground.;Quand on joue au jeu des trônes, on gagne ou on meurt, il n'y a pas d'alternative. -Cersei Lannister;;;'Cuando se juega al juego de tronos, solo se puede ganar o morir. No hay puntos intermedios'. -Cersei Lannister;;;;;;;;;x
LOADING_TIP_7;'And who are you,' the proud lord said, 'that I must bow so low?';Et qui êtes-vous, dit le fier Seigneur, pour que je doive m'incliner si bas ?;;;¿Y quién sois vos?', preguntó el orgulloso señor, '¿para haceros tales reverencias?';;;;;;;;;x
LOADING_TIP_8;Don't. Trust. Littlefinger.;Où vont les putes ? -Tyrion Lannister;;;No confiéis en Meñique.;;;;;;;;;x
LOADING_TIP_9;A loyal cupbearer can protect you from poison.;Ce que le roi rêve, la main l'édifie. Eddard Stark;;;Un copero leal os puede proteger del veneno.;;;;;;;;;x
LOADING_TIP_10;What is dead may never die, but rises again, harder and stronger!;Ce qui est mort ne saurait mourir mais se lève à nouveau, plus dur à la peine et plus vigoureux;;;Lo que está muerto no puede morir, ¡sino que se alza de nuevo, más duro, más fuerte!;;;;;;;;;x
LOADING_TIP_11;You can send a prisoner to the Wall by banishing them.;Nous ne semons pas. -devise de la maison Greyjoy;;;Podéis enviar a un prisionero al Muro para desterrarlo.;;;;;;;;;x
LOADING_TIP_12;Words are wind.;Les mots sont du vent. ;;;Las palabras se las lleva el viento.;;;;;;;;;x
LOADING_TIP_13;Dark wings, dark words.;Noires ailes, noires nouvelles.;;;Alas negras, palabras negras.;;;;;;;;;x
LOADING_TIP_14;A bear there was, a bear, a bear, all black and brown and covered in hair!;Un ours y avait, un ours, un ours ! Tout noir et tout brun, tout couvert de poils…;;;Había un oso, un oso, ¡un oso!, era negro, era enorme, ¡cubierto de pelo horroroso!;;;;;;;;;x
LOADING_TIP_15;If you have no viable Maester, you can ask the Citadel to send you one.;Aussi haute qu'Honneur. -devise de la maison Arryn;;;Si no tenéis maestre, podéis pedirle a la Ciudadela que os envíe uno.;;;;;;;;;x
LOADING_TIP_16;Never try to ambush a knight of the Kingsguard. It won't end well.;Je rugis ! -devise de la maison Lannister;;;No intentéis nunca tenderle una emboscada a un caballero de la Guardia Real. No terminará bien.;;;;;;;;;x
LOADING_TIP_17;You can knight women if they are exceptional fighters.;Insoumis, invaincus, intacts. -devise de la maison Martell;;;Podéis darle el título de caballero a una mujer si es una guerrera excepcional.;;;;;;;;;x
LOADING_TIP_18;The night is dark and full of terrors.;La nuit est sombre et pleine de terreur.;;;La noche es oscura y alberga cosas aterradoras.;;;;;;;;;x
LOADING_TIP_19;Cthulhu-worshiping Vikings are not to be trusted.;Merci au site la Garde de Nuit.;;;Aunque todos nos desprecian.- Lema de la casa Codd;;;;;;;;;x
LOADING_TIP_20;Usually only followers of the Faith can become knights.;Le Nord se souvient. -lord Wyman Manderly;;;Solo los seguidores de la Fe pueden convertirse en caballeros.;;;;;;;;;x
LOADING_TIP_21;A hunting trip might carry hidden dangers...;Famille, devoir, honneur. -devise de la maison Tully;;;Un viaje de caza puede traer consigo peligros ocultos...;;;;;;;;;x
LOADING_TIP_22;'Money buys a man's silence for a time. A bolt in the heart buys it forever' - Petyr Baelish;Feu et sang. -devise de la maison Targaryen;;;Enviar a un asesino en busca de Tywin Lannister probablemente no sea buena idea.;;;;;;;;;x
LOADING_TIP_23;If you're imprisoned by a pyromaniac, a trial-by-combat is unlikely to help much.;Au besoin, j'aurais laissé tout son khalasar te baiser, sœurette. Chacun des quarante mille hommes, et leurs chevaux en prime, si cela devait me fournir mon armée. -Viserys Targaryen à Daenerys;;;Si un pirómano os tiene encarcelado, es poco probable que un juicio por combate vaya a ayudar.;;;;;;;;;x
LOADING_TIP_24;Hodor.;Améliorez votre traduction française, jetez un œil à la FAQ dans Mes Documents/Paradox Interactive/Crusader Kings 2/Mod/A Game of Thrones/Traduction française;;;Déjame ascender.- Lema de la casa Fowler;;;;;;;;;x
LOADING_TIP_25;Reek, Reek, it rhymes with freak.;Schlingue, schlingue, ça commence comme château. ;;;Hediondo, Hediondo, rima con lirondo.;;;;;;;;;x
LOADING_TIP_26;'Be glad the Gods made seven hells. One would never be enough to hold both of the Cleganes.' - Jaime Lannister ;Réjouissez-vous que les dieux aient créé sept enfers. Un seul ne suffirait jamais pour contenir les deux Clegane. -Jaime Lannister;;;Padre, gracias a los dioses por haber creado siete infiernos. Con uno no bastaría para retener a los dos Clegane'. -Jaime Lannister;;;;;;;;;x
LOADING_TIP_27;'If I could pray with my cock, I would be much more religious.' - Tyrion;S'il m'était possible de prier avec ma queue, je serais d'une piété beaucoup plus ardente.  -Tyrion;;;'Si me dejaran rezar con la polla sería mucho más religioso'. -Tyrion Lannister;;;;;;;;;x
LOADING_TIP_28;'My daughter has taken an axe for a lover. I will not have my son bedeck himself like a whore. It is as I feared. The green lands have made you soft, and the Starks have made you theirs.'- Balon Greyjoy;Elia de Dorne. Je l'ai tuée piaulant pour sa portée. Puis je l'ai violée. Puis j'ai écrabouillé sa putain de gueule. Comme ça. -La Montagne.;;;Mi hija tiene como amante un hacha de guerra. No permitiré que mi hijo se engalane como una prostituta. Justo lo que me temía. Las tierras verdes te han hecho blando, y los Stark te han hecho suyo'. -Balon Greyjoy;;;;;;;;;x
LOADING_TIP_29;The dead are likely dull fellows, full of tedious complaints - 'the ground's too cold, my gravestone should be larger, why does HE get more worms than I do...'' -Dolorous Edd;Peu importe avec qui tu couches..., encore qu'il y ait quelque injustice à ouvrir tes cuisses pour l'un de tes frères et pas pour l'autre. -Tyrion à Cersei.;;; 'Seguro que los muertos son muy aburridos, siempre quejándose de tonterías... que si el suelo está muy duro, que si me merecía una lápida más grande, que por qué ése tiene más gusanos que yo...'. -Edd el Penas;;;;;;;;;x
