#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC190043;Marriage event. You should not be seeing this.;Evénement Mariage. Vous ne devriez pas voir ceci.;Ehe-Ereignis. Sie sollten das nicht sehen;Marriage event. You should not be seeing this.;Evento boda. No deberías ver esto.;;;;;;;;;x
EVTOPTA190043;Stop looking at the event!;Arrêtez de regardez les événements !;Hören Sie auf, auf das Ereignis zu schauen!;Stop looking at the event!;Deja de ver los eventos!;;;;;;;;;x
EVTTOOLTIP190043;A spouse will be found.;Une épouse sera trouvée. ;Ein Gatte wird gefunden.;A spouse will be found.;Se encontrará una esposa.;;;;;;;;;x
EVTDESC75114;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;[From.GetTitledFirstName] m'a cru lorsque j'ai lui ai que je n'avais jamais adressé la parole à la fille qui m'accuse de l'avoir violée.;[From.GetTitledFirstName] glaubte mir als ich [From.GetHerHim] erzählte, das ich nie mit der Frau gesprochen habe, die mich der Vergewaltigung beschuldigt hat.;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;[From.GetTitledFirstName] me creyó cuando le dije que nunca había hablado con la chica que me acusó de haberla violado .;;;;;;;;;x
EVTOPTA75114;I got away with it;Je l'ai échappé belle;Ich kam damit davon …;I got away with it;Me salí con la mía.;;;;;;;;;x
EVTDESC200000;We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slayed one great boar before he killed my horse and myself.;Nous nous sommes mis en route tôt, le soleil venait à peine de percer l'horizon. Les proies abondaient, les chiens ont attrapé de nombreux lapins et j'ai occis un sanglier avant qu'il ne tue mon cheval et moi-même. ;Wir fingen früh an, die Sonne hatte sich über dem Horizont kaum erhoben. Es gab viel Beute, die Hunde fingen viele Kaninchen und ich tötete einen großen Eber, bevor er mein Pferd und mich selbst tötete.;We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slayed one great boar before he killed my horse and myself.;Comenzamos temprano, el sol acababa de atravesar la línea del horizonte. Presa abundante, los perros han cogido muchos conejos y yo he matado un jabalí antes de que él matara a mi caballo y a mi.;;;;;;;;;x
EVTOPTA200000;I'm a hunter;Je suis un(e) chasseur(se);Ich bin ein Jäger;;Soy un cazador;;;;;;;;;x
EVTDESC200001;The new bird is almost too perfect. I enjoy every hunt with her, and the cook has trouble finding new recipes for rabbit.;Le nouvel oiseau est presque trop parfait. J'éprouve une grande joie à chaque chasse avec lui et le cuisinier a du mal à trouver de nouvelles recettes à base de lapin. ;Der neue Vogel ist fast zu vollkommen. Ich genieße jede Jagd mit ihm, und der Koch hat Schwierigkeiten, neue Rezepte für das Kaninchen zu finden.;;El nuevo pájaro es casi demasiado perfecto. Siento una gran alegría cuando lo llevo de caza y el cocinero tiene problemas para encontrar nuevas recetas de conejo.;;;;;;;;;x
EVTOPTA200001;I'm a falconer;Je suis un(e) fauconnier(ière) ;Ich bin ein Falkner;;Soy un cetrero;;;;;;;;;x
EVTDESC200002;I'm never happier than when I'm in my study, poring over some newly imported volume. Books are truly the Gods greatest gift to man.;Je ne suis jamais aussi heureux que lorsque je suis à mon bureau, étudiant de près quelques nouveaux manuscrits. Les livres sont vraiment les plus cadeaux que les dieux ont fait aux hommes.;Ich bin nie glücklicher wenn ich über einem kürzlich importierten Buch brüte. Bücher sind wahrhaft das größte Geschenk Gottes, des Allmächtigen.;I'm never happier than when I'm in my study, poring over some newly imported volume. Books are truly the gods' greatest gift to man.;Nunca estoy más feliz que cuando estoy en mi escritorio, estudiando de cerca algunos de los nuevos manuscritos. Los libros son realmente los dones que los dioses dieron a los hombres.;;;;;;;;;x
EVTOPTA200002;I'm a scholar;Je suis un(e) lettré(e);Ich bin ein Schüler;I'm a scholar;Soy un erudito.;;;;;;;;;x
