#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_asoiaf_basevalue_1;Small Keep;Petit donjon;Small Keep;Small Keep;Peque�o Torre�n;;;;;;;;;x
ca_asoiaf_basevalue_2;Large Keep;Grand donjon;Large Keep;Large Keep;Gran Torre�n;;;;;;;;;x
ca_asoiaf_basevalue_3;Small Castle;Petit ch�teau;Small Castle;Small Castle;Peque�o Castillo;;;;;;;;;x
ca_asoiaf_basevalue_4;Common Castle;Ch�teau ordinaire;Common Castle;Common Castle;Castillo Mediano;;;;;;;;;x
ca_asoiaf_basevalue_5;Large Castle;Grand ch�teau;Large Castle;Large Castle;Gran Castillo;;;;;;;;;x
ca_asoiaf_basevalue_6;Huge Fortress;Puissante forteresse;Huge Fortress;Huge Fortress;Enorme Fortaleza;;;;;;;;;x
ct_asoiaf_basevalue_1;Small Village;Hameau;Small Village;Small Village;Peque�a Aldea;;;;;;;;;x
ct_asoiaf_basevalue_2;Village;Village;Village;Village;Aldea;;;;;;;;;x
ct_asoiaf_basevalue_3;Small Town;Bourg;Small Town;Small Town;Peque�o Pueblo;;;;;;;;;x
ct_asoiaf_basevalue_4;Large Town;Petite ville;Large Town;Large Town;Gran Pueblo;;;;;;;;;x
ct_asoiaf_basevalue_5;Small City;Ville;Small City;Small City;Peque�a Ciudad;;;;;;;;;x
ct_asoiaf_basevalue_6;Large City;Grande ville;Large City;Large City;Gran Ciudad;;;;;;;;;x
ca_asoiaf_north_basevalue_1;Small [Root.Location.Culture.GetName] Keep;Petit donjon nordien;Small Northern Keep;Small Northern Keep;Peque�o Torre�n [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_north_basevalue_2;Large [Root.Location.Culture.GetName] Keep;Grand donjon nordien;Large Northern Keep;Large Northern Keep;Gran Torre�n [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_north_basevalue_3;Small [Root.Location.Culture.GetName] Castle;Petit Ch�teau nordien;Small Northern Castle;Small Northern Castle;Peque�o Castillo [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_north_basevalue_4;Common [Root.Location.Culture.GetName] Castle;Ch�teau nordien ordinaire;Common Northern Castle;Common Northern Castle;Castillo Mediano [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_north_basevalue_5;Large [Root.Location.Culture.GetName] Castle;Grand ch�teau nordien;Large Northern Castle;Large Northern Castle;Gran Castillo [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_north_basevalue_6;Huge [Root.Location.Culture.GetName] Fortress;Puissante forteresse nordienne;Huge Northern Fortress;Huge Northern Fortress;Enorme Fortaleza [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_1;Small [Root.Location.Culture.GetName] Village;Hameau nordien;Small Northern Village;Small Northern Village;Peque�a Aldea [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_2;[Root.Location.Culture.GetName] Village;Village nordien;Northern Village;Northern Village;Aldea [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_3;Small [Root.Location.Culture.GetName] Town;Bourg nordien;Small Northern Town;Small Northern Town;Peque�o Pueblo [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_4;Large [Root.Location.Culture.GetName] Town;Petite ville nordienne;Large Northern Town;Large Northern Town;Gran Pueblo [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_5;Small [Root.Location.Culture.GetName] City;Ville nordienne;Small Northern City;Small Northern City;Peque�a Ciudad [Root.Location.Culture.GetName];;;;;;;;;x
ct_asoiaf_north_basevalue_6;Large [Root.Location.Culture.GetName] City;Grande ville nordienne;Large Northern City;Large Northern City;Gran Ciudad [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_river_basevalue_1;Small [Root.Location.Culture.GetName] Keep;Petit donjon du Conflans;Small [Root.Location.Culture.GetName] Village;Small [Root.Location.Culture.GetName] Village;Peque�o Torre�n [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_river_basevalue_2;Large [Root.Location.Culture.GetName] Keep;Grande donjon du Conflans;[Root.Location.Culture.GetName] Village;[Root.Location.Culture.GetName] Village;Gran Torre�n [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_river_basevalue_3;Small [Root.Location.Culture.GetName] Castle;Petit ch�teau du Conflans;Small [Root.Location.Culture.GetName] Town;Small [Root.Location.Culture.GetName] Town;Peque�o Castillo [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_river_basevalue_4;Common [Root.Location.Culture.GetName] Castle;Ch�teau du Conflans ordinaire;Large [Root.Location.Culture.GetName] Town;Large [Root.Location.Culture.GetName] Town;Castillo Mediano [Root.Location.Culture.GetName];;;;;;;;;x
ca_asoiaf_river_basevalue_5;Large [Root.Location.Culture.GetName] Castle;Grand ch�teau du Conflans;Small [Root.Location.Culture.GetName] City;Small [Root.Location.Culture.GetName] City;Gran Castillo [Root.Location.Culture.GetName];;;;;;;;;x
