#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCseasons.1;Do you want to play with seasons? Select the summer you want for the begining of the game.;Voulez-vous jouer avec les saisons ? Sélectionnez l'été que vous souhaitez pour le début du jeu.;;;¿Queréis jugar con estaciones? Seleccionad el verano que prefiráis para el comienzo de la partida.;;;;;;;;;x
EVTOPTAseasons.1;I don't want to play with seasons.;Je ne veux pas jouer avec les saisons.;;;No quiero jugar con estaciones.;;;;;;;;;x
EVTOPTBseasons.1;Start with a Short Summer.;Choisir un Été court;;;Empezar con un Verano corto.;;;;;;;;;x
EVTOPTCseasons.1;Start with a Normal Summer.;Choisir un Été normal.;;;Empezar con un Verano normal.;;;;;;;;;x
EVTOPTDseasons.1;Start with a Long Summer.;Choisir un Été long.;;;Empezar con un Verano largo.;;;;;;;;;x
EVTDESCseasons.2;A raven has arrived from the Citadel. We should prepare, as winter is coming.;Un corbeau de la Citadelle est arrivé. Nous devons nous préparer, l'hiver vient. ;;;Un cuervo ha llegado de la Ciudadela. Debemos prepararnos, se acerca el invierno.;;;;;;;;;x
EVTDESC2515101;The days are becoming colder, yields from our crops smaller. We should prepare, as winter is coming.;Les jours se refroidissent alors que les récoltes diminuent.Nous devrions nous préparer, car l'hiver vient.;;;Los días se están volviendo más fríos, ha caído el rendimiento de nuestros cultivos.  Debemos prepararnos, se acerca el invierno.;;;;;;;;;x
EVTDESCseasons.3;A raven has arrived from the Citadel. We should rejoice, as winter is coming to an end.;Un corbeau de la Citadelle est arrivé. Nous pouvons nous réjouir, l'hiver s'achève.;;;Un cuervo ha llegado de la Ciudadela. Debemos regocijarnos pues el invierno está llegando a su fin. ;;;;;;;;;x
EVTDESC2515102;It is getting warmer everyday, and we can finally plant our crops once more. We should rejoice, as winter is coming to an end.;Le temps se réchauffe de jour en jour, et nous pouvons finalement semer nos récoltes. Nous pouvons nous réjouir, l'hiver touche à sa fin.;;;El clima se hace más cálido y por fin podemos volver a cultivar de nuevo. Debemos regocijarnos pues el invierno está llegando a su fin.;;;;;;;;;x
EVTDESCseasons.4;You might be dead, but the seasons havent changed!;Vous pourriez être mort, mais les saisons n'ont pas changé. ;;;Podrías estar muerto, pero las estaciones no han cambiado.;;;;;;;;;x
EVTDESC2515006;It is turning colder and colder. The people of [Root.GetName] can no longer work the fields.;Il fait de plus en plus froid, les gens ne peuvent plus travailler dans les champs de [Root.GetName];;;Cada vez hace más frío. Los habitantes de [Root.GetName] no pueden seguir trabajando los campos.;;;;;;;;;x
EVTDESC2515008;Conditions are worsening in [Root.GetName].;Les conditions climatiques empirent à [Root.GetName].;;;El clima está empeorando en [Root.GetName].;;;;;;;;;x
EVTDESC2515009;[Root.GetName] is suffering a devastating winter.;L'hiver est extrêmement rigoureux à [Root.GetName].;;;[Root.GetName] está sufriendo un invierno devastador. ;;;;;;;;;x
EVTDESC2515007;It is warming as winter comes to an end in [Root.GetName].;Il fait de plus en plus chaud tandis que l'hiver s'achève à [Root.GetName].;;;Hace más calor, el invierno llega a su fin en [Root.GetName].;;;;;;;;;x
asoiaf_mild_winter;Mild Winter;Hiver doux;;;Invierno Suave;;;;;;;;;x
asoiaf_normal_winter;Normal Winter;Hiver normal;;;Invierno Moderado;;;;;;;;;x
asoiaf_harsh_winter;Harsh Winter;Hiver dur;;;Invierno Duro;;;;;;;;;x
asoiaf_peasants_dying;Peasants Dying;Paysans mourrants;;;Campesinos Muriendo;;;;;;;;;x
EVTDESCwinter1;It is so cold here, but I can't imagine what my peasants are enduring out there;Il fait si froid ici, mais je ne peux imaginer ce que mes paysans endurent au-dehors;;;Aquí hace mucho frío, pero no puedo imaginarme lo que estarán sufriendo mis campesinos afuera.;;;;;;;;;x
EVTOPTAseasons.14;Poor them;Pauvres d'eux;;;Pobre de ellos;;;;;;;;;x
EVTOPTAseasons.14B ;We should've set aside more reserves;;;;Deberíamos haber reservado más provisiones;;;;;;;;;x
