#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
take_loan;Take Out a Loan;Contracter un emprunt auprès de la Banque de Fer.;Kredit nehmen;;Pedir un préstamo al Banco de Hierro;;;;;;;;;x
#take_loan;[Root.GetTakeLoanDecisionName];[Root.GetTakeLoanDecisionName];[Root.GetTakeLoanDecisionName];[Root.GetTakeLoanDecisionName];[Root.GetTakeLoanDecisionName];;;;;;;;;x
take_loan_desc;Seek a bank to obtain a loan of coin from;Contracter un emprunt sur cinq ans à un taux d’intérêt de 25%.;Ein Fünfjahresdarlehen zu 25% Zinsen aufnehmen;;Contratar un préstamo de cinco años al 25% de interés;;;;;;;;;x
TOOLTIP_NOTDISHONOUREDLOAN;Has NOT purposefully dishonoured a bank debt in the past;;;;;;;;;;;;;x
EVTTOOLTIPtake_loan;A selection of banks is presented;;;;;;;;;;;;;x
GetTakeLoanDecisionName_IronBank;Ask the Iron Bank for a Loan;Contracter un emprunt auprès de la Banque de Fer.;Kredit nehmen;;Pedir un préstamo al Banco de Hierro;;;;;;;;;x
GetTakeLoanDecisionName_Other;Take Out a Loan;Contracter un emprunt auprès de la Banque de Fer.;Kredit nehmen;;Pedir un préstamo al Banco de Hierro;;;;;;;;;x
EVTDESC64420;Who amongst my loyal vassals will dutifully lend money to his Liege Lord?;Qui parmi mes vassaux accepterait de me prêter quelque argent ?;;;Quién de mis vasallos estaría dispuesto a prestarme algo de dinero?;;;;;;;;;x
EVTOPTA64420;It's our duty, send a raven!;Envoyez les corbeaux !;;;Es nuestro deber, enviad un cuervo!;;;;;;;;;x
EVTOPTB64420;Hmmm ... I don't think we owe that much to our Lord.;Hmmmm… non;;;Hmmm... No creo que le debamos mucho a nuestro señor.;;;;;;;;;x
EVTDESC64421;Your Liege Lord demands a money contribution from you.;Votre seigneur lige vous demande de l'argent;;;Tu Señor Feudal te pide dinero;;;;;;;;;x
EVTOPTA64421;So be it: it's our duty.;Qu'il en soit ainsi;;;Que así sea, es nuestro deber.;;;;;;;;;x
EVTOPTB64421;We're not [Root.GetPeasantNamePlural]. Whilst he can ask for our swords, he has no rule on our coffers.;Nous ne sommes pas des paysans. Il peut demander nos épées mais ne règne pas sur nos coffres !;;;No somos campesinos. Podrá pedir nuestras espadas, pero no nuestros cofres;;;;;;;;;x
EVTDESC64422;Here is your money.;Voilà votre argent;;;Aquí está el dinero.;;;;;;;;;x
EVTOPTA64422;I'd rather buy myself a new dragonbone backscratcher...;Je vais m'acheter un nouveau gratte-dos en os de dragon;;;Voy a comprarme un nuevo rascador de huesodragón.;;;;;;;;;x
