#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;On [GetDateText], [From.GetTitledName] [From.GetDeathReason] at the age of [Root.GetAgeYears]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [GetFromReverseRelation] [Root.GetFirstName].;Le [GetDateText], [From.GetTitledName] [From.GetDeathReason] à l’âge de [Root.GetAgeYears]. [From.GetSubjectPronounCap] eut comme successeur [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de religion [Root.Religion.GetName] [Root.Religion.GetGroupName].;Am [GetDateText], [From.GetTitledName] [From.GetDeathReason]. Nachfolger wird [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;El [GetDateText], [From.GetTitledName] [From.GetDeathReason] a la edad de [Root.GetAgeYears]. [From.GetSubjectPronounCap] fue sucedido por [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de religión [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE;[From.GetTitledName] [From.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears]. [From.GetPossPronounCap] [Root.Culture.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName] succeeded to the throne of the [From.PrimaryTitle.GetTier] as [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] de culture [Root.Culture.GetName] est monté sur le trône de [From.PrimaryTitle.GetTier] en tant que [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron als [Root.GetTitledFirstName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] subió al trono de [From.PrimaryTitle.GetTier] como [Root.GetTitledFirstName].--[From.GetTitledName] [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] de cultura [Root.Culture.GetName] ascendió al trono de [From.PrimaryTitle.GetTier] como [Root.GetTitledFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION;[From.GetTitledName] [From.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears]. [From.GetSubjectPronounCap] was succeeded to the throne of the [From.PrimaryTitle.GetTier] by [From.GetPossPronoun] [Root.Culture.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName], a committed follower of [Root.Religion.GetName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears]. [From.GetSubjectPronounCap] eut comme successeur au trône de [From.PrimaryTitle.GetTier] [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName], de foi [Root.Religion.GetName] [Root.Religion.GetGroupName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. Nachfolger auf dem Thron wird [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], ein überzeugter [Root.Religion.GetName] [Root.Religion.GetGroupName].;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears]. [From.GetSubjectPronounCap] fue sucedido en el trono de [From.PrimaryTitle.GetTier] [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de cultura [Root.Culture.GetName], de fe [Root.Religion.GetName] [Root.Religion.GetGroupName].;;;;;;;;;x
CHRONICLE_START;This is the Chronicle of House [Root.GetOnlyDynastyName], started by [Root.GetTitledFirstNameNoRegnal], the [Root.GetRegnalOrdinal] of [Root.GetHerHis] name, in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], fondée par [Root.GetTitledFirstNameNoRegnal], [Root.GetRegnalOrdinal] de son nom. Elles relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x
CHRONICLE_DEATH_OF_LIEGE;[Root.GetTitledFirstNameWithDynasty], the liege [Root.GetLordLady] of [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears].;[Root.GetTitledFirstNameWithDynastyNoRegnal], le(a) [Root.GetLordLady] suzerain(e) de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears].;[Root.GetTitledName], Lehnsherr(in) [Root.GetLordLady] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledName], el señor feudal [Root.GetLordLady] de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] el [GetDateText].--[Root.GetTitledFirstNameWithDynastyNoRegnal], el Señor de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears].;;;;;;;;;x
CHRONICLE_DEATH_OF_SPOUSE;[Root.GetTitledFirstNameWithNickAndDynasty], the [Root.GetHusbandWife] of [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears].;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetHusbandWife] de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears].;[Root.GetTitledName], [Root.GetHusbandWife] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetHusbandWife] de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears].;;;;;;;;;x
CHRONICLE_DEATH_OF_PARENT;[Root.GetTitledFirstNameWithNickAndDynasty], the [Root.GetFatherMother] of [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears].;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetFatherMother] de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears].;[Root.GetTitledName], [Root.GetFatherMother] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetFatherMother] de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears].;;;;;;;;;x
CHRONICLE_DEATH_OF_HEIR;[Root.GetTitledFirstNameWithNickAndDynasty], the heir of [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears].;[Root.GetTitledFirstNameWithNickAndDynasty], héritier de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears].;[Root.GetTitledName], der Erbe von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNickAndDynasty], heredero de [Player.GetTitledFirstNameNoRegnal], [From.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears].;;;;;;;;;x
CHRONICLE_DEATH_OF_RELIGION_HEAD;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], leader of all [Root.Religion.GetName] faithful, [Root.GetDeathReason] on [GetDateText] at the age of [Root.GetAgeYears].;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], chef de tous les croyants de la religion [Root.Religion.GetName], [Root.GetDeathReason] le [GetDateText] à l’âge de [Root.GetAgeYears].;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], geistlicher Führer aller [Root.Religion.GetName] Gläubigen, ist am [GetDateText] an [Root.GetDeathReason] gestorben.;;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], líder de todos los fieles de la fe [Root.Religion.GetName], [Root.GetDeathReason] el [GetDateText] a la edad de [Root.GetAgeYears].;;;;;;;;;x
CHRONICLE_BIRTH_FATHER;[Root.GetFirstNameWithDynasty], a [Root.GetSonDaughter], was born to [This.GetTitledFirstNameNoRegnal] and [Root.Mother.GetTitledFirstNameNoRegnal] [Root.Mother.GetOnlyDynastyName].;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter] né(e) de [This.GetTitledFirstNameNoRegnal] et [Root.Mother.GetTitledFirstNameNoRegnal] [Root.Mother.GetOnlyDynastyName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Father.GetTitledName] geboren.;;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter] nacido de [This.GetTitledFirstNameNoRegnal] y [Root.Mother.GetTitledFirstNameNoRegnal] [Root.Mother.GetOnlyDynastyName].;;;;;;;;;x
CHRONICLE_BIRTH_MOTHER;[Root.GetFirstNameWithDynasty], a [Root.GetSonDaughter], was born to [This.GetTitledFirstNameNoRegnal] and [Root.Father.GetTitledFirstNameNoRegnal] [Root.Father.GetOnlyDynastyName].;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter] né(e) de [This.GetTitledFirstNameNoRegnal] et [Root.Father.GetTitledFirstNameNoRegnal] [Root.Father.GetOnlyDynastyName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Mother.GetTitledName] geboren.;;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter] nacido de [This.GetTitledFirstNameNoRegnal] y [Root.Father.GetTitledFirstNameNoRegnal] [Root.Father.GetOnlyDynastyName].;;;;;;;;;x
