#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_snow;Snow;Snow;Snow;;Nieve;;;;;;;;;x
nick_rivers;Rivers;Rivers;Rivers;;Ríos;;;;;;;;;x
nick_stone;Stone;Stone;Stone;;Piedra;;;;;;;;;x
nick_hill;Hill;Hill;Hill;;Colina;;;;;;;;;x
nick_flowers;Flowers;Flowers;Flowers;;Flores;;;;;;;;;x
nick_storm;Storm;Storm;Storm;;Tormenta;;;;;;;;;x
nick_waters;Waters;Waters;Waters;;Mares;;;;;;;;;x
nick_sand;Sand;Sand;Sand;;Arena;;;;;;;;;x
nick_pyke;Pyke;Pyke;Pyke;;Pyke;;;;;;;;;x
EVTDESC76100;It can be lonely during a long war campaign, so who can blame a [Root.GetManWoman] for having someone to warm [Root.GetHerHis] bed at night? Although it turns out one of my liaisons has resulted in a child...;On se sent parfois seul lors d'une longue campagne, alors comment blâmer un(e) [Root.GetManWoman] d'avoir quelqu'un dans son lit pour le(a) réchauffer durant la nuit ? Mais… il se trouve que l'une de ces relations a donné naissance à un enfant…;;;Puede parecer tan solitario el tiempo durante una larga campaña, así que ¿quién puede culpar a un hombre por tener una moza para calentar su cama por las noches? ¡A menos que resulte que esa moza ha tenido un niño que dice que es mío!;;;;;;;;;x
EVTOPTA76100;She can have some gold for the child's care;Elle peut avoir de l'or pour en prendre soin.;;;Ella podría recibir oro para su educación.;;;;;;;;;x
EVTOPTB76100;I name her a liar!;C'est une menteuse !;;;¡Es una mentirosa!;;;;;;;;;x
EVTOPTC76100;What of it? She should be honored;Qu'y a-t-il ? Elle devrait être honorée;;;¿Y qué? Debería ser condecorada;;;;;;;;;x
EVTOPTD76100;I shall adopt the child into my household;Je vais adopter l'enfant et le faire entrer dans ma maisonnée;;;Aceptaré al niño en mi familia;;;;;;;;;x
EVTOPTE76100;I'll leave the child with it's father;Je vais laisser l'enfant à son père;;;Dejaré al niño con su padre;;;;;;;;;x
EVTDESC76102;Whilst riding through the woods I came upon this peasant wench. I then remembered a an ancient custom called the Lord's Right where, when commoners or peasants married, their lord might bed the bride on the first night. Hmm…;Alors que je traversais les bois, je suis tombé sur cette gueuse. Je me suis alors souvenu d'une antique coutume désormais interdite, 'le droit de cuissage'. Lorsque les petites gens et les paysans se mariaient, leur seigneur avait le droit de passer la première nuit avec l'épouse. Humm...;;;Mientras paseaba por los bosques me encontré con esta moza campesina. Entonces recordé esa, ahora prohibida, costumbre del derecho de pernada, según la cual, cuando un plebeyo o un campesino se casaba, su señor tenía derecho a acostarse con la novia en la noche de bodas. Hmmmm...;;;;;;;;;x
EVTOPTA76102;No, it is against the law;Non, c'est contre la loi;;;No, está en contra de la ley;;;;;;;;;x
EVTOPTD76102;No, the smallfolk would resent me;Non, les petites gens vont m'en vouloir;;;No, el pueblo me odiaría;;;;;;;;;x
EVTOPTB76102;I'll confiscate her husbands property for not notifying me;Je vais confisquer la propriété du mari pour ne pas m'avoir prévenu;;;Confiscaré la propiedad de su marido por no comunicarmelo….;;;;;;;;;x
EVTOPTC76102;I shall take my right;Je vais prendre ce qui me revient de droit;;;Tomaré mi derecho;;;;;;;;;x
EVTTOOLTIP76103;will discover your transgression;va découvrir votre transgression;;;descubrirá vuestra transgresión;;;;;;;;;x
EVTDESC76103;Your bannerman, [From.GetFirstNameWithDynasty], has been discovered to be practicing the outlawed custom of the Lord's Right, bedding the common [Root.GetPeasantNamePlural] against their will. What is to be done with him?;Votre banneret, [From.GetFirstNameWithDynasty], a été reconnu coupable de pratiquer la coutume interdite du droit de cuissage, couchant avec ses paysannes contre leur volonté. Que devons-nous faire de lui ? ;;;Vuestro vasallo, [From.GetFirstNameWithDynasty], ha sido descubierto practicando la ilegal costumbre del derecho de pernada, acostándose con plebeyas y campesinas contra su voluntad. ¿Qué vais a hacer con él?;;;;;;;;;x
EVTOPTA76103;Fine and reprimand him;Le réprimander et l'amender;;;Multarle y reprenderle;;;;;;;;;x
EVTOPTB76103;Ha, a fine old custom!;Ha, que voilà une bonne vieille coutume !;;;Ja, ¡esa es una buena costumbre!;;;;;;;;;x
EVTOPTC76103;That is intolerable, arrest him;C'est intolérable, arrêtez-le !;;;Eso es intolerable, arrestadle;;;;;;;;;x
EVTTOOLTIP76105;will be reprimanded;va être réprimandé;;;será reprendido;;;;;;;;;x
EVTDESC76104;The wench who I took my Lord's right upon all those years ago has arrived at my gate bearing a young child who she claims is mine! I suppose he does have my eyes...;La gueuse sur laquelle j'ai exercé mon droit de cuissage il y a de cela des années, est venue me voir avec un enfant qu'elle prétend être de moi. J'ai remarqué que ses yeux étaient pareils aux miens… ;;;¡La moza con la que consumé el derecho de pernada hace ya algunos años ha llegado a mi puerta llevando consigo un niño que dice que es mío! Creo que tiene mis ojos... ;;;;;;;;;x
EVTOPTB76104;Hang her for uttering such lies!;Pendez-la pour la punir de ses mensonges !;;;¡Colgadla por soltar tantas mentiras!;;;;;;;;;x
EVTDESC76105;[Root.GetFirstNameWithDynasty], I have been notified of your unlawful practicing of the 'Lord's Right' in my lands. I hereby order you to give the [Root.GetPeasantNamePlural] recompense and warn you as to your future actions.\n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], j'ai eu vent de votre pratique illégale du droit de cuissage sur mes terres. Par la présente, je vous ordonne de dédommager les paysans et vous conseille de ne pas récidiver.\n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], he sido advertido de que estáis practicando la ilegal costumbre del derecho de pernada en mis tierras. Por la presente, os ordeno que paguéis una compensación a los campesinos y quedáis advertido para futuras ocasiones.\n\n Cordialmente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTA76105;It was worth it;Cela valait le coup;;;Valió la pena;;;;;;;;;x
EVTDESC76106;[Root.GetFirstNameWithDynasty], I have been notified of your unlawful practicing of the 'Lord's Right' in my lands. I hereby order you to be placed under arrest to await my judgement.\n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], j'ai eu vent de votre pratique illégale du droit de cuissage sur mes terres. Par la présente, je vous mets aux arrêts dans l'attente de mon jugement.\n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], he sido advertido de que estáis practicando la ilegal costumbre del derecho de pernada en mis tierras. Por la presente, quedáis arrestado a la espera de juicio.\n\n Atentamente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTA76106;Blast;Mince;;;Mierda;;;;;;;;;x
took_illegal_first_night;Illegally Took Lord's Right;;;;Ilegalmente Usó el Derecho de Pernada;;;;;;;;;x
ask_legitimize_bastard;Request legitimisation for [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Demander la légitimation de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;Solicitar la legitimización de [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
