#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBred_priest.3;I am not bothered;Je ne suis pas dérangé;;;No estoy preocupado;;;;;;;;;x
EVTDESCred_priest.12;I have been blessed by [From.GetFirstNameWithDynasty] and granted protection from Battle. Could the Lord of Light be the real deal?;J'ai été béni par [From.GetFirstNameWithDynasty] ce qui m'a protégé durant la bataille. Se pourrait-il que le Maître de la Lumière existe ?;;;He sido bendecido por [From.GetFirstNameWithDynasty]  y tengo una protección otorgada para la batalla. ¿Podría ser el Señor de Luz el dios verdadero?;;;;;;;;;x
EVTDESCred_priest.13;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments cured. All I need to do is believe in the red god.;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] vient vers moi et me demande si je voudrais guérir de mes maladies. Tout ce que j'ai à faire c'est croire au dieu rouge.;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias sean curadas. Todo lo que necesito hacer es creer en el Dios Rojo.;;;;;;;;;x
EVTDESCred_priest.13B;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments cured. All I need to do is embrace the ways of the Warlocks.;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] vient vers moi et me demande si je voudrais guérir de mes maladies. Tout ce que j'ai à faire c'est de suivre la voie des Conjurateurs;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias sean curadas. Todo lo que necesito hacer es creer en el dios rojo.;;;;;;;;;x
EVTDESCred_priest.13C;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments cured by blood magic. All I need to do is embrace [FromFrom.Religion.GetHighGodName] of [FromFrom.Religion.GetName].;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] vient vers moi et me demande si je voudrais guérir de mes maladies. Tout ce que j'ai à faire c'est de suivre la voie des Conjurateurs;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias sean curadas. Todo lo que necesito hacer es creer en el dios rojo.;;;;;;;;;x
EVTOPTAred_priest.13;Yes, I will test this Red God;Oui, je vais essayer ce Dieu Rouge;;;Sí, abrazo al Señor de la Luz y siento su calor.;;;;;;;;;x
EVTOPTAred_priest.13B;Yes, I will test the power of these warlocks;Oui, je vais essayer le pouvoir de ces sorciers;;;Sí, abrazo al Señor de Luz y siento su calor.;;;;;;;;;x
EVTOPTAred_priest.13C;Yes, I will test the power of this blood magic;Oui, je vais essayer le pouvoir de ces sorciers;;;Sí, abrazo al Señor de Luz y siento su calor.;;;;;;;;;x
EVTOPTBred_priest.13;No, I will not subject myself to this. Get lost.;Non, je ne me soumettrai pas à ça. Allez vous-en.;;;No, no tengo miedo de la oscuridad. Perdeos.;;;;;;;;;x
EVTDESCred_priest.14;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments and disfigurements cured. All I need to do is believe in the red god.;[From.GetFirstNameWithDynasty] vient vers moi et me demande si je voudrais voir mes difformités disparaître. Tout ce que j'ai à faire c'est croire au dieu rouge.;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias y desfiguraciones sean curadas. Todo lo que necesito hacer es creer en el Dios Rojo.;;;;;;;;;x
EVTDESCred_priest.14B;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments and disfigurements cured. All I need to do is embrace the power of the warlocks.;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] vient vers moi et me demande si je voudrais voir mes difformités disparaître. Tout ce que j'ai à faire c'est d'embrasser le pouvoir de ces sorciers.;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias y desfiguraciones sean curadas. Todo lo que necesito hacer es creer en el dios rojo.;;;;;;;;;x
