#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
k_nightswatch;The Night's Watch;La Garde de Nuit;The Night's Watch;The Night's Watch;La Guardia de la Noche;;;;;;;;;x;
NIGHTS_KING;Night's King;Roi de la Nuit;;;Rey de la Noche;;;;;;;;;x;
NIGHTS_KING_female;Night's Queen;Reine de la Nuit;;;Reina de la Noche;;;;;;;;;x;
NIGHTS_KING_FOA;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x;
d_nightswatch;The Night's Watch;La Garde de Nuit;The Night's Watch;The Night's Watch;La Guardia de la Noche;;;;;;;;;x;
d_the_wall;The Wall;Le Mur;;;El Muro;;;;;;;;;x;
c_castle_black;Castle Black;Châteaunoir;Castle Black;Castle Black;Castillo Negro;;;;;;;;;x;
c_shadow_tower;The Shadow Tower;Tour Ombreuse;Shadow Tower;Shadow Tower;Torre Sombría;;;;;;;;;x;
c_eastwatch;Eastwatch-by-the-Sea;Fort-Levant;Eastwatch-by-the-Sea;Eastwatch-by-the-Sea;Guardiaoriente del Mar;;;;;;;;;x;
c_brandons_gift;Brandon's Gift;Don-Bran;Brandon's Gift;Brandon's Gift;Agasajo de Brandon;;;;;;;;;x;
c_new_gift;The New Gift;Neufdon;New Gift;New Gift;Nuevo Agasajo;;;;;;;;;x;
b_castle_black;Castle Black;Châteaunoir;Castle Black;Castle Black;Castillo Negro;;;;;;;;;x;
b_shadow_tower;The Shadow Tower;Tour Ombreuse;Shadow Tower;Shadow Tower;Torre Sombría;;;;;;;;;x;
b_eastwatch;Eastwatch-by-the-Sea;Fort-Levant;Eastwatch-by-the-Sea;Eastwatch-by-the-Sea;Guardiaoriente del Mar;;;;;;;;;x;
b_moles_town;Mole's Town;La Mole;Mole's Town;Mole's Town;Villatopo;;;;;;;;;x;
b_queenscrown;Queenscrown;Reine-Couronne;Queenscrown;Queenscrown;Corona de la Reina;;;;;;;;;x;
b_northfort;Northfort;Reine-Couronne;Queenscrown;Queenscrown;Corona de la Reina;;;;;;;;;x;
b_ironmark;Icemark;Glacière;Ironmark;Ironmark;Marcahielo;;;;;;;;;x;
b_the_nightfort;The Nightfort;Fort Nox;The Nightfort;The Nightfort;Fuerte de la Noche;;;;;;;;;x;
b_deep_lake;Deep Lake;Noirlac;Deep Lake;Deep Lake;Lago Hondo;;;;;;;;;x;
b_queensgate;Queensgate;Porte Reine;Queensgate;Queensgate;Puerta de la Reina;;;;;;;;;x;
B_SNOWGATE;Snowgate;Porte Névé;;;Puertanevada;;;;;;;;;x;
b_oakenshield;Oakenshield;Chêne Egide;Oakenshield;Oakenshield;Escudo de Roble;;;;;;;;;x;
b_woodswatch;Woodswatch-by-the-Pool;Sylve-Etang;Woodswatch-by-the-Pool;Woodswatch-by-the-Pool;Guardiabosque del Lago;;;;;;;;;x;
b_westwatch;Westwatch-by-the-Bridge;Fort Couchant le Pont;Westwatch-by-the-Bridge;Westwatch-by-the-Bridge;Guardiaoccidente del Río;;;;;;;;;x;
b_sentinel_stand;Sentinel Stand;La Vigie;Sentinel Stand;Sentinel Stand;Garita;;;;;;;;;x;
b_greyguard;Greyguard;Griposte;Greyguard;Greyguard;Guardiagrís;;;;;;;;;x;
b_stonedoor;Stonedoor;La Roque;Stonedoor;Stonedoor;Puertapiedra;;;;;;;;;x;
b_hoarfrost_hill;Hoarfrost Hill;Mont-Frimas;Hoarfrost Hill;Hoarfrost Hill;Colina Escarcha;;;;;;;;;x;
b_sable_hall;Sable Hall;Sablé;Sable Hall;Sable Hall;Fortaleza de Azabache;;;;;;;;;x;
b_rimegate;Rimegate;La Givrée;Rimegate;Rimegate;Puertahelada;;;;;;;;;x;
b_the_long_barrow;The Long Barrow;Longtertre;The Long Barrow;The Long Barrow;Túmulo Largo;;;;;;;;;x;
b_the_torches;The Torches;Torchères;The Torches;The Torches;Antorchas;;;;;;;;;x;
b_greenguard;Greenguard;Verposte;Greenguard;Greenguard;Guardiaverde;;;;;;;;;x;
b_brandoncastle;Brandoncastle;Castelbrandon;Brandoncastle;Brandoncastle;Castillo Brandon;;;;;;;;;x;
b_north_town;Northmark;Normarche;Northmark;Northmark;Piedra del Norte;;;;;;;;;x;
b_roads_end;Roadsend;Finsentier;Roadsend;Roadsend;Última Senda;;;;;;;;;x;
b_whitecross;Whitecross;Blanche-croix;Whitecross;Whitecross;Cruceblanco;;;;;;;;;x;
EVTDESCnightswatch.1;I have grown weary of ruling my lands, being a [Root.GetTitle] is not suited for old men like me. Perhaps it would be the honourable thing to do to journey to The Wall and take the black, leaving young [Root.Heir.GetTitledFirstName] to rule [Root.PrimaryTitle.GetName]?;Je suis de plus en plus lassé de gérer mes terres, et trop vieux pour être [Root.GetTitle]. Peut-être serait-ce une aventure honorable que de me rendre au Mur pour prendre le noir, en laissant le jeune [Root.Heir.GetTitledFirstName] régner sur [Root.PrimaryTitle.GetName] ?;;;Quiero unirme a la Guardia de la Noche;;;;;;;;;x;
EVTOPTAnightswatch.1;I will ask my liege;Je demanderai à mon seigneur;;;Preguntaré a mi señor;;;;;;;;;x;
EVTOPTBnightswatch.1;Yes, I shall join the Night's Watch;Oui, je vais rejoindre la Garde de Nuit.;;;Sí, me uniré a la guardia de la noche;;;;;;;;;x;
EVTOPTCnightswatch.1;I will not spend my days freezing up there;Je n'irai pas me geler sur ce foutu Mur.;;;No pasaré mis días congelado allí arriba;;;;;;;;;x;
EVTDESCnightswatch.2;[Root.PrimaryTitle.GetFOA], I, [From.GetTitledFirstNameWithDynasty], request the right to take the black and guard the realms of men as a Sworn Brother of the Night's Watch.;[Root.PrimaryTitle.GetFOA], moi, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], demande l'autorisation de prendre le Noir, pour protéger les Royaumes des hommes comme frère juré de la Garde de Nuit.;;;[Root.PrimaryTitle.GetFOA], yo, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] solicito el derecho a vestir el negro y defender los reinos de los hombres como hermano juramentado de la Guardia de la Noche.;;;;;;;;;x;
EVTDESCnightswatch.299;To all my subjects, I have decided that I have offered all I can to you as your [From.GetTitle], and that I would better serve the realm by taking the black and joining the Night's Watch. So, I hereby abdicate in favour of my heir [Root.Heir.GetTitledFirstNameNoRegnal] [Root.Heir.GetOnlyDynastyName].\n\nSigned,\n[From.GetTitledFirstName] of House [From.GetOnlyDynastyName];A tous mes sujets : j'ai décidé que j'avais déjà fait tout ce que je pouvais pour vous servir en tant que [From.GetTitle], et que je serais désormais plus utile au Royaume en tant que frère juré de la Garde de Nuit. J'abdique donc immédiatement en faveur de mon héritier, [Root.Heir.GetTitledFirstNameNoRegnal] [Root.Heir.GetOnlyDynastyName].\n\nSigné,\n[From.GetTitledFirstName] de la Maison [From.GetOnlyDynastyName];;;A todos mis súbditos, he decidido que ya he ofrecido todo lo que estaba en mi mano como vuestro [From.GetTitle], y que serviré mejor al Reino tomando el negro y uniéndome a la Guardia de la Noche. Por ello, por la presente abdico en favor de mi heredero [Root.Heir.GetTitledFirstNameNoRegnal] [Root.Heir.GetOnlyDynastyName].\n\nFirmado,\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x;
EVTOPTA999900004;I give you permission, serve with honour!;Je vous donne ma permission, servez avec honneur !;;;Te doy permiso, sirve con honor!;;;;;;;;;x;
EVTOPTB999900004;No, you have a place here;Non, votre place est ici.;;;No, tu sitio está aquí;;;;;;;;;x;
EVTOPTD999900004;No son of mine will go to the Watch;Jamais mon fils n'ira dans la Garde de Nuit.;;;Ningún hijo mío irá a la Guardia de la Noche;;;;;;;;;x;
EVTOPTC999900004;You are my heir, you cannot leave;Tu es mon héritier, tu ne peux pas partir comme ça;;;Eres mi heredero, no puedes marcharte;;;;;;;;;x;
opinion_refused_nightswatch;Refused Night's Watch;A refusé de prendre le Noir;;;Rechazada petición de vestir el negro;;;;;;;;;x;
EVTDESCnightswatch.3;You have decreed that [From.GetTitledName] should be stripped of all rank and title and be banished from the realm upon pain of death. Perhaps the Night's watch would be a better alternative? Aiding the Night's Watch would be seen as an honourable action.;Vous avez décrété que [From.GetTitledName] devait être dépouillé de son rang et de ses titres et banni du royaume sous peine de mort. Peut-être que la Garde de Nuit serait une meilleure alternative ? Aider la garde de Nuit pourrait être vu comme une action honorable. ;;;Has decretado que [From.GetTitledName] sea desposeído de todo rango y título. ¿Sería la Guardia de la Noche una mejor alternativa? Ayudar a la Guardia de la Noche sería visto como un acto honorable.;;;;;;;;;x;
EVTOPTAnightswatch.3;He will be of use on the Wall;Il sera utile sur le Mur;;;Será más útil en el muro.;;;;;;;;;x;
EVTOPTBnightswatch.3;I'm not funding his journey there;Je ne finance pas son voyage;;;No pienso pagarle el viaje.;;;;;;;;;x;
EVTDESCnightswatch.4;As Lord Commander of the Night's Watch, I currently have titles that are not rightfully mine. What shall be done with them?;En tant que Lord Commandant de la Garde de Nuit, j'ai actuellement des titres qui ne sont légitimement pas les miens. Que dois-je en faire ?;;;Como Lord Comandante de la Guardia de la Noche, poseo títulos que no son por derecho míos. ¿Qué debo hacer con ellos?;;;;;;;;;x;
EVTOPTAnightswatch.4;My vows dictate I must give them away;Mes Vœux m'obligent à les donner;;;Mis votos dictan que debo cederlos;;;;;;;;;x;
