#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
free_folk;Free Folk;Peuple Libre;Free Folk;;Pueblo Libre;;;;;;;;;x
free_folk_FEATURES;§Y*§! Is a tribal culture\n§Y*§! Is a backward culture, making troops less effective\n§Y*§! Native homelands are prone to revolt\n§Y*§! Is a traditional anti-slavery culture\n§Y*§! More resistant to the effects of severe winter;§Y*§! Est une culture traditionnellement opposée à l'esclavage\n§Y*§! Peut envahir librement les voisins s'ils sont indépendants\n§Y*§! Des vassaux peuvent renier des héritiers faibles\n§Y*§! Sont plus résistants aux hivers rigoureux.;;;§Y*§! Es una cultura tribal\n§Y*§! Es una cultura atrasada, lo cual hace a sus tropas menos efectivas\n§Y*§! Las Tierras Nativas son propensas a rebelarse\n§Y*§! Es una cultura tradicionalmente anti-esclavista\n§Y*§! Más resistentes a los efectos del Invierno Severo;;;;;;;;;x
wildling;Wildling;Sauvageon;Wildling;;Salvaje;;;;;;;;;x
skagosi;Skagosi;Skaggs;Skagosi;;Skagosi;;;;;;;;;x
thenn;Thenn;Thenn;Thenn;;Thennita;;;;;;;;;x
#thenn_FEATURES;;;;;;;;;;;;;;x
mountain_clans;Mountain Clansman;Clans des Montagnes;Mountain Clans;;Clanes de las Montañas;;;;;;;;;x
moon_clansman;Mountain Clansman;Clan des Montagnes de la Lune;Mountain Clansman;;Clanes de las Montañas de la Luna;;;;;;;;;x
moon_clansman_FEATURES;§Y*§! Is a tribal culture§Y*§! Can freely castrate and blind captives;§Y*§! Peut librement castrer et aveugler ses prisonniers;Mountain Clansman;;§Y*§! Es una cultura tribal§Y*§! Pueden castrar y cegar libremente a sus prisioneros;;;;;;;;;x
first_men;First Man;Premier Homme;First Men;;Primeros Hombres;;;;;;;;;x
first_men_FEATURES;§Y*§! Can NOT take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture\n§Y*§! More resistant to the effects of severe winter;§Y*§! Ne peut PAS prendre des amantes comme concubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage\n§Y*§! Sont plus résistants aux hivers rigoureux.;;;§Y*§! No pueden tomar a sus amantes como concubinas\n§Y*§! Es una cultura tradicionalmente anti-esclavista\n§Y*§! Más resistentes a los efectos del Invierno Severo;;;;;;;;;x
old_first_man;First Man;Premier Homme;First Men;;Primeros Hombres;;;;;;;;;x
old_first_man_FEATURES;§Y*§! Is a backward culture, making troops less effective;;;;§Y*§! Es una cultura atrasada, lo cual hace a sus tropas menos efectivas;;;;;;;;;x
northman;Northman;Nordien;Northman;;Norteña;;;;;;;;;x
hill_clansman;Hill Clansman;Clans des Collines;Hill Clansman;;Clanes de las Colinas;;;;;;;;;x
crannogman;Crannogman;Paludier;Crannogman;;Lacustre;;;;;;;;;x
half_southron;Former Southron;Sudier;Former Southron;;Antigua Sureña;;;;;;;;;x
andal;Andal;Andal;Andal;;Ándala;;;;;;;;;x
andal_FEATURES;§Y*§! Can NOT take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture;§Y*§! Ne peut PAS prendre des amants comme cuncubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage;;;§Y*§! No pueden tomar amantes como concubinas\n§Y*§! Es una cultura tradicionalmente anti-esclavista\n;;;;;;;;;x
riverlander;Riverman;Riverain;Riverlander;;Ribereña;;;;;;;;;x
westerman;Westerman;Ouestien;Westerman;;Occidental;;;;;;;;;x
valeman;Valeman;Du Val;Valeman;;del Valle;;;;;;;;;x
crownlander;Kingslander;Des Terres de la Couronne;Crownlander;;de las Tierras de la Corona;;;;;;;;;x
stormlander;Stormlander;Orageois;Stormlander;;Tormenteña;;;;;;;;;x
reachman;Reachman;Du Bief;Reachman;;del Dominio;;;;;;;;;x
sisterman;Sisterman;Soeurois;;;Hermaneña;;;;;;;;;x
old_andal;Andal;Andal;Andal;;Ándala;;;;;;;;;x
dornish_andal;Dornish;Dornien;;;Dorniense;;;;;;;;;x
iron_isles_culture;Ironborn;Fer-Né;Ironborn;;Hijos del Hierro;;;;;;;;;x
iron_isles_culture_FEATURES;§Y*§! Can go on landless adventures;Fer-Né;Ironborn;;§Y*§! Pueden ir a aventuras sin tierras;;;;;;;;;x
ironborn;Ironborn;Fer-Né;Ironborn;;Hijos del Hierro;;;;;;;;;x
old_ironborn;Old Ironborn;;;;Antiguos Hijos del Hierro;;;;;;;;;x
old_ironborn_FEATURES;§Y*§! Is a backward culture, making troops less effective;;;;§Y*§! Es una cultura atrasada, lo cual hace a sus tropas menos efectivas;;;;;;;;;x
dornish;Dornishman;Rhoynar;Rhoynar;;Dorniense;;;;;;;;;x
dornish_FEATURES;§Y*§! Can take lovers as concubines\n§Y*§! Is a traditional anti-slavery culture;§Y*§! Peut prendre des amants comme cuncubines\n§Y*§! Est une culture traditionnellement opposée à l'esclavage;;;§Y*§! Pueden tomar amantes como concubinas\n§Y*§! Es una cultura tradicionalmente anti-esclavista\n;;;;;;;;;x
stone_dornish;Stone Dornish;Dornien Rocheux;Steindornen;;Dorniense de la Piedra;;;;;;;;;x
sand_dornish;Sand Dornish;Dornien Sableux;Sanddornen;;Dorniense de la Arena;;;;;;;;;x
salt_dornish;Salt Dornish;Dornien Salé;Salzdornen;;Dorniense de la Sal;;;;;;;;;x
rhoynar;Rhoynar;Rhoynar;Rhoynar;;Rhoynar;;;;;;;;;x
valyrian;Valyrian;Valyrien;Valyrisch;;Valyria;;;;;;;;;x
high_valyrian;High Valyrian;Haut Valyrien;Hochvalyrisch;;Alta Valyria;;;;;;;;;x
high_valyrian_FEATURES;§Y*§! Is a traditional slaver culture\n§Y*§! Targaryen and Blackfyre dynasties can arrange marriages between close family members;Ghiscari;;;§Y*§! Es una cultura tradicionalmente esclavista\n§Y*§! Las Casas Targaryen y Fuegoscuro pueden casarse entre parientes cercanos.;;;;;;;;;x
western_valyrian;Westerosi Valyrian;Valyrien de l'Ouest;Westvalyrisch;;Valyria Occidental;;;;;;;;;x
eastern_valyrian;Essosi Valyrian;Valyrien;;;Valyria Oriental;;;;;;;;;x
eastern_valyrian_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
free_cities;Essosi;Essosi;Freie Städte;;Ciudades Libres;;;;;;;;;x
pentosi;Pentoshi;Pentoshi;Pentosi;;Pentoshi;;;;;;;;;x
pentosi_FEATURES;§Y*§! Is a traditional slaver culture;Ghiscari;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
braavosi;Braavosi;Braavien;Braavosi;;Braavosi;;;;;;;;;x
braavosi_FEATURES;§Y*§! Is a traditional anti-slavery culture;§Y*§! Est une culture traditionnellement contre l'esclavage;;;§Y*§! Es una cultura tradicionalmente anti-esclavista;;;;;;;;;x
lysene;Lyseni;Lysien;Lysene;;Lysena;;;;;;;;;x
lysene_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
qohorik;Qohorik;Qohorien;Qohorik;;Qohoriense;;;;;;;;;x
qohorik_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
norvosi;Norvoshi;Norvosien;Norvosi;;Norvoshi;;;;;;;;;x
norvosi_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
myrman;Myrman;Myrien;Myrman;;Myriense;;;;;;;;;x
myrman_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
tyroshi;Tyroshi;Tyroshi;Tyroshi;;Tyroshi;;;;;;;;;x
tyroshi_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
volantene;Volantene;Volantain;Volantene;;Volantina;;;;;;;;;x
volantene_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
lorathi;Lorathi;Lorathi;Lorathi;;Lorathia;;;;;;;;;x
#lorathi_FEATURES;;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
mantaryan;Mantaryan;Mantaryen;Mantaryan;;Mantarya;;;;;;;;;x
mantaryan_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
tolosi;Tolosi;Tolosien;Tolosi;;Tolosi;;;;;;;;;x
tolosi_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
elyrian;Elyrian;Elyrien;Elyrian;;Elyria;;;;;;;;;x
elyrian_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
dothraki_group;Dothraki;Dothraki;Dothrakis;;Dothraki;;;;;;;;;x
dothraki;Dothraki;Dothraki;Dothraki;;Dothraki;;;;;;;;;x
dothraki_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
qarth_group;Qaathi;Qarthien;Qartheen;;Qaathi;;;;;;;;;x
qartheen;Qartheen;Qarthien;Qartheen;;Qarthiense;;;;;;;;;x
qartheen_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
ghiscari_group;Ghiscari;Ghiscari;;;Ghiscaria;;;;;;;;;x
ghiscari_group_FEATURES;§Y*§! Is a traditional slaver culture;§Y*§! Est une culture traditionnellement esclavagiste;;;§Y*§! Es una cultura tradicionalmente esclavista;;;;;;;;;x
slaver;Slaver;Esclavagiste;;;Esclavista;;;;;;;;;x
astapori;Astapori;Astapori;;;Astapori;;;;;;;;;x
astapori_FEATURES;§Y*§! May train and sell unsullied if slavery is legal;Astapori;;;§Y*§! Pueden entrenar y vender inmaculados si el esclavismo es legal;;;;;;;;;x
yunkaii;Yunkai'i;Yunkaïi;;;Yunkia;;;;;;;;;x
meereenese;Meereenese;Meereenien;;;Meerena;;;;;;;;;x
ghiscari;Ghiscari;Ghiscari;;;Ghiscaria;;;;;;;;;x
ibbenese_group;Ibbenese;Ibbénien;;;Ibbenesa;;;;;;;;;x
ibbenese;Ibbenese;Ibbénien;;;Ibbenesa;;;;;;;;;x
ibbenese_FEATURES;§Y*§! Cannot usually breed with other ethnicities;§Y*§! Ne peut pas se reproduire avec d'autres cultures;Brindlemen;;§Y*§! No pueden reproducirse con otras culturas;;;;;;;;;x
naath_group;Naathi;Naathi;;;Naathi;;;;;;;;;x
naathi;Naathi;Naathi;;;Naathi;;;;;;;;;x
sell_swords;Sell Swords;Epée-Louées;;;Mercenarios;;;;;;;;;x
dornish_sellswords;Dornish Sellsword;Epée-Louée Dornienne;;;Mercenarios Dornienses;;;;;;;;;x
